dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.704517,11.575549,0.000650,0.065013,3.250670,162.533522,3.140852
0.020000,17.704768,11.575549,0.000901,0.012564,-2.622452,-293.656111,3.141098
0.020000,17.705271,11.575549,0.001405,0.025155,0.629509,162.598014,3.141591
0.020000,17.698241,11.575546,0.008435,0.351500,16.317272,784.388192,3.142333
0.020000,17.688851,11.575534,0.017825,0.469540,5.902025,-520.762362,3.143324
0.020000,17.677117,11.575507,0.029559,0.586667,5.856328,-2.284868,3.144569
0.020000,17.663045,11.575454,0.043631,0.703605,5.846878,-0.472509,3.146070
0.020000,17.646639,11.575367,0.060037,0.820325,5.836020,-0.542890,3.147832
0.020000,17.627904,11.575231,0.078773,0.936798,5.823648,-0.618573,3.149860
0.020000,17.606845,11.575032,0.099833,1.052976,5.808894,-0.737702,3.152159
0.020000,17.583470,11.574755,0.123210,1.168840,5.793226,-0.783414,3.154736
0.020000,17.557786,11.574381,0.148896,1.284329,5.774412,-0.940684,3.157598
0.020000,17.529804,11.573889,0.176883,1.399328,5.749953,-1.222962,3.160755
0.020000,17.499532,11.573257,0.207161,1.513899,5.728574,-1.068960,3.164215
0.020000,17.466984,11.572459,0.239719,1.627919,5.700991,-1.379141,3.167988
0.020000,17.432171,11.571469,0.274546,1.741360,5.672049,-1.447125,3.172087
0.020000,17.395108,11.570256,0.311629,1.854141,5.639058,-1.649505,3.176524
0.020000,17.355811,11.568789,0.350953,1.966189,5.602401,-1.832888,3.181313
0.020000,17.314298,11.567032,0.392503,2.077513,5.566206,-1.809741,3.186470
0.020000,17.270590,11.564948,0.436261,2.187912,5.519939,-2.313341,3.192011
0.020000,17.224707,11.562497,0.482209,2.297385,5.473643,-2.314807,3.197955
0.020000,17.176676,11.559634,0.530326,2.405826,5.422035,-2.580409,3.204322
0.020000,17.126523,11.556313,0.580589,2.513161,5.366795,-2.762006,3.211134
0.020000,17.074278,11.552483,0.632974,2.619250,5.304402,-3.119641,3.218416
0.020000,17.019976,11.548092,0.687453,2.723965,5.235799,-3.430150,3.226194
0.020000,16.963654,11.543081,0.743997,2.827206,5.162046,-3.687637,3.234497
0.020000,16.905354,11.537390,0.802575,2.928885,5.083935,-3.905560,3.243356
0.020000,16.845121,11.530953,0.863150,3.028765,4.994013,-4.496086,3.252806
0.020000,16.783009,11.523701,0.925685,3.126722,4.897834,-4.808949,3.262884
0.020000,16.719072,11.515561,0.990138,3.222646,4.796199,-5.081764,3.273632
0.020000,16.653374,11.506455,1.056463,3.316281,4.681745,-5.722672,3.285093
0.020000,16.585987,11.496300,1.124611,3.407392,4.555575,-6.308531,3.297316
0.020000,16.516987,11.485009,1.194529,3.495884,4.424567,-6.550407,3.310355
0.020000,16.446462,11.472490,1.266157,3.581405,4.276054,-7.425644,3.324266
0.020000,16.374506,11.458649,1.339432,3.663760,4.117762,-7.914575,3.339111
0.020000,16.301224,11.443383,1.414287,3.742727,3.948368,-8.469738,3.354958
0.020000,16.226735,11.426588,1.490646,3.817961,3.761669,-9.334925,3.371879
0.020000,16.151166,11.408155,1.568430,3.889235,3.563722,-9.897341,3.389951
0.020000,16.074657,11.387971,1.647557,3.956327,3.354563,-10.457950,3.409257
0.020000,15.997362,11.365921,1.727935,4.018918,3.129551,-11.250595,3.429886
0.020000,15.919449,11.341887,1.809471,4.076794,2.893832,-11.785981,3.451929
0.020000,15.841098,11.315747,1.892068,4.129826,2.651597,-12.111727,3.475482
0.020000,15.762503,11.287382,1.975625,4.177839,2.400659,-12.546917,3.500642
0.020000,15.683870,11.256670,2.060043,4.220900,2.153059,-12.380001,3.527507
0.020000,15.605416,11.223490,2.145224,4.259094,1.909699,-12.167982,3.556172
0.020000,15.527365,11.187721,2.231081,4.292818,1.686183,-11.175822,3.586726
0.020000,15.449948,11.149244,2.317533,4.322601,1.489130,-9.852618,3.619244
0.020000,15.373393,11.107941,2.404519,4.349317,1.335810,-7.666040,3.653788
0.020000,15.297926,11.063689,2.492003,4.374207,1.244519,-4.564536,3.690392
0.020000,15.223762,11.016363,2.579981,4.398901,1.234701,-0.490881,3.729062
0.020000,15.151098,10.965828,2.668489,4.425406,1.325258,4.527860,3.769760
0.020000,15.080114,10.911937,2.757613,4.456174,1.538395,10.656805,3.812404
0.020000,15.010963,10.854523,2.847492,4.493950,1.888773,17.518940,3.856857
0.020000,14.943776,10.793395,2.938326,4.541697,2.387379,24.930270,3.902922
0.020000,14.878662,10.728333,3.030374,4.602384,3.034309,32.346493,3.950346
0.020000,14.815718,10.659093,3.123949,4.678749,3.818249,39.197039,3.998821
0.020000,14.755032,10.585404,3.219410,4.773048,4.714973,44.836179,4.047997
0.020000,14.696700,10.506984,3.317146,4.886804,5.687784,48.640548,4.097492
0.020000,14.640830,10.423549,3.417559,5.020663,6.692982,50.259906,4.146911
0.020000,14.587552,10.334833,3.521044,5.174257,7.679681,49.334929,4.195868
0.020000,14.537018,10.240600,3.627971,5.346337,8.603984,46.215183,4.244000
0.020000,14.489403,10.140667,3.738668,5.534863,9.426327,41.117161,4.290986
0.020000,14.444893,10.034907,3.853413,5.737238,10.118719,34.619585,4.336553
0.020000,14.403683,9.923258,3.972424,5.950582,10.667236,27.425836,4.380487
0.020000,14.365963,9.805725,4.095862,6.171885,11.065147,19.895563,4.422631
0.020000,14.331909,9.682369,4.223832,6.398475,11.329492,13.217263,4.462883
0.020000,14.301680,9.553308,4.356386,6.627726,11.462538,6.652298,4.501190
0.020000,14.275406,9.418697,4.493537,6.857545,11.490961,1.421153,4.537540
0.020000,14.253192,9.278723,4.635263,7.086274,11.436459,-2.725110,4.571955
0.020000,14.235113,9.133594,4.781514,7.312558,11.314166,-6.114676,4.604484
0.020000,14.221218,8.983528,4.932222,7.535393,11.141767,-8.619912,4.635193
0.020000,14.211532,8.828748,5.087304,7.754141,10.937396,-10.218564,4.664164
0.020000,14.206055,8.669474,5.246672,7.968402,10.713061,-11.216756,4.691483
0.020000,14.204772,8.505920,5.410231,8.177953,10.477523,-11.776901,4.717244
0.020000,14.207329,8.349160,5.567012,7.839019,-16.946699,-1371.211105,4.739488
0.020000,14.213942,8.178327,5.737973,8.548073,35.452709,2619.970388,4.763093
0.020000,14.224756,8.008458,5.908186,8.510629,-1.872169,-1866.243871,4.789332
0.020000,14.239991,7.841775,6.075564,8.368904,-7.086273,-260.705211,4.818330
0.020000,14.259694,7.680447,6.238091,8.126337,-12.128340,-252.103361,4.850159
0.020000,14.283876,7.525521,6.394892,7.840077,-14.313000,-109.232979,4.885054
0.020000,14.312546,7.377551,6.545615,7.536125,-15.197618,-44.230915,4.923358
0.020000,14.345651,7.237123,6.689892,7.213870,-16.112720,-45.755087,4.965429
0.020000,14.383059,7.104835,6.827367,6.873738,-17.006612,-44.694600,5.011617
0.020000,14.424550,6.981256,6.957726,6.517946,-17.789624,-39.150620,5.062232
0.020000,14.469812,6.866875,7.080736,6.150497,-18.372431,-29.140332,5.117500
0.020000,14.518457,6.762026,7.196320,5.779210,-18.564331,-9.595016,5.177496
0.020000,14.570065,6.666807,7.304626,5.415284,-18.196322,18.400461,5.242077
0.020000,14.624256,6.581014,7.406100,5.073738,-17.077319,55.950126,5.310806
0.020000,14.680783,6.504115,7.501540,4.771978,-15.087997,99.466144,5.382900
0.020000,14.739617,6.435284,7.592089,4.527454,-12.226174,143.091131,5.457239
0.020000,14.800996,6.373517,7.679167,4.353878,-8.678800,177.368684,5.532432
0.020000,14.865384,6.317786,7.764324,4.257858,-4.800987,193.890676,5.606960
0.020000,14.933363,6.267196,7.849062,4.236905,-1.047683,187.665169,5.679350
0.020000,15.005483,6.221079,7.934666,4.280219,2.165708,160.669542,5.748343
0.020000,15.082125,6.179012,8.022094,4.371386,4.558349,119.632060,5.813000
0.020000,15.163422,6.140764,8.111939,4.492233,6.042345,74.199811,5.872740
0.020000,15.249253,6.106224,8.204459,4.626032,6.689937,32.379607,5.927309
0.020000,15.339284,6.075322,8.299646,4.759351,6.665959,-1.198928,5.976716
0.020000,15.433035,6.047981,8.397302,4.882777,6.171305,-24.732654,6.021155
0.020000,15.529942,6.024092,8.497110,4.990413,5.381815,-39.474515,6.060936
0.020000,15.629418,6.003500,8.598695,5.079266,4.442660,-46.957747,6.096426
0.020000,15.730891,5.986016,8.701663,5.148398,3.456559,-49.305044,6.128012
0.020000,15.833823,5.971422,8.805625,5.198081,2.484182,-48.618846,6.156074
0.020000,15.937729,5.959483,8.910215,5.229499,1.570909,-45.663662,6.180973
0.020000,16.042177,5.949956,9.015096,5.244056,0.727817,-42.154614,6.203037
0.020000,16.146788,5.942602,9.119965,5.243474,-0.029070,-37.844330,6.222563
0.020000,16.251234,5.937184,9.224552,5.229307,-0.708346,-33.963799,6.239818
0.020000,16.355230,5.933480,9.328614,5.203120,-1.309368,-30.051107,6.255036
0.020000,16.458534,5.931277,9.431941,5.166349,-1.838560,-26.459608,6.268427
0.020000,16.560933,5.930380,9.534344,5.120166,-2.309153,-23.529648,6.280174
0.020000,16.662248,5.930606,9.635660,5.065772,-2.719701,-20.527423,0.007252
0.020000,16.762323,5.931788,9.735741,5.004064,-3.085403,-18.285080,0.016177
0.020000,16.861021,5.933774,9.834459,4.935894,-3.408499,-16.154805,0.023888
0.020000,16.958225,5.936425,9.931700,4.862034,-3.692982,-14.224125,0.030499
0.020000,17.053833,5.939617,10.027361,4.783056,-3.948881,-12.794973,0.036108
0.020000,17.147754,5.943237,10.121351,4.699535,-4.176076,-11.359723,0.040806
0.020000,17.239908,5.947184,10.213589,4.611904,-4.381570,-10.274713,0.044673
0.020000,17.330222,5.951367,10.304001,4.520574,-4.566459,-9.244464,0.047780
0.020000,17.418634,5.955706,10.392519,4.425907,-4.733349,-8.344490,0.050195
0.020000,17.505084,5.960130,10.479082,4.328159,-4.887407,-7.702908,0.051976
0.020000,17.589519,5.964577,10.563634,4.227602,-5.027876,-7.023471,0.053180
0.020000,17.671890,5.968993,10.646123,4.124453,-5.157412,-6.476777,0.053856
0.020000,17.752150,5.973331,10.726501,4.018883,-5.278505,-6.054631,0.054053
0.020000,17.830258,5.977550,10.804722,3.911060,-5.391175,-5.633495,0.053815
0.020000,17.906171,5.981618,10.880745,3.801112,-5.497405,-5.311524,0.053183
0.020000,17.979852,5.985506,10.954528,3.689160,-5.597585,-5.009002,0.052197
0.020000,18.051263,5.989192,11.026034,3.575299,-5.693057,-4.773574,0.050893
0.020000,18.120368,5.992659,11.095226,3.459622,-5.783838,-4.539081,0.049308
0.020000,18.187134,5.995894,11.162070,3.342194,-5.871423,-4.379226,0.047477
0.020000,18.251526,5.998889,11.226532,3.223083,-5.955532,-4.205452,0.045431
0.020000,18.313512,6.001639,11.288579,3.102358,-6.036243,-4.035557,0.043203
0.020000,18.373060,6.004144,11.348180,2.980054,-6.115209,-3.948292,0.040823
0.020000,18.430140,6.006405,11.405305,2.856243,-6.190552,-3.767159,0.038321
0.020000,18.484722,6.008427,11.459924,2.730944,-6.264961,-3.720437,0.035727
