dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.705273,12.595549,0.000650,0.065013,3.250670,162.533522,3.140852
0.020000,17.705273,12.595549,0.003251,0.195040,6.501341,162.533522,3.141098
0.020000,17.705273,12.595549,0.008452,0.325067,6.501341,0.000000,3.141591
0.020000,17.697487,12.595546,0.016253,0.455094,6.501341,0.000000,3.142333
0.020000,17.687084,12.595533,0.026655,0.585121,6.501341,0.000000,3.143324
0.020000,17.674081,12.595502,0.039658,0.715147,6.501341,0.000000,3.144569
0.020000,17.658478,12.595444,0.055261,0.845174,6.501341,-0.000000,3.146070
0.020000,17.640275,12.595347,0.073465,0.975201,6.501341,0.000000,3.147832
0.020000,17.619471,12.595196,0.094269,1.105228,6.501341,0.000000,3.149860
0.020000,17.596068,12.594975,0.117674,1.235255,6.501341,0.000000,3.152159
0.020000,17.570064,12.594667,0.143680,1.365282,6.501341,0.000000,3.154736
0.020000,17.541461,12.594250,0.172286,1.495308,6.501341,-0.000000,3.157598
0.020000,17.510259,12.593702,0.203492,1.625335,6.501341,0.000000,3.160755
0.020000,17.476460,12.592996,0.237299,1.755362,6.501341,-0.000000,3.164215
0.020000,17.440063,12.592104,0.273706,1.885389,6.501341,0.000000,3.167988
0.020000,17.401071,12.590994,0.312714,2.015416,6.501341,-0.000000,3.172087
0.020000,17.359485,12.589634,0.354323,2.145442,6.501341,0.000000,3.176524
0.020000,17.315307,12.587984,0.398532,2.275469,6.501341,-0.000000,3.181313
0.020000,17.268539,12.586005,0.445342,2.405496,6.501341,0.000000,3.186470
0.020000,17.219185,12.583652,0.494752,2.535523,6.501341,0.000000,3.192011
0.020000,17.167248,12.580877,0.546763,2.665550,6.501341,-0.000000,3.197955
0.020000,17.112734,12.577628,0.601374,2.795577,6.501341,0.000000,3.204322
0.020000,17.055647,12.573848,0.658586,2.925603,6.501341,0.000000,3.211134
0.020000,16.995995,12.569475,0.718398,3.055630,6.501341,0.000000,3.218416
0.020000,16.933785,12.564444,0.780811,3.185657,6.501341,-0.000000,3.226194
0.020000,16.869028,12.558683,0.845824,3.315684,6.501341,0.000000,3.234497
0.020000,16.801734,12.552113,0.913438,3.445711,6.501341,0.000000,3.243356
0.020000,16.731917,12.544652,0.983653,3.575737,6.501341,0.000000,3.252806
0.020000,16.659594,12.536208,1.056468,3.705764,6.501341,-0.000000,3.262884
0.020000,16.584783,12.526683,1.131883,3.835791,6.501341,0.000000,3.273632
0.020000,16.507506,12.515971,1.209900,3.965818,6.501341,0.000000,3.285093
0.020000,16.427791,12.503957,1.290516,4.095845,6.501341,-0.000000,3.297316
0.020000,16.345666,12.490518,1.373733,4.225872,6.501341,0.000000,3.310355
0.020000,16.261170,12.475519,1.459551,4.355898,6.501341,-0.000000,3.324266
0.020000,16.174345,12.458817,1.547969,4.485925,6.501341,0.000000,3.339111
0.020000,16.085239,12.440253,1.638988,4.615952,6.501341,0.000000,3.354958
0.020000,15.993914,12.419661,1.732607,4.745979,6.501341,0.000000,3.371879
0.020000,15.900437,12.396859,1.828827,4.876006,6.501341,-0.000000,3.389951
0.020000,15.804887,12.371650,1.927648,5.006032,6.501341,0.000000,3.409257
0.020000,15.707359,12.343826,2.029068,5.136059,6.501341,0.000000,3.429886
0.020000,15.607963,12.313162,2.133090,5.266086,6.501341,0.000000,3.451929
0.020000,15.506824,12.279418,2.239712,5.396113,6.501341,-0.000000,3.475482
0.020000,15.404091,12.242338,2.348934,5.526140,6.501341,0.000000,3.500642
0.020000,15.299935,12.201654,2.460758,5.656167,6.501341,0.000000,3.527507
0.020000,15.194555,12.157081,2.575181,5.786193,6.501341,0.000000,3.556172
0.020000,15.088176,12.108325,2.692205,5.916220,6.501341,-0.000000,3.586726
0.020000,14.981059,12.055083,2.811830,6.046247,6.501341,0.000000,3.619244
0.020000,14.873499,11.997045,2.934055,6.176274,6.501341,0.000000,3.653788
0.020000,14.765829,11.933903,3.058881,6.306301,6.501341,0.000000,3.690392
0.020000,14.658420,11.865356,3.186307,6.436327,6.501341,-0.000000,3.729062
0.020000,14.551682,11.791116,3.316334,6.566354,6.501341,0.000000,3.769760
0.020000,14.446060,11.710921,3.448961,6.696381,6.501341,0.000000,3.812404
0.020000,14.342030,11.624542,3.584189,6.826408,6.501341,-0.000000,3.856857
0.020000,14.240094,11.531793,3.722018,6.956435,6.501341,0.000000,3.902922
0.020000,14.140767,11.432542,3.862447,7.086462,6.501341,0.000000,3.950346
0.020000,14.044565,11.326718,4.005476,7.216488,6.501341,0.000000,3.998821
0.020000,13.951994,11.214316,4.151106,7.346515,6.501341,-0.000000,4.047997
0.020000,13.863530,11.095396,4.299337,7.476542,6.501341,0.000000,4.097492
0.020000,13.779610,10.970085,4.450168,7.606569,6.501341,0.000000,4.146911
0.020000,13.700618,10.838568,4.603599,7.736596,6.501341,0.000000,4.195868
0.020000,13.626876,10.701078,4.759632,7.866622,6.501341,-0.000000,4.244000
0.020000,13.558637,10.557889,4.918264,7.996649,6.501341,0.000000,4.290986
0.020000,13.496088,10.409299,5.079498,8.126676,6.501341,0.000000,4.336553
0.020000,13.439350,10.255617,5.243331,8.256703,6.501341,0.000000,4.380487
0.020000,13.388484,10.097159,5.409766,8.386730,6.501341,0.000000,4.422631
0.020000,13.343494,9.934233,5.578801,8.516757,6.501341,-0.000000,4.462883
0.020000,13.304344,9.767133,5.750436,8.646783,6.501341,0.000000,4.501190
0.020000,13.270958,9.596136,5.924672,8.776810,6.501341,-0.000000,4.537540
0.020000,13.243233,9.421496,6.101508,8.906837,6.501341,0.000000,4.571955
0.020000,13.221045,9.243444,6.280945,9.036864,6.501341,0.000000,4.604484
0.020000,13.204256,9.062189,6.462983,9.166891,6.501341,0.000000,4.635193
0.020000,13.192717,8.877919,6.647621,9.296917,6.501341,-0.000000,4.664164
0.020000,13.186278,8.690797,6.834860,9.426944,6.501341,0.000000,4.691483
0.020000,13.184784,8.500968,7.024699,9.556971,6.501341,-0.000000,4.717244
0.020000,13.187703,8.321522,7.217139,9.686998,6.501341,0.000000,4.739488
0.020000,13.195253,8.126631,7.412179,9.817025,6.501341,-0.000000,4.763093
0.020000,13.207773,7.930054,7.609160,9.881088,3.203170,-164.908558,4.789332
