dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.706029,13.615548,0.000650,0.065013,3.250670,162.533522,3.140852
0.020000,17.705778,13.615549,0.000901,0.012564,-2.622452,-293.656111,3.141098
0.020000,17.705274,13.615549,0.001405,0.025155,0.629509,162.598014,3.141591
0.020000,17.696732,13.615546,0.009947,0.427121,20.098331,973.441129,3.142333
0.020000,17.685318,13.615531,0.021361,0.570691,7.178494,-645.991840,3.143324
0.020000,17.671046,13.615498,0.035633,0.713629,7.146881,-1.580657,3.144569
0.020000,17.653911,13.615434,0.052768,0.856728,7.154962,0.404024,3.146070
0.020000,17.633911,13.615327,0.072769,1.000038,7.165510,0.527423,3.147832
0.020000,17.611039,13.615161,0.095641,1.143609,7.178550,0.652002,3.149860
0.020000,17.585291,13.614919,0.121390,1.287473,7.193202,0.732585,3.152159
0.020000,17.556659,13.614579,0.150024,1.431703,7.211472,0.913515,3.154736
0.020000,17.525136,13.614120,0.181551,1.576320,7.230878,0.970307,3.157598
0.020000,17.490715,13.613515,0.215977,1.721292,7.248610,0.886579,3.160755
0.020000,17.453387,13.612735,0.253313,1.866806,7.275706,1.354802,3.164215
0.020000,17.413143,13.611748,0.293569,2.012829,7.301118,1.270602,3.167988
0.020000,17.369971,13.610520,0.336758,2.159453,7.331206,1.504424,3.172087
0.020000,17.323862,13.609011,0.382893,2.306715,7.363102,1.594799,3.176524
0.020000,17.274802,13.607180,0.431986,2.454670,7.397767,1.733239,3.181313
0.020000,17.222779,13.604978,0.484056,2.603489,7.440942,2.158724,3.186470
0.020000,17.167780,13.602356,0.539118,2.753091,7.480074,1.956641,3.192011
0.020000,17.109789,13.599257,0.597191,2.903659,7.528420,2.417283,3.197955
0.020000,17.048792,13.595622,0.658296,3.055262,7.580144,2.586200,3.204322
0.020000,16.984772,13.591382,0.722457,3.208027,7.638232,2.904405,3.211134
0.020000,16.917712,13.586467,0.789697,3.362010,7.699147,3.045718,3.218416
