dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.646211,13.409596,0.000656,0.065594,3.279697,163.984845,3.115789
0.020000,17.645740,13.409609,0.001127,0.023540,-2.102675,-269.118609,3.115327
0.020000,17.643837,13.409660,0.003031,0.095221,3.584005,284.334016,3.114403
0.020000,17.634550,13.409919,0.012321,0.464491,18.463546,743.977029,3.113012
0.020000,17.622160,13.410285,0.024717,0.619788,7.764803,-534.937143,3.111149
0.020000,17.606660,13.410775,0.040225,0.775392,7.780249,0.772335,3.108807
0.020000,17.588040,13.411412,0.058856,0.931554,7.808076,1.391345,3.105975
0.020000,17.566290,13.412223,0.080620,1.088236,7.834087,1.300519,3.102643
0.020000,17.541396,13.413241,0.105535,1.245742,7.875319,2.061598,3.098795
0.020000,17.513346,13.414504,0.133614,1.403930,7.909369,1.702526,3.094418
0.020000,17.482120,13.416055,0.164878,1.563200,7.963520,2.707561,3.089490
0.020000,17.447704,13.417944,0.199346,1.723424,8.011200,2.383992,3.083993
0.020000,17.410075,13.420229,0.237045,1.884910,8.074327,3.156332,3.077902
0.020000,17.369212,13.422972,0.278000,2.047766,8.142801,3.423725,3.071189
0.020000,17.325090,13.426247,0.322243,2.212138,8.218586,3.789241,3.063826
0.020000,17.277686,13.430132,0.369805,2.378130,8.299580,4.049711,3.055780
0.020000,17.226970,13.434718,0.420728,2.546165,8.401756,5.108771,3.047012
0.020000,17.172913,13.440105,0.475054,2.716255,8.504497,5.137079,3.037482
0.020000,17.115487,13.446405,0.532824,2.888501,8.612296,5.389945,3.027145
0.020000,17.054659,13.453741,0.594092,3.063432,8.746563,6.713330,3.015952
0.020000,16.990401,13.462251,0.658912,3.240995,8.878140,6.578837,3.003849
0.020000,16.922677,13.472089,0.727347,3.421732,9.036871,7.936542,2.990774
0.020000,16.851461,13.483424,0.799459,3.605624,9.194584,7.885655,2.976665
0.020000,16.776721,13.496447,0.875325,3.793275,9.382540,9.397832,2.961450
0.020000,16.698438,13.511365,0.955017,3.984622,9.567350,9.240484,2.945054
0.020000,16.616588,13.528411,1.038623,4.180313,9.784553,10.860168,2.927395
0.020000,16.531164,13.547842,1.126229,4.380276,9.998174,10.681014,2.908386
0.020000,16.442166,13.569941,1.217929,4.585010,10.236673,11.924992,2.887934
0.020000,16.349612,13.595019,1.313821,4.794584,10.478699,12.101291,2.865946
0.020000,16.253537,13.623417,1.414005,5.009212,10.731430,12.636522,2.842321
0.020000,16.154006,13.655508,1.518581,5.228806,10.979699,12.413483,2.816961
0.020000,16.051116,13.691691,1.627649,5.453374,11.228380,12.434008,2.789771
0.020000,15.945005,13.732398,1.741299,5.682539,11.458238,11.492941,2.760659
0.020000,15.835868,13.778081,1.859612,5.915613,11.653727,9.774411,2.729547
0.020000,15.723957,13.829212,1.982651,6.151950,11.816860,8.156656,2.696374
0.020000,15.609599,13.886268,2.110451,6.390027,11.903821,4.348060,2.661104
0.020000,15.493205,13.949720,2.243018,6.628318,11.914562,0.537062,2.623732
0.020000,15.375274,14.020014,2.380309,6.864569,11.812521,-5.102039,2.584300
0.020000,15.256400,14.097549,2.522234,7.096270,11.585054,-11.373347,2.542895
0.020000,15.137265,14.182650,2.668643,7.320410,11.207037,-18.900875,2.499666
0.020000,15.018632,14.275547,2.819319,7.533837,10.671345,-26.784576,2.454824
0.020000,14.901323,14.376348,2.973987,7.733395,9.977878,-34.673367,2.408640
0.020000,14.786193,14.485024,3.132308,7.916041,9.132292,-42.279325,2.361446
0.020000,14.674089,14.601401,3.293896,8.079416,8.168790,-48.175080,2.313620
0.020000,14.565818,14.725163,3.458334,8.221904,7.124394,-52.219818,2.265573
0.020000,14.462102,14.855870,3.625192,8.342861,6.047832,-53.828082,2.217725
0.020000,14.363551,14.992982,3.794046,8.442735,4.993678,-52.707718,2.170492
