dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.672528,14.429257,0.000646,0.064562,3.228103,161.405166,3.114528
0.020000,17.672528,14.429257,0.003228,0.193686,6.456207,161.405166,3.114566
0.020000,17.667772,14.429385,0.008393,0.322810,6.456207,0.000000,3.114643
0.020000,17.660028,14.429593,0.016141,0.451934,6.456207,-0.000000,3.114758
0.020000,17.649701,14.429870,0.026470,0.581059,6.456207,0.000000,3.114910
0.020000,17.636793,14.430213,0.039383,0.710183,6.456207,-0.000000,3.115101
0.020000,17.621304,14.430622,0.054878,0.839307,6.456207,0.000000,3.115328
0.020000,17.603233,14.431094,0.072955,0.968431,6.456207,0.000000,3.115592
0.020000,17.582580,14.431628,0.093615,1.097555,6.456207,0.000000,3.115893
0.020000,17.559345,14.432221,0.116857,1.226679,6.456207,-0.000000,3.116228
0.020000,17.533528,14.432872,0.142682,1.355803,6.456207,0.000000,3.116599
0.020000,17.505130,14.433576,0.171089,1.484928,6.456207,0.000000,3.117003
0.020000,17.474149,14.434331,0.202079,1.614052,6.456207,0.000000,3.117441
0.020000,17.440587,14.435134,0.235652,1.743176,6.456207,0.000000,3.117910
0.020000,17.404442,14.435981,0.271806,1.872300,6.456207,0.000000,3.118410
0.020000,17.365715,14.436869,0.310544,2.001424,6.456207,0.000000,3.118941
0.020000,17.324405,14.437793,0.351863,2.130548,6.456207,-0.000000,3.119499
0.020000,17.280513,14.438750,0.395765,2.259672,6.456207,0.000000,3.120085
0.020000,17.234039,14.439735,0.442250,2.388796,6.456207,-0.000000,3.120697
0.020000,17.184982,14.440745,0.491317,2.517921,6.456207,0.000000,3.121334
0.020000,17.133343,14.441774,0.542967,2.647045,6.456207,0.000000,3.121993
0.020000,17.079121,14.442818,0.597199,2.776169,6.456207,-0.000000,3.122674
0.020000,17.022316,14.443873,0.654014,2.905293,6.456207,0.000000,3.123374
0.020000,16.962929,14.444934,0.713411,3.034417,6.456207,-0.000000,3.124091
0.020000,16.900958,14.445996,0.775390,3.163541,6.456207,0.000000,3.124825
