dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.698845,15.448917,0.000656,0.065594,3.279697,163.984845,3.115789
0.020000,17.699316,15.448905,0.001127,0.023540,-2.102675,-269.118609,3.115327
0.020000,17.699297,15.448906,0.001145,0.000933,-1.130384,48.614546,3.114403
0.020000,17.692847,15.449086,0.007598,0.322652,16.085980,860.818197,3.113012
0.020000,17.684255,15.449339,0.016194,0.429777,5.356209,-536.488523,3.111149
0.020000,17.673531,15.449678,0.026923,0.536465,5.334407,-1.090086,3.108807
0.020000,17.660684,15.450118,0.039778,0.642716,5.312556,-1.092578,3.105975
0.020000,17.645728,15.450676,0.054744,0.748326,5.280494,-1.603102,3.102643
0.020000,17.628676,15.451373,0.071810,0.853317,5.249543,-1.547531,3.098795
0.020000,17.609548,15.452234,0.090958,0.957393,5.203831,-2.285631,3.094418
0.020000,17.588361,15.453286,0.112171,1.060622,5.161462,-2.118451,3.089490
0.020000,17.565142,15.454561,0.135425,1.162696,5.103659,-2.890149,3.083993
0.020000,17.539917,15.456093,0.160696,1.263587,5.044593,-2.953259,3.077902
0.020000,17.512716,15.457919,0.187959,1.363119,4.976565,-3.401423,3.071189
0.020000,17.483574,15.460081,0.217181,1.461119,4.900003,-3.828106,3.063826
0.020000,17.452530,15.462625,0.248329,1.557370,4.812564,-4.371947,3.055780
0.020000,17.419628,15.465601,0.281365,1.651842,4.723596,-4.448378,3.047012
0.020000,17.384915,15.469060,0.316250,1.744210,4.618399,-5.259842,3.037482
0.020000,17.348450,15.473059,0.352933,1.834188,4.498915,-5.974211,3.027145
0.020000,17.310292,15.477661,0.391368,1.921738,4.377491,-6.071229,3.015952
0.020000,17.270511,15.482929,0.431497,2.006426,4.234376,-7.155756,3.003849
0.020000,17.229181,15.488932,0.473260,2.088168,4.087115,-7.363019,2.990774
0.020000,17.186389,15.495742,0.516590,2.166513,3.917241,-8.493728,2.976665
0.020000,17.142227,15.503436,0.561418,2.241372,3.742978,-8.713138,2.961450
0.020000,17.096799,15.512091,0.607663,2.312250,3.543880,-9.954884,2.945054
0.020000,17.050217,15.521791,0.655244,2.379071,3.341065,-10.140758,2.927395
0.020000,17.002606,15.532620,0.704071,2.441363,3.114598,-11.323361,2.908386
0.020000,16.954098,15.544662,0.754052,2.499021,2.882890,-11.585387,2.887934
0.020000,16.904838,15.558007,0.805087,2.551770,2.637461,-12.271428,2.865946
0.020000,16.854979,15.572742,0.857078,2.599527,2.387862,-12.479954,2.842321
0.020000,16.804684,15.588955,0.909922,2.642211,2.134156,-12.685297,2.816961
0.020000,16.754118,15.606734,0.963522,2.680011,1.890022,-12.206706,2.789771
0.020000,16.703452,15.626167,1.017787,2.713220,1.660467,-11.477768,2.760659
0.020000,16.652857,15.647340,1.072634,2.742363,1.457149,-10.165922,2.729547
0.020000,16.602493,15.670346,1.128003,2.768447,1.304199,-7.647465,2.696374
0.020000,16.552514,15.695277,1.183855,2.792626,1.208917,-4.764109,2.661104
0.020000,16.503050,15.722236,1.240189,2.816673,1.202358,-0.327963,2.623732
0.020000,16.454212,15.751342,1.297043,2.842691,1.300926,4.928431,2.584300
0.020000,16.406077,15.782732,1.354509,2.873301,1.530498,11.478596,2.542895
0.020000,16.358693,15.816576,1.412737,2.911433,1.906606,18.805374,2.499666
0.020000,16.312077,15.853076,1.471943,2.960282,2.442433,26.791343,2.454824
0.020000,16.266220,15.892480,1.532404,3.023067,3.139227,34.839708,2.408640
0.020000,16.221096,15.935077,1.594458,3.102708,3.982078,42.142547,2.361446
0.020000,16.176675,15.981197,1.658491,3.201650,4.947113,48.251780,2.313620
