dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.613448,3.202706,0.000653,0.065263,3.263161,163.158042,6.282250
0.020000,0.613311,3.202706,0.000789,0.006839,-2.921229,-309.219498,6.282384
0.020000,0.613038,3.202706,0.001063,0.013673,0.341694,163.146169,6.282652
0.020000,0.612628,3.202706,0.001473,0.020497,0.341219,-0.023764,6.283054
0.020000,0.619965,3.202708,0.008810,0.366873,17.318796,848.878854,0.000404
0.020000,0.632336,3.202717,0.021181,0.618519,12.582330,-236.823324,0.001073
0.020000,0.647181,3.202739,0.036026,0.742281,6.188055,-319.713724,0.001874
0.020000,0.664503,3.202779,0.053348,0.866065,6.189217,0.058104,0.002808
0.020000,0.684300,3.202846,0.073145,0.989868,6.190178,0.048051,0.003874
0.020000,0.706574,3.202945,0.095420,1.113731,6.193129,0.147549,0.005070
0.020000,0.731326,3.203087,0.120172,1.237607,6.193776,0.032354,0.006397
0.020000,0.758556,3.203281,0.147402,1.361528,6.196076,0.114993,0.007853
0.020000,0.788265,3.203538,0.177113,1.485514,6.199291,0.160753,0.009437
0.020000,0.820454,3.203869,0.209304,1.609554,6.202003,0.135587,0.011149
0.020000,0.855125,3.204288,0.243976,1.733642,6.204424,0.121030,0.012987
0.020000,0.892277,3.204807,0.281132,1.857799,6.207837,0.170681,0.014949
0.020000,0.931913,3.205441,0.320773,1.982022,6.211146,0.165440,0.017035
0.020000,0.974032,3.206205,0.362900,2.106338,6.215773,0.231358,0.019243
0.020000,1.018637,3.207115,0.407514,2.230721,6.219177,0.170217,0.021572
0.020000,1.065729,3.208189,0.454618,2.355194,6.223663,0.224259,0.024019
0.020000,1.115308,3.209444,0.504213,2.479752,6.227889,0.211320,0.026583
0.020000,1.167376,3.210898,0.556301,2.604420,6.233393,0.275186,0.029262
0.020000,1.221935,3.212571,0.610885,2.729197,6.238836,0.272172,0.032054
0.020000,1.278984,3.214484,0.667967,2.854082,6.244268,0.271610,0.034957
0.020000,1.338526,3.216656,0.727548,2.979077,6.249739,0.273520,0.037968
0.020000,1.400562,3.219109,0.789632,3.104195,6.255909,0.308528,0.041085
0.020000,1.465092,3.221866,0.854222,3.229462,6.263333,0.371199,0.044305
0.020000,1.532118,3.224949,0.921319,3.354855,6.269681,0.317393,0.047625
0.020000,1.601641,3.228382,0.990927,3.480393,6.276869,0.359399,0.051044
0.020000,1.673663,3.232189,1.063048,3.606087,6.284704,0.391732,0.054557
0.020000,1.748183,3.236393,1.137687,3.731939,6.292630,0.396307,0.058162
0.020000,1.825203,3.241021,1.214846,3.857953,6.300703,0.403669,0.061855
0.020000,1.904724,3.246097,1.294529,3.984164,6.310505,0.490060,0.065634
0.020000,1.986747,3.251647,1.376740,4.110526,6.318126,0.381073,0.069493
0.020000,2.071273,3.257698,1.461482,4.237108,6.329110,0.549188,0.073430
0.020000,2.158302,3.264276,1.548759,4.363869,6.338055,0.447278,0.077441
0.020000,2.247836,3.271408,1.638576,4.490839,6.348462,0.520322,0.081522
0.020000,2.339873,3.279120,1.730937,4.618021,6.359097,0.531754,0.085668
0.020000,2.434417,3.287440,1.825845,4.745428,6.370383,0.564326,0.089875
0.020000,2.531466,3.296395,1.923307,4.873064,6.381798,0.570748,0.094139
0.020000,2.631021,3.306012,2.023325,5.000929,6.393262,0.573191,0.098455
0.020000,2.733083,3.316319,2.125906,5.129042,6.405653,0.619523,0.102819
0.020000,2.837651,3.327342,2.231054,5.257412,6.418458,0.640252,0.107224
0.020000,2.944727,3.339109,2.338775,5.386033,6.431082,0.631208,0.111667
0.020000,3.054311,3.351646,2.449073,5.514921,6.444412,0.666510,0.116143
0.020000,3.166403,3.364980,2.561955,5.644090,6.458442,0.701499,0.120645
0.020000,3.281002,3.379137,2.677426,5.773531,6.472041,0.679932,0.125168
0.020000,3.398110,3.394143,2.795491,5.903264,6.486632,0.729576,0.129706
0.020000,3.517726,3.410023,2.916157,6.033288,6.501234,0.730072,0.134255
0.020000,3.639851,3.426802,3.039429,6.163618,6.516483,0.762488,0.138807
0.020000,3.764485,3.444505,3.165314,6.294253,6.531764,0.764028,0.143357
0.020000,3.891629,3.463154,3.293818,6.425203,6.547479,0.785742,0.147899
0.020000,4.021283,3.482772,3.424948,6.556473,6.563503,0.801204,0.152427
0.020000,4.153447,3.503381,3.558709,6.688068,6.579738,0.811752,0.156933
0.020000,4.288122,3.525002,3.695109,6.819995,6.596381,0.832184,0.161412
0.020000,4.425310,3.547654,3.834154,6.952260,6.613225,0.842200,0.165857
0.020000,4.565011,3.571357,3.975852,7.084867,6.630362,0.856827,0.170261
0.020000,4.707226,3.596128,4.120208,7.217822,6.647735,0.868628,0.174618
0.020000,4.851957,3.621984,4.267231,7.351129,6.665367,0.881597,0.178919
0.020000,4.999206,3.648939,4.416926,7.484793,6.683187,0.891048,0.183160
0.020000,5.148975,3.677006,4.569303,7.618820,6.701353,0.908286,0.187332
0.020000,5.301267,3.706199,4.724367,7.753212,6.719621,0.913384,0.191428
0.020000,5.456084,3.736527,4.882127,7.887977,6.738213,0.929609,0.195440
0.020000,5.613429,3.767999,5.042589,8.023112,6.756788,0.928749,0.199363
0.020000,5.773307,3.800623,5.205761,8.158630,6.775857,0.953441,0.203188
0.020000,5.935722,3.834403,5.371652,8.294529,6.794988,0.956570,0.206907
0.020000,6.100679,3.869342,5.540268,8.430815,6.814266,0.963871,0.210513
