dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.612494,2.182706,0.000642,0.064179,3.208959,160.447973,0.000000
0.020000,0.612494,2.182706,0.003209,0.192538,6.417919,160.447973,0.000000
0.020000,0.617432,2.182706,0.008343,0.320896,6.417919,0.000000,0.000000
0.020000,0.625133,2.182706,0.016045,0.449254,6.417919,-0.000000,0.000000
0.020000,0.635402,2.182706,0.026313,0.577613,6.417919,0.000000,0.000000
0.020000,0.648238,2.182706,0.039149,0.705971,6.417919,0.000000,0.000000
0.020000,0.663641,2.182706,0.054552,0.834329,6.417919,0.000000,0.000000
0.020000,0.681611,2.182706,0.072522,0.962688,6.417919,0.000000,0.000000
0.020000,0.702148,2.182706,0.093060,1.091046,6.417919,0.000000,0.000000
0.020000,0.725253,2.182706,0.116164,1.219405,6.417919,-0.000000,0.000000
0.020000,0.750925,2.182706,0.141836,1.347763,6.417919,0.000000,0.000000
0.020000,0.779164,2.182706,0.170075,1.476121,6.417919,-0.000000,0.000000
0.020000,0.809970,2.182706,0.200881,1.604480,6.417919,0.000000,0.000000
0.020000,0.843343,2.182706,0.234254,1.732838,6.417919,0.000000,0.000000
0.020000,0.879283,2.182706,0.270194,1.861196,6.417919,0.000000,0.000000
0.020000,0.917791,2.182706,0.308702,1.989555,6.417919,-0.000000,0.000000
0.020000,0.958865,2.182706,0.349777,2.117913,6.417919,0.000000,0.000000
0.020000,1.002507,2.182706,0.393418,2.246272,6.417919,0.000000,0.000000
0.020000,1.048716,2.182706,0.439627,2.374630,6.417919,0.000000,0.000000
0.020000,1.097492,2.182706,0.488404,2.502988,6.417919,0.000000,0.000000
0.020000,1.148836,2.182706,0.539747,2.631347,6.417919,0.000000,0.000000
0.020000,1.202746,2.182706,0.593658,2.759705,6.417919,-0.000000,0.000000
0.020000,1.259224,2.182706,0.650135,2.888064,6.417919,0.000000,0.000000
0.020000,1.318269,2.182706,0.709180,3.016422,6.417919,0.000000,0.000000
0.020000,1.379881,2.182706,0.770792,3.144780,6.417919,-0.000000,0.000000
0.020000,1.444060,2.182706,0.834971,3.273139,6.417919,0.000000,0.000000
0.020000,1.510806,2.182706,0.901718,3.401497,6.417919,-0.000000,0.000000
0.020000,1.580120,2.182706,0.971031,3.529855,6.417919,-0.000000,0.000000
0.020000,1.652000,2.182706,1.042912,3.658214,6.417919,0.000000,0.000000
0.020000,1.726448,2.182706,1.117360,3.786572,6.417919,0.000000,0.000000
0.020000,1.803463,2.182706,1.194375,3.914931,6.417919,-0.000000,0.000000
0.020000,1.883046,2.182706,1.273957,4.043289,6.417919,0.000000,0.000000
0.020000,1.965195,2.182706,1.356106,4.171647,6.417919,-0.000000,0.000000
0.020000,2.049911,2.182706,1.440823,4.300006,6.417919,0.000000,0.000000
0.020000,2.137195,2.182706,1.528106,4.428364,6.417919,0.000000,0.000000
0.020000,2.227046,2.182706,1.617957,4.556722,6.417919,-0.000000,0.000000
0.020000,2.318749,2.182706,1.709660,4.613538,2.840768,-178.857536,0.000000
0.020000,2.410304,2.182706,1.801215,4.541995,-3.577151,-320.895947,0.000000
0.020000,2.499860,2.182706,1.890772,4.413636,-6.417919,-142.038411,0.000000
0.020000,2.586849,2.182706,1.977761,4.285278,-6.417919,-0.000000,0.000000
0.020000,2.671271,2.182706,2.062183,4.156920,-6.417919,0.000000,0.000000
0.020000,2.753126,2.182706,2.144038,4.028561,-6.417919,-0.000000,0.000000
0.020000,2.832414,2.182706,2.223325,3.900203,-6.417919,0.000000,0.000000
0.020000,2.909134,2.182706,2.300046,3.771845,-6.417919,-0.000000,0.000000
0.020000,2.983288,2.182706,2.374199,3.643486,-6.417919,0.000000,0.000000
0.020000,3.054874,2.182706,2.445785,3.515128,-6.417919,0.000000,0.000000
0.020000,3.123893,2.182706,2.514804,3.386769,-6.417919,-0.000000,0.000000
0.020000,3.190345,2.182706,2.581256,3.258411,-6.417919,0.000000,0.000000
0.020000,3.254229,2.182706,2.645141,3.130053,-6.417919,-0.000000,0.000000
0.020000,3.315547,2.182706,2.706458,3.001694,-6.417919,0.000000,0.000000
0.020000,3.374297,2.182706,2.765208,2.873336,-6.417919,-0.000000,0.000000
0.020000,3.430480,2.182706,2.821391,2.744977,-6.417919,0.000000,0.000000
0.020000,3.484096,2.182706,2.875007,2.616619,-6.417919,-0.000000,0.000000
0.020000,3.535145,2.182706,2.926056,2.488261,-6.417919,0.000000,0.000000
0.020000,3.583626,2.182706,2.974538,2.359902,-6.417919,0.000000,0.000000
0.020000,3.629541,2.182706,3.020452,2.231544,-6.417919,0.000000,0.000000
0.020000,3.672888,2.182706,3.063800,2.103186,-6.417919,0.000000,0.000000
0.020000,3.713668,2.182706,3.104580,1.974827,-6.417919,-0.000000,0.000000
0.020000,3.751881,2.182706,3.142793,1.846469,-6.417919,0.000000,0.000000
0.020000,3.787527,2.182706,3.178438,1.718110,-6.417919,-0.000000,0.000000
0.020000,3.820606,2.182706,3.211517,1.589752,-6.417919,0.000000,0.000000
0.020000,3.851117,2.182706,3.242029,1.461394,-6.417919,-0.000000,0.000000
0.020000,3.879061,2.182706,3.269973,1.333035,-6.417919,0.000000,0.000000
0.020000,3.904439,2.182706,3.295350,1.204677,-6.417919,0.000000,0.000000
0.020000,3.927249,2.182706,3.318160,1.076319,-6.417919,-0.000000,0.000000
0.020000,3.947491,2.182706,3.338403,0.947960,-6.417919,0.000000,0.000000
0.020000,3.965167,2.182706,3.356078,0.819602,-6.417919,0.000000,0.000000
0.020000,3.980275,2.182706,3.371187,0.691243,-6.417919,0.000000,0.000000
0.020000,3.992817,2.182706,3.383728,0.562885,-6.417919,0.000000,0.000000
0.020000,4.002791,2.182706,3.393702,0.434527,-6.417919,0.000000,0.000000
0.020000,4.010198,2.182706,3.401109,0.306168,-6.417919,-0.000000,0.000000
0.020000,4.015038,2.182706,3.405949,0.177810,-6.417919,0.000000,0.000000
0.020000,4.017384,2.182706,3.408295,0.056815,-6.049728,18.409562,0.000000
0.020000,4.017952,2.182706,3.408863,0.000000,-2.840768,160.447973,0.000000
0.020000,4.017952,2.182706,3.408863,0.000000,0.000000,142.038411,0.000000
