dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.611540,1.162707,0.000653,0.065263,3.263161,163.158042,6.282250
0.020000,0.611677,1.162707,0.000789,0.006839,-2.921229,-309.219498,6.282384
0.020000,0.611950,1.162707,0.001063,0.013673,0.341694,163.146169,6.282652
0.020000,0.612360,1.162706,0.001473,0.020497,0.341219,-0.023764,6.283054
0.020000,0.620790,1.162708,0.009903,0.421490,20.049661,985.422101,0.000404
0.020000,0.634524,1.162718,0.023637,0.686723,13.261626,-339.401728,0.001073
0.020000,0.651005,1.162743,0.040118,0.824030,6.865388,-319.811922,0.001874
0.020000,0.670231,1.162788,0.059344,0.961309,6.863922,-0.073319,0.002808
0.020000,0.692202,1.162861,0.081315,1.098544,6.861756,-0.108305,0.003874
0.020000,0.716917,1.162971,0.106030,1.235770,6.861313,-0.022115,0.005070
0.020000,0.744375,1.163129,0.133489,1.372927,6.857821,-0.174612,0.006397
0.020000,0.774575,1.163344,0.163689,1.510040,6.855660,-0.108053,0.007853
0.020000,0.807516,1.163629,0.196632,1.647120,6.854000,-0.083006,0.009437
0.020000,0.843197,1.163996,0.232315,1.784145,6.851256,-0.137202,0.011149
0.020000,0.881617,1.164460,0.270737,1.921098,6.847652,-0.180204,0.012987
0.020000,0.922772,1.165035,0.311896,2.057990,6.844598,-0.152693,0.014949
0.020000,0.966663,1.165737,0.355793,2.194807,6.840864,-0.186707,0.017035
0.020000,1.013287,1.166583,0.402424,2.331567,6.838011,-0.142643,0.019243
0.020000,1.062641,1.167590,0.451789,2.468232,6.833211,-0.239992,0.021572
0.020000,1.114724,1.168777,0.503885,2.604812,6.829000,-0.210558,0.024019
0.020000,1.169532,1.170165,0.558711,2.741289,6.823880,-0.256013,0.026583
0.020000,1.227063,1.171771,0.616264,2.877680,6.819533,-0.217325,0.029262
0.020000,1.287314,1.173619,0.676544,3.013969,6.814465,-0.253393,0.032054
0.020000,1.350282,1.175730,0.739546,3.150144,6.808716,-0.287479,0.034957
0.020000,1.415962,1.178126,0.805270,3.286190,6.802325,-0.319554,0.037968
0.020000,1.484350,1.180831,0.873712,3.422110,6.796007,-0.315851,0.041085
0.020000,1.555444,1.183868,0.944871,3.557917,6.790358,-0.282469,0.044305
0.020000,1.629237,1.187262,1.018742,3.693573,6.782795,-0.378155,0.047625
0.020000,1.705726,1.191039,1.095324,3.829082,6.775418,-0.368867,0.051044
0.020000,1.784904,1.195224,1.174613,3.964442,6.767999,-0.370927,0.054557
0.020000,1.866767,1.199843,1.256606,4.099640,6.759917,-0.404110,0.058162
0.020000,1.951308,1.204922,1.341299,4.234664,6.751223,-0.434708,0.061855
0.020000,2.038521,1.210489,1.428690,4.369537,6.743641,-0.379086,0.065634
0.020000,2.128399,1.216571,1.518773,4.504195,6.732877,-0.538190,0.069493
0.020000,2.220936,1.223196,1.611547,4.638695,6.725002,-0.393781,0.073430
0.020000,2.316124,1.230390,1.707007,4.772977,6.714090,-0.545587,0.077441
0.020000,2.413956,1.238183,1.805148,4.907056,6.703972,-0.505877,0.081522
0.020000,2.514422,1.246601,1.905966,5.040922,6.693297,-0.533775,0.085668
0.020000,2.617515,1.255674,2.009458,5.174572,6.682525,-0.538611,0.089875
0.020000,2.723226,1.265428,2.115618,5.307994,6.671086,-0.571927,0.094139
0.020000,2.831545,1.275891,2.224441,5.441172,6.658899,-0.609340,0.098455
0.020000,2.942463,1.287092,2.335923,5.574111,6.646925,-0.598729,0.102819
0.020000,3.055970,1.299058,2.450060,5.706803,6.634610,-0.615730,0.107224
0.020000,3.172056,1.311814,2.566844,5.839229,6.621318,-0.664581,0.111667
0.020000,3.290710,1.325389,2.686272,5.971390,6.608024,-0.664747,0.116143
0.020000,3.411921,1.339808,2.808338,6.103284,6.594728,-0.664771,0.120645
0.020000,3.535678,1.355096,2.933035,6.234889,6.580223,-0.725277,0.125168
0.020000,3.661969,1.371279,3.060360,6.366210,6.566063,-0.708003,0.129706
0.020000,3.790784,1.388380,3.190304,6.497234,6.551202,-0.743040,0.134255
0.020000,3.922109,1.406424,3.322863,6.627961,6.536346,-0.742770,0.138807
0.020000,4.055934,1.425431,3.458031,6.758378,6.520850,-0.774819,0.143357
0.020000,4.192245,1.445425,3.595801,6.888481,6.505167,-0.784161,0.147899
0.020000,4.331031,1.466424,3.736166,7.018265,6.489182,-0.799225,0.152427
0.020000,4.472278,1.488450,3.879120,7.147721,6.472812,-0.818502,0.156933
0.020000,4.615975,1.511519,4.024657,7.276847,6.456289,-0.826152,0.161412
