dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.579749,24.842099,0.000639,0.063863,3.193137,159.656872,0.000000
0.020000,0.579749,24.842099,0.003193,0.191588,6.386275,159.656872,0.000000
0.020000,0.584679,24.842099,0.008302,0.319314,6.386275,0.000000,0.000000
0.020000,0.592342,24.842099,0.015966,0.447039,6.386275,-0.000000,0.000000
0.020000,0.602560,24.842099,0.026184,0.574765,6.386275,0.000000,0.000000
0.020000,0.615333,24.842099,0.038956,0.702490,6.386275,0.000000,0.000000
0.020000,0.630660,24.842099,0.054283,0.830216,6.386275,-0.000000,0.000000
0.020000,0.648542,24.842099,0.072165,0.957941,6.386275,0.000000,0.000000
0.020000,0.668978,24.842099,0.092601,1.085667,6.386275,-0.000000,0.000000
0.020000,0.691968,24.842099,0.115592,1.213392,6.386275,-0.000000,0.000000
0.020000,0.717513,24.842099,0.141137,1.341118,6.386275,0.000000,0.000000
0.020000,0.745613,24.842099,0.169236,1.468843,6.386275,-0.000000,0.000000
0.020000,0.776267,24.842099,0.199890,1.596569,6.386275,0.000000,0.000000
0.020000,0.809476,24.842099,0.233099,1.724294,6.386275,-0.000000,0.000000
0.020000,0.845239,24.842099,0.268862,1.852020,6.386275,0.000000,0.000000
0.020000,0.883556,24.842099,0.307180,1.979745,6.386275,0.000000,0.000000
0.020000,0.924429,24.842099,0.348052,2.107471,6.386275,-0.000000,0.000000
0.020000,0.967855,24.842099,0.391479,2.235196,6.386275,0.000000,0.000000
0.020000,1.013836,24.842099,0.437460,2.362922,6.386275,0.000000,0.000000
0.020000,1.062372,24.842099,0.485996,2.490647,6.386275,0.000000,0.000000
0.020000,1.113462,24.842099,0.537086,2.618373,6.386275,-0.000000,0.000000
0.020000,1.167107,24.842099,0.590730,2.746098,6.386275,0.000000,0.000000
0.020000,1.223306,24.842099,0.646930,2.873824,6.386275,0.000000,0.000000
0.020000,1.282060,24.842099,0.705683,3.001549,6.386275,-0.000000,0.000000
0.020000,1.343368,24.842099,0.766992,3.129275,6.386275,0.000000,0.000000
0.020000,1.407231,24.842099,0.830854,3.257000,6.386275,-0.000000,0.000000
0.020000,1.473648,24.842099,0.897272,3.384726,6.386275,0.000000,0.000000
0.020000,1.542620,24.842099,0.966243,3.512451,6.386275,0.000000,0.000000
0.020000,1.614146,24.842099,1.037770,3.640177,6.386275,0.000000,0.000000
0.020000,1.688227,24.842099,1.111850,3.767902,6.386275,0.000000,0.000000
0.020000,1.764862,24.842099,1.188486,3.895628,6.386275,0.000000,0.000000
0.020000,1.844052,24.842099,1.267676,4.023353,6.386275,0.000000,0.000000
0.020000,1.925797,24.842099,1.349420,4.151079,6.386275,-0.000000,0.000000
0.020000,2.010095,24.842099,1.433719,4.278804,6.386275,0.000000,0.000000
0.020000,2.096949,24.842099,1.520572,4.406530,6.386275,0.000000,0.000000
0.020000,2.186357,24.842099,1.609980,4.534255,6.386275,-0.000000,0.000000
0.020000,2.277496,24.842099,1.701119,4.579700,2.272253,-205.701111,0.000000
0.020000,2.368267,24.842099,1.791891,4.497420,-4.114022,-319.313744,0.000000
0.020000,2.456938,24.842099,1.880562,4.369694,-6.386275,-113.612633,0.000000
0.020000,2.543055,24.842099,1.966678,4.241969,-6.386275,0.000000,0.000000
0.020000,2.626617,24.842099,2.050241,4.114243,-6.386275,-0.000000,0.000000
0.020000,2.707625,24.842099,2.131248,3.986518,-6.386275,0.000000,0.000000
0.020000,2.786078,24.842099,2.209701,3.858792,-6.386275,0.000000,0.000000
0.020000,2.861976,24.842099,2.285600,3.731067,-6.386275,-0.000000,0.000000
0.020000,2.935321,24.842099,2.358944,3.603341,-6.386275,-0.000000,0.000000
0.020000,3.006110,24.842099,2.429733,3.475616,-6.386275,0.000000,0.000000
0.020000,3.074345,24.842099,2.497969,3.347890,-6.386275,-0.000000,0.000000
0.020000,3.140026,24.842099,2.563649,3.220165,-6.386275,0.000000,0.000000
0.020000,3.203152,24.842099,2.626775,3.092439,-6.386275,0.000000,0.000000
0.020000,3.263723,24.842099,2.687347,2.964714,-6.386275,-0.000000,0.000000
0.020000,3.321740,24.842099,2.745364,2.836988,-6.386275,0.000000,0.000000
