dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.580674,23.822099,0.000652,0.065230,3.261475,163.073762,0.000907
0.020000,0.580541,23.822099,0.000785,0.006637,-2.929613,-309.554401,0.000777
0.020000,0.580276,23.822099,0.001050,0.013270,0.331629,163.062087,0.000516
0.020000,0.579878,23.822099,0.001448,0.019893,0.331162,-0.023365,0.000126
0.020000,0.587250,23.822098,0.008820,0.368588,17.434731,855.178487,6.282792
0.020000,0.599634,23.822089,0.021204,0.619189,12.530053,-245.233922,6.282143
0.020000,0.614495,23.822067,0.036065,0.743082,6.194672,-316.769024,6.281365
0.020000,0.631835,23.822028,0.053405,0.867000,6.195867,0.059713,6.280459
0.020000,0.651654,23.821964,0.073224,0.990937,6.196866,0.049950,6.279425
0.020000,0.673952,23.821867,0.095523,1.114930,6.199653,0.139340,6.278264
0.020000,0.698731,23.821729,0.120302,1.238938,6.200386,0.036688,6.276977
0.020000,0.725990,23.821540,0.147561,1.362992,6.202717,0.116540,6.275564
0.020000,0.755731,23.821291,0.177304,1.487107,6.205728,0.150542,6.274027
0.020000,0.787955,23.820969,0.209529,1.611277,6.208544,0.140785,6.272366
0.020000,0.822662,23.820563,0.244239,1.735495,6.210887,0.117163,6.270583
0.020000,0.859855,23.820058,0.281435,1.859780,6.214238,0.167561,6.268679
0.020000,0.899532,23.819443,0.321117,1.984130,6.217501,0.163147,6.266655
0.020000,0.941697,23.818700,0.363289,2.108573,6.222143,0.232115,6.264513
0.020000,0.986350,23.817816,0.407950,2.233078,6.225262,0.155909,6.262255
0.020000,1.033492,23.816773,0.455104,2.357677,6.229934,0.233614,6.259882
0.020000,1.083124,23.815554,0.504751,2.482356,6.233963,0.201481,6.257395
0.020000,1.135248,23.814142,0.556894,2.607143,6.239333,0.268496,6.254797
0.020000,1.189865,23.812517,0.611534,2.732036,6.244656,0.266137,6.252090
0.020000,1.246975,23.810660,0.668675,2.857035,6.249978,0.266075,6.249276
0.020000,1.306581,23.808551,0.728318,2.982142,6.255344,0.268329,6.246357
0.020000,1.368682,23.806169,0.790465,3.107374,6.261584,0.312000,6.243335
0.020000,1.433282,23.803492,0.855120,3.232742,6.268392,0.340402,6.240214
0.020000,1.500380,23.800499,0.922285,3.358242,6.275028,0.331796,6.236995
0.020000,1.569978,23.797166,0.991963,3.483879,6.281831,0.340134,6.233682
0.020000,1.642076,23.793471,1.064156,3.609668,6.289456,0.381261,6.230277
0.020000,1.716677,23.789389,1.138868,3.735612,6.297175,0.385965,6.226784
0.020000,1.793781,23.784897,1.216103,3.861713,6.305068,0.394624,6.223205
0.020000,1.873388,23.779970,1.295863,3.988007,6.314709,0.482077,6.219545
0.020000,1.955501,23.774583,1.378152,4.114447,6.322016,0.365352,6.215806
0.020000,2.040119,23.768710,1.462974,4.241095,6.332381,0.518222,6.211992
0.020000,2.127244,23.762326,1.550332,4.367926,6.341544,0.458162,6.208107
0.020000,2.216876,23.755406,1.640231,4.494954,6.351406,0.493110,6.204155
0.020000,2.309017,23.747922,1.732675,4.622188,6.361717,0.515540,6.200139
0.020000,2.403666,23.739849,1.827668,4.749645,6.372849,0.556600,6.196065
0.020000,2.500825,23.731161,1.925214,4.877315,6.383492,0.532162,6.191936
0.020000,2.600493,23.721830,2.025318,5.005215,6.394998,0.575281,6.187756
