dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,13.120957,15.482002,0.000640,0.063964,3.198199,159.909962,0.000045
0.020000,13.120997,15.482002,0.000680,0.002014,-3.097501,-314.785034,0.000006
0.020000,13.125823,15.482001,0.005506,0.241311,11.964855,753.117843,6.283112
0.020000,13.133619,15.482000,0.013302,0.389791,7.424006,-227.042465,6.282994
0.020000,13.144013,15.481998,0.023696,0.519681,6.494502,-46.475209,6.282838
0.020000,13.157003,15.481992,0.036686,0.649537,6.492772,-0.086486,6.282644
0.020000,13.172590,15.481982,0.052273,0.779349,6.490611,-0.108058,6.282413
0.020000,13.190772,15.481965,0.070455,0.909109,6.488016,-0.129769,6.282146
0.020000,13.211549,15.481940,0.091232,1.038809,6.484988,-0.151366,6.281845
0.020000,13.234917,15.481905,0.114600,1.168440,6.481530,-0.172941,6.281509
0.020000,13.260877,15.481857,0.140560,1.297992,6.477636,-0.194692,6.281143
0.020000,13.289426,15.481793,0.169109,1.427458,6.473311,-0.216253,6.280745
0.020000,13.320563,15.481710,0.200246,1.556830,6.468552,-0.237936,6.280320
0.020000,13.354285,15.481606,0.233968,1.686097,6.463361,-0.259536,6.279868
0.020000,13.390589,15.481477,0.270273,1.815251,6.457736,-0.281258,6.279393
0.020000,13.429475,15.481320,0.309159,1.944285,6.451679,-0.302872,6.278895
0.020000,13.470938,15.481131,0.350623,2.073189,6.445188,-0.324521,6.278379
0.020000,13.514977,15.480908,0.394662,2.201954,6.438264,-0.346205,6.277846
0.020000,13.561587,15.480646,0.441273,2.330572,6.430907,-0.367833,6.277300
0.020000,13.610767,15.480343,0.490454,2.459035,6.423117,-0.389508,6.276743
0.020000,13.662513,15.479995,0.542200,2.587332,6.414894,-0.411155,6.276178
0.020000,13.716820,15.479598,0.596510,2.715457,6.406238,-0.432801,6.275610
0.020000,13.773686,15.479151,0.653378,2.843400,6.397149,-0.454449,6.275042
0.020000,13.833107,15.478651,0.712801,2.971153,6.387627,-0.476094,6.274477
0.020000,13.895079,15.478093,0.774775,3.098706,6.377673,-0.497725,6.273920
0.020000,13.959597,15.477478,0.839296,3.226052,6.367285,-0.519363,6.273374
0.020000,14.026657,15.476802,0.906359,3.353181,6.356466,-0.540989,6.272843
0.020000,14.096255,15.476064,0.975961,3.480085,6.345213,-0.562611,6.272333
0.020000,14.168386,15.475263,1.048096,3.606756,6.333529,-0.584233,6.271847
0.020000,14.243045,15.474400,1.122760,3.733184,6.321412,-0.605844,6.271391
0.020000,14.320226,15.473473,1.199947,3.859362,6.308863,-0.627470,6.270969
0.020000,14.399926,15.472483,1.279653,3.985279,6.295881,-0.649070,6.270586
0.020000,14.482137,15.471433,1.361871,4.110929,6.282467,-0.670700,6.270248
0.020000,14.566856,15.470324,1.446597,4.236301,6.268621,-0.692315,6.269960
0.020000,14.654076,15.469160,1.533825,4.361388,6.254342,-0.713943,6.269728
0.020000,14.743792,15.467945,1.623549,4.486180,6.239630,-0.735576,6.269558
0.020000,14.835996,15.466683,1.715762,4.610670,6.224486,-0.757221,6.269454
0.020000,14.929880,15.465391,1.809655,4.694626,4.197785,-101.335043,6.269425
0.020000,15.023357,15.464107,1.903140,4.674270,-1.017796,-260.779065,6.269471
0.020000,15.114676,15.462859,1.994468,4.566405,-5.393264,-218.773413,6.269589
0.020000,15.203370,15.461661,2.083170,4.435113,-6.564581,-58.565826,6.269773
0.020000,15.289445,15.460516,2.169253,4.304122,-6.549548,0.751636,6.270017
0.020000,15.372907,15.459429,2.252721,4.173423,-6.534948,0.729999,6.270316
0.020000,15.453760,15.458402,2.333581,4.043007,-6.520781,0.708363,6.270663
0.020000,15.532012,15.457437,2.411839,3.912867,-6.507046,0.686748,6.271053
0.020000,15.607666,15.456535,2.487499,3.782992,-6.493744,0.665123,6.271482
0.020000,15.680729,15.455697,2.560566,3.653374,-6.480873,0.643502,6.271944
0.020000,15.751205,15.454921,2.631046,3.524005,-6.468435,0.621901,6.272434
0.020000,15.819098,15.454209,2.698944,3.394877,-6.456430,0.600273,6.272948
0.020000,15.884415,15.453557,2.764263,3.265980,-6.444857,0.578665,6.273481
0.020000,15.947158,15.452965,2.827009,3.137305,-6.433716,0.557038,6.274028
0.020000,16.007333,15.452431,2.887186,3.008845,-6.423008,0.535418,6.274586
0.020000,16.064942,15.451952,2.944798,2.880591,-6.412732,0.513787,6.275150
0.020000,16.119991,15.451525,2.999849,2.752533,-6.402889,0.492157,6.275717
0.020000,16.172483,15.451147,3.052342,2.624663,-6.393478,0.470513,6.276283
0.020000,16.222422,15.450817,3.102281,2.496973,-6.384501,0.448867,6.276844
0.020000,16.269810,15.450529,3.149671,2.369454,-6.375957,0.427227,6.277397
0.020000,16.314651,15.450282,3.194512,2.242097,-6.367845,0.405580,6.277938
0.020000,16.356948,15.450071,3.236810,2.114894,-6.360167,0.383914,6.278466
0.020000,16.396705,15.449893,3.276567,1.987835,-6.352921,0.362264,6.278976
0.020000,16.433923,15.449746,3.313785,1.860913,-6.346109,0.340619,6.279467
0.020000,16.468605,15.449625,3.348468,1.734119,-6.339730,0.318945,6.279936
0.020000,16.500754,15.449528,3.380617,1.607443,-6.333784,0.297281,6.280380
0.020000,16.530371,15.449451,3.410234,1.480878,-6.328271,0.275653,6.280797
0.020000,16.557459,15.449391,3.437322,1.354414,-6.323191,0.254009,6.281186
0.020000,16.582020,15.449346,3.461883,1.228043,-6.318545,0.232324,6.281544
0.020000,16.604055,15.449314,3.483918,1.101756,-6.314331,0.210693,6.281870
0.020000,16.623566,15.449291,3.503429,0.975545,-6.310549,0.189089,6.282162
0.020000,16.640554,15.449276,3.520417,0.849401,-6.307202,0.167366,6.282419
0.020000,16.655020,15.449266,3.534884,0.723316,-6.304285,0.145825,6.282640
0.020000,16.666966,15.449261,3.546829,0.597279,-6.301803,0.124103,6.282824
0.020000,16.676392,15.449258,3.556255,0.471284,-6.299751,0.102603,6.282970
0.020000,16.683298,15.449257,3.563161,0.345322,-6.298134,0.080847,6.283078
0.020000,16.687686,15.449257,3.567549,0.219383,-6.296949,0.059275,6.283146
0.020000,16.689717,15.449257,3.569580,0.101573,-5.890463,20.324274,6.283178
0.020000,16.690185,15.449257,3.570048,0.023364,-3.910453,99.000526,6.283185
0.020000,16.690185,15.449257,3.570048,0.000000,-1.168222,137.111541,6.283185
