dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,13.121003,14.462002,0.000640,0.063964,3.198199,159.909962,0.000045
0.020000,13.121003,14.462002,0.003198,0.191892,6.396398,159.909962,0.000006
0.020000,13.125749,14.462001,0.008315,0.319820,6.396398,0.000000,6.283112
0.020000,13.133424,14.462000,0.015991,0.447748,6.396398,-0.000000,6.282994
0.020000,13.143658,14.461998,0.026225,0.575676,6.396398,0.000000,6.282838
0.020000,13.156451,14.461992,0.039018,0.703604,6.396398,0.000000,6.282644
0.020000,13.171803,14.461982,0.054369,0.831532,6.396398,-0.000000,6.282413
0.020000,13.189713,14.461966,0.072279,0.959460,6.396398,0.000000,6.282146
0.020000,13.210181,14.461941,0.092748,1.087388,6.396398,0.000000,6.281845
0.020000,13.233208,14.461906,0.115775,1.215316,6.396398,-0.000000,6.281509
0.020000,13.258794,14.461859,0.141360,1.343244,6.396398,0.000000,6.281143
0.020000,13.286938,14.461796,0.169505,1.471172,6.396398,0.000000,6.280745
0.020000,13.317640,14.461714,0.200207,1.599100,6.396398,-0.000000,6.280320
0.020000,13.350901,14.461612,0.233469,1.727028,6.396398,0.000000,6.279868
0.020000,13.386721,14.461484,0.269288,1.854956,6.396398,0.000000,6.279393
0.020000,13.425099,14.461329,0.307667,1.982884,6.396398,-0.000000,6.278895
0.020000,13.466036,14.461143,0.348604,2.110811,6.396398,0.000000,6.278379
0.020000,13.509531,14.460922,0.392099,2.238739,6.396398,0.000000,6.277846
0.020000,13.555584,14.460664,0.438153,2.366667,6.396398,0.000000,6.277300
0.020000,13.604196,14.460364,0.486766,2.494595,6.396398,-0.000000,6.276743
0.020000,13.655366,14.460020,0.537937,2.622523,6.396398,0.000000,6.276178
0.020000,13.709094,14.459628,0.591667,2.750451,6.396398,-0.000000,6.275610
0.020000,13.765380,14.459185,0.647955,2.878379,6.396398,0.000000,6.275042
0.020000,13.824225,14.458689,0.706802,3.006307,6.396398,-0.000000,6.274477
0.020000,13.885628,14.458137,0.768207,3.134235,6.396398,0.000000,6.273920
0.020000,13.949589,14.457527,0.832171,3.262163,6.396398,-0.000000,6.273374
0.020000,14.016108,14.456856,0.898694,3.390091,6.396398,0.000000,6.272843
0.020000,14.085186,14.456124,0.967775,3.518019,6.396398,0.000000,6.272333
0.020000,14.156821,14.455329,1.039415,3.645947,6.396398,0.000000,6.271847
0.020000,14.231014,14.454470,1.113613,3.773875,6.396398,-0.000000,6.271391
0.020000,14.307765,14.453549,1.190370,3.901803,6.396398,0.000000,6.270969
0.020000,14.387075,14.452564,1.269685,4.029731,6.396398,-0.000000,6.270586
0.020000,14.468942,14.451518,1.351559,4.157659,6.396398,0.000000,6.270248
0.020000,14.553367,14.450414,1.435991,4.285587,6.396398,-0.000000,6.269960
0.020000,14.640350,14.449253,1.522982,4.413515,6.396398,0.000000,6.269728
0.020000,14.729892,14.448039,1.612532,4.541443,6.396398,0.000000,6.269558
0.020000,14.821991,14.446779,1.704640,4.669371,6.396398,0.000000,6.269454
0.020000,14.915845,14.445488,1.798502,4.716846,2.373774,-201.131225,6.269425
0.020000,15.009368,14.444203,1.892035,4.636394,-4.022624,-319.819923,6.269471
0.020000,15.100808,14.442953,1.983483,4.508466,-6.396398,-118.688698,6.269589
0.020000,15.189690,14.441752,2.072373,4.380538,-6.396398,0.000000,6.269773
0.020000,15.276014,14.440605,2.158705,4.252610,-6.396398,0.000000,6.270017
0.020000,15.359780,14.439514,2.242478,4.124682,-6.396398,0.000000,6.270316
0.020000,15.440988,14.438482,2.323692,3.996754,-6.396398,0.000000,6.270663
0.020000,15.519637,14.437512,2.402348,3.868826,-6.396398,0.000000,6.271053
0.020000,15.595729,14.436605,2.478445,3.740898,-6.396398,-0.000000,6.271482
0.020000,15.669263,14.435761,2.551984,3.612970,-6.396398,0.000000,6.271944
0.020000,15.740239,14.434980,2.622964,3.485042,-6.396398,-0.000000,6.272434
