dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,13.121049,13.442002,0.000640,0.063964,3.198199,159.909962,0.000045
0.020000,13.121009,13.442002,0.000680,0.002014,-3.097501,-314.785034,0.000006
0.020000,13.125674,13.442001,0.005345,0.233273,11.562929,733.021524,6.283112
0.020000,13.133230,13.442000,0.012901,0.377777,7.225205,-216.886216,6.282994
0.020000,13.143304,13.441998,0.022976,0.503743,6.298295,-46.345500,6.282838
0.020000,13.155899,13.441992,0.035571,0.629743,6.300024,0.086468,6.282644
0.020000,13.171015,13.441982,0.050686,0.755787,6.302187,0.108143,6.282413
0.020000,13.188653,13.441966,0.068324,0.881882,6.304781,0.129689,6.282146
0.020000,13.208813,13.441942,0.088485,1.008039,6.307808,0.151353,6.281845
0.020000,13.231499,13.441908,0.111170,1.134264,6.311269,0.173046,6.281509
0.020000,13.256710,13.441861,0.136381,1.260567,6.315160,0.194575,6.281143
0.020000,13.284449,13.441799,0.164121,1.386957,6.319486,0.216297,6.280745
0.020000,13.314718,13.441719,0.194389,1.513442,6.324244,0.237908,6.280320
0.020000,13.347518,13.441617,0.227190,1.640030,6.329436,0.259605,6.279868
0.020000,13.382853,13.441491,0.262525,1.766732,6.335060,0.281190,6.279393
0.020000,13.420723,13.441338,0.300396,1.893554,6.341118,0.302884,6.278895
0.020000,13.461133,13.441155,0.340806,2.020506,6.347609,0.324546,6.278379
0.020000,13.504084,13.440937,0.383758,2.147597,6.354532,0.346176,6.277846
0.020000,13.549580,13.440681,0.429254,2.274835,6.361889,0.367859,6.277300
0.020000,13.597624,13.440385,0.477299,2.402228,6.369679,0.389495,6.276743
0.020000,13.648219,13.440045,0.527895,2.529786,6.377902,0.411154,6.276178
0.020000,13.701368,13.439657,0.581045,2.657517,6.386559,0.432807,6.275610
0.020000,13.757074,13.439219,0.636754,2.785430,6.395648,0.454453,6.275042
0.020000,13.815343,13.438728,0.695024,2.913534,6.405170,0.476091,6.274477
0.020000,13.876177,13.438181,0.755861,3.041836,6.415124,0.497735,6.273920
0.020000,13.939581,13.437576,0.819268,3.170346,6.425511,0.519362,6.273374
0.020000,14.005560,13.436911,0.885249,3.299073,6.436331,0.540992,6.272843
0.020000,14.074116,13.436184,0.953810,3.428025,6.447584,0.562617,6.272333
0.020000,14.145256,13.435395,1.024954,3.557210,6.459268,0.584233,6.271847
0.020000,14.218984,13.434541,1.098687,3.686638,6.471385,0.605855,6.271391
0.020000,14.295305,13.433625,1.175013,3.816317,6.483935,0.627459,6.270969
0.020000,14.374224,13.432645,1.253938,3.946255,6.496916,0.649089,6.270586
0.020000,14.455746,13.431604,1.335468,4.076461,6.510330,0.670693,6.270248
0.020000,14.539878,13.430503,1.419606,4.206945,6.524177,0.692318,6.269960
0.020000,14.626624,13.429345,1.506361,4.337714,6.538455,0.713941,6.269728
0.020000,14.715992,13.428134,1.595736,4.468777,6.553167,0.735575,6.269558
0.020000,14.807986,13.426875,1.687739,4.600144,6.568311,0.757215,6.269454
0.020000,14.901809,13.425585,1.781571,4.691591,4.572387,-99.796188,6.269425
0.020000,14.995380,13.424299,1.875150,4.678970,-0.631054,-260.172095,6.269471
0.020000,15.086940,13.423048,1.966720,4.578455,-5.025759,-219.735216,6.269589
0.020000,15.176010,13.421844,2.055797,4.453891,-6.228216,-60.122881,6.269773
0.020000,15.262583,13.420693,2.142378,4.329026,-6.243249,-0.751642,6.270017
0.020000,15.346653,13.419598,2.226455,4.203869,-6.257849,-0.729998,6.270316
0.020000,15.428215,13.418562,2.308024,4.078429,-6.272017,-0.708370,6.270663
