dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.489445,10.885778,0.000654,0.065448,3.272403,163.620125,0.012932
0.020000,4.489641,10.885780,0.000850,0.009789,-2.782943,-302.767298,0.012740
0.020000,4.494140,10.885837,0.005349,0.224957,10.758411,677.067712,0.012357
0.020000,4.502576,10.885939,0.013786,0.421809,9.842592,-45.790929,0.011786
0.020000,4.513817,10.886067,0.025028,0.562125,7.015785,-141.340343,0.011031
0.020000,4.527860,10.886215,0.039072,0.702194,7.003438,-0.617370,0.010095
0.020000,4.544699,10.886376,0.055911,0.841954,6.988022,-0.770797,0.008986
0.020000,4.564325,10.886540,0.075538,0.981345,6.969554,-0.923381,0.007710
0.020000,4.586730,10.886696,0.097944,1.120304,6.947963,-1.079588,0.006276
0.020000,4.611906,10.886834,0.123119,1.258771,6.923344,-1.230936,0.004693
0.020000,4.639839,10.886941,0.151053,1.396683,6.895600,-1.387174,0.002973
0.020000,4.670519,10.887004,0.181733,1.533980,6.864828,-1.538630,0.001128
0.020000,4.703931,10.887009,0.215145,1.670600,6.831005,-1.691144,6.282355
0.020000,4.740060,10.886942,0.251274,1.806482,6.794116,-1.844454,6.280300
0.020000,4.778891,10.886788,0.290106,1.941566,6.754187,-1.996441,6.278162
0.020000,4.820406,10.886533,0.331622,2.075791,6.711249,-2.146884,6.275959
0.020000,4.864587,10.886164,0.375803,2.209097,6.665309,-2.297009,6.273709
0.020000,4.911412,10.885666,0.422632,2.341424,6.616329,-2.449035,6.271431
0.020000,4.960863,10.885028,0.472086,2.472712,6.564429,-2.594955,6.269145
0.020000,5.012915,10.884237,0.524144,2.602903,6.509538,-2.744582,6.266873
0.020000,5.067545,10.883284,0.578783,2.731937,6.451710,-2.891371,6.264637
0.020000,5.124729,10.882161,0.635978,2.859756,6.390919,-3.039558,6.262462
0.020000,5.184441,10.880860,0.695704,2.986301,6.327261,-3.182926,6.260372
0.020000,5.246654,10.879377,0.757934,3.111514,6.260639,-3.331076,6.258393
0.020000,5.311339,10.877713,0.822641,3.235336,6.191100,-3.476950,6.256553
0.020000,5.378468,10.875867,0.889795,3.357709,6.118653,-3.622341,6.254881
0.020000,5.448010,10.873845,0.959367,3.478574,6.043249,-3.770202,6.253405
0.020000,5.519934,10.871656,1.031324,3.597871,5.964877,-3.918624,6.252156
0.020000,5.594208,10.869312,1.105635,3.715541,5.883501,-4.068776,6.251167
0.020000,5.670798,10.866830,1.182266,3.831523,5.799080,-4.221063,6.250470
0.020000,5.749670,10.864232,1.261181,3.945754,5.711538,-4.377083,6.250100
0.020000,5.830789,10.861544,1.342344,4.058170,5.620820,-4.535922,6.250093
0.020000,5.914118,10.858799,1.425718,4.168707,5.526841,-4.698957,6.250484
0.020000,5.999619,10.856034,1.511264,4.277297,5.429519,-4.866104,6.251313
0.020000,6.087254,10.853294,1.598942,4.383872,5.328750,-5.038439,6.252619
0.020000,6.176982,10.850629,1.688709,4.488362,5.224463,-5.214324,6.254442
0.020000,6.268761,10.848095,1.780523,4.590693,5.116558,-5.395255,6.256826
0.020000,6.362547,10.845758,1.874338,4.690793,5.004998,-5.578012,6.259813
0.020000,6.458297,10.843690,1.970110,4.788587,4.889723,-5.763751,6.263450
0.020000,6.555962,10.841968,2.067790,4.884002,4.770750,-5.948635,6.267782
0.020000,6.655493,10.840682,2.167330,4.976966,4.648174,-6.128810,6.272858
0.020000,6.756838,10.839927,2.268678,5.067409,4.522156,-6.300902,6.278727
0.020000,6.859943,10.839807,2.371783,5.155268,4.392985,-6.458563,0.002255
0.020000,6.964751,10.840435,2.476593,5.240491,4.261102,-6.594122,0.009863
0.020000,7.071201,10.841933,2.583054,5.323034,4.127163,-6.696991,0.018420
0.020000,7.179230,10.844431,2.691111,5.402875,3.992040,-6.756144,0.027977
0.020000,7.288770,10.848070,2.800711,5.480014,3.856946,-6.754677,0.038588
0.020000,7.399750,10.852997,2.911801,5.554482,3.723408,-6.676894,0.050306
0.020000,7.512096,10.859369,3.024328,5.626350,3.593417,-6.499576,0.063181
0.020000,7.625731,10.867352,3.138243,5.695738,3.469393,-6.201198,0.077262
0.020000,7.740573,10.877118,3.253499,5.762826,3.354387,-5.750287,0.092594
0.020000,7.856539,10.888848,3.370056,5.827862,3.251800,-5.129369,0.109217
0.020000,7.973542,10.902730,3.487880,5.891182,3.166025,-4.288736,0.127165
0.020000,8.091495,10.918958,3.606944,5.953211,3.101445,-3.228990,0.146462
0.020000,8.210311,10.937730,3.727234,6.014480,3.063466,-1.898972,0.167125
0.020000,8.329902,10.959250,3.848747,6.075631,3.057521,-0.297217,0.189155
