dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.502636,9.865863,0.000654,0.065448,3.272403,163.620125,0.012932
0.020000,4.502636,9.865863,0.003272,0.196344,6.544805,163.620125,0.012740
0.020000,4.506744,9.865915,0.008508,0.327240,6.544805,-0.000000,0.012357
0.020000,4.514597,9.866009,0.016362,0.458136,6.544805,0.000000,0.011786
0.020000,4.525068,9.866129,0.026834,0.589032,6.544805,0.000000,0.011031
0.020000,4.538157,9.866267,0.039923,0.719929,6.544805,-0.000000,0.010095
0.020000,4.553864,9.866417,0.055631,0.850825,6.544805,0.000000,0.008986
0.020000,4.572189,9.866570,0.073956,0.981721,6.544805,-0.000000,0.007710
0.020000,4.593132,9.866716,0.094900,1.112617,6.544805,0.000000,0.006276
0.020000,4.616693,9.866846,0.118461,1.243513,6.544805,-0.000000,0.004693
0.020000,4.642872,9.866946,0.144640,1.374409,6.544805,0.000000,0.002973
0.020000,4.671669,9.867005,0.173437,1.505305,6.544805,0.000000,0.001128
0.020000,4.703084,9.867009,0.204852,1.636201,6.544805,0.000000,6.282355
0.020000,4.737117,9.866946,0.238885,1.767097,6.544805,-0.000000,6.280300
0.020000,4.773767,9.866801,0.275536,1.897993,6.544805,0.000000,6.278162
0.020000,4.813035,9.866560,0.314805,2.028890,6.544805,0.000000,6.275959
0.020000,4.854921,9.866210,0.356692,2.159786,6.544805,-0.000000,6.273709
0.020000,4.899423,9.865737,0.401197,2.290682,6.544805,0.000000,6.271431
0.020000,4.946542,9.865129,0.448319,2.421578,6.544805,0.000000,6.269145
0.020000,4.996276,9.864373,0.498060,2.552474,6.544805,0.000000,6.266873
0.020000,5.048627,9.863460,0.550418,2.683370,6.544805,-0.000000,6.264637
0.020000,5.103593,9.862380,0.605394,2.814266,6.544805,0.000000,6.262462
0.020000,5.161173,9.861125,0.662989,2.945162,6.544805,0.000000,6.260372
0.020000,5.221368,9.859691,0.723201,3.076058,6.544805,0.000000,6.258393
0.020000,5.284178,9.858074,0.786031,3.206954,6.544805,-0.000000,6.256553
0.020000,5.349601,9.856275,0.851479,3.337851,6.544805,0.000000,6.254881
0.020000,5.417638,9.854297,0.919545,3.468747,6.544805,0.000000,6.253405
0.020000,5.488289,9.852147,0.990229,3.599643,6.544805,-0.000000,6.252156
0.020000,5.561555,9.849835,1.063531,3.730539,6.544805,0.000000,6.251167
0.020000,5.637435,9.847376,1.139451,3.861435,6.544805,0.000000,6.250470
0.020000,5.715930,9.844790,1.217988,3.992331,6.544805,0.000000,6.250100
0.020000,5.797041,9.842102,1.299144,4.123227,6.544805,0.000000,6.250093
0.020000,5.880769,9.839344,1.382917,4.254123,6.544805,-0.000000,6.250484
0.020000,5.967115,9.836552,1.469309,4.385019,6.544805,0.000000,6.251313
0.020000,6.056081,9.833771,1.558318,4.515915,6.544805,0.000000,6.252619
0.020000,6.147668,9.831050,1.649945,4.646812,6.544805,0.000000,6.254442
0.020000,6.241877,9.828450,1.744191,4.777708,6.544805,0.000000,6.256826
0.020000,6.338710,9.826037,1.841054,4.908604,6.544805,0.000000,6.259813
0.020000,6.438168,9.823888,1.940535,5.039500,6.544805,-0.000000,6.263450
0.020000,6.540251,9.822089,2.042634,5.170396,6.544805,0.000000,6.267782
0.020000,6.644959,9.820737,2.147351,5.301292,6.544805,0.000000,6.272858
0.020000,6.752291,9.819937,2.254685,5.432188,6.544805,-0.000000,6.278727
0.020000,6.862243,9.819809,2.364638,5.563084,6.544805,0.000000,0.002255
0.020000,6.974811,9.820484,2.477209,5.693980,6.544805,-0.000000,0.009863
0.020000,7.089988,9.822106,2.592397,5.824876,6.544805,0.000000,0.018420
0.020000,7.207763,9.824831,2.710204,5.955773,6.544805,0.000000,0.027977
0.020000,7.328120,9.828829,2.830628,6.086669,6.544805,0.000000,0.038588
0.020000,7.451041,9.834287,2.953671,6.217565,6.544805,0.000000,0.050306
0.020000,7.576498,9.841404,3.079331,6.348461,6.544805,0.000000,0.063181
0.020000,7.704460,9.850395,3.207609,6.479357,6.544805,-0.000000,0.077262
0.020000,7.834884,9.861487,3.338505,6.610253,6.544805,0.000000,0.092594
0.020000,7.967718,9.874926,3.472019,6.741149,6.544805,-0.000000,0.109217
0.020000,8.102900,9.890966,3.608151,6.872045,6.544805,0.000000,0.127165
0.020000,8.240353,9.909878,3.746901,7.002941,6.544805,0.000000,0.146462
0.020000,8.379986,9.931941,3.888269,7.133837,6.544805,-0.000000,0.167125
0.020000,8.521692,9.957444,4.032254,7.264734,6.544805,0.000000,0.189155
0.020000,8.665348,9.986679,4.178858,7.395630,6.544805,0.000000,0.212540
0.020000,8.810810,10.019945,4.328080,7.526526,6.544805,0.000000,0.237251
0.020000,8.952682,10.056506,4.479919,7.657422,6.544805,0.000000,0.274932
0.020000,9.100001,10.102845,4.634376,7.788318,6.544805,0.000000,0.334254
0.020000,9.246190,10.158427,4.790797,7.853766,3.272403,-163.620125,0.391919
0.020000,9.389347,10.222264,4.947562,7.822743,-1.551132,-241.176701,0.446369
0.020000,9.527841,10.292915,5.103053,7.726273,-4.823534,-163.620125,0.496367
