dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.515724,8.845947,0.000648,0.064832,3.241576,162.078813,0.012832
0.020000,4.515660,8.845946,0.000712,0.003199,-3.081616,-316.159597,0.012769
0.020000,4.516095,8.845952,0.001147,0.021759,0.927973,200.479426,0.012644
0.020000,4.523683,8.846047,0.008736,0.379450,17.884547,847.828688,0.012457
0.020000,4.533803,8.846172,0.018856,0.506000,6.327534,-577.850649,0.012209
0.020000,4.546454,8.846324,0.031509,0.632610,6.330492,0.147912,0.011901
0.020000,4.561639,8.846502,0.046695,0.759292,6.334072,0.178987,0.011535
0.020000,4.579359,8.846703,0.064416,0.886060,6.338425,0.217675,0.011111
0.020000,4.599616,8.846923,0.084674,1.012931,6.343562,0.256861,0.010633
0.020000,4.622413,8.847160,0.107473,1.139918,6.349317,0.287720,0.010103
0.020000,4.647753,8.847408,0.132813,1.267035,6.355859,0.327103,0.009523
0.020000,4.675638,8.847665,0.160699,1.394297,6.363129,0.363505,0.008895
0.020000,4.706071,8.847926,0.191134,1.521719,6.371086,0.397868,0.008224
0.020000,4.739056,8.848185,0.224120,1.649315,6.379797,0.435554,0.007512
0.020000,4.774597,8.848439,0.259662,1.777099,6.389183,0.469284,0.006763
0.020000,4.812698,8.848681,0.297764,1.905086,6.399346,0.508165,0.005982
0.020000,4.853363,8.848908,0.338429,2.033290,6.410201,0.542756,0.005172
0.020000,4.896597,8.849114,0.381664,2.161724,6.421727,0.576278,0.004337
0.020000,4.942405,8.849293,0.427472,2.290405,6.434050,0.616173,0.003484
0.020000,4.990792,8.849440,0.475859,2.419346,6.447034,0.649184,0.002616
0.020000,5.041763,8.849551,0.526830,2.548561,6.460735,0.685027,0.001740
0.020000,5.095324,8.849620,0.580391,2.678064,6.475160,0.721250,0.000860
0.020000,5.151481,8.849644,0.636549,2.807869,6.490276,0.755806,6.283169
0.020000,5.210241,8.849617,0.695309,2.937992,6.506141,0.793244,6.282301
0.020000,5.271610,8.849536,0.756678,3.068445,6.522650,0.825488,6.281449
0.020000,5.335595,8.849398,0.820662,3.199243,6.539910,0.862982,6.280618
0.020000,5.402203,8.849200,0.887270,3.330401,6.557880,0.898520,6.279818
0.020000,5.471441,8.848940,0.956509,3.461932,6.576540,0.933003,6.279054
0.020000,5.543317,8.848617,1.028386,3.593850,6.595922,0.969062,6.278334
