dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.600996,10.754650,0.000650,0.064976,3.248781,162.439059,0.000049
0.020000,4.601016,10.754650,0.000670,0.001018,-3.197857,-322.331904,0.000029
0.020000,4.602507,10.754650,0.002161,0.074552,3.676657,343.725688,6.283174
0.020000,4.610366,10.754650,0.010020,0.392948,15.919813,612.157792,6.283113
0.020000,4.620845,10.754649,0.020500,0.523975,6.551378,-468.421717,6.283032
0.020000,4.633946,10.754646,0.033600,0.655042,6.553323,0.097237,6.282928
0.020000,4.649669,10.754641,0.049324,0.786156,6.555722,0.119943,6.282802
0.020000,4.668016,10.754633,0.067670,0.917329,6.558646,0.146216,6.282651
0.020000,4.688987,10.754620,0.088642,1.048569,6.562007,0.168015,6.282475
0.020000,4.712585,10.754600,0.112239,1.179887,6.565877,0.193537,6.282273
0.020000,4.738811,10.754573,0.138465,1.311292,6.570246,0.218429,6.282042
0.020000,4.767667,10.754537,0.167321,1.442793,6.575067,0.241076,6.281781
0.020000,4.799155,10.754488,0.198809,1.574401,6.580388,0.266026,6.281487
0.020000,4.833277,10.754424,0.232932,1.706125,6.586221,0.291637,6.281158
0.020000,4.870037,10.754343,0.269691,1.837976,6.592506,0.314278,6.280792
0.020000,4.909436,10.754241,0.309090,1.969962,6.599304,0.339882,6.280387
0.020000,4.951477,10.754114,0.351132,2.102093,6.606566,0.363086,6.279938
0.020000,4.996165,10.753958,0.395820,2.234379,6.614328,0.388101,6.279444
0.020000,5.043501,10.753768,0.443156,2.366832,6.622627,0.414962,6.278901
0.020000,5.093490,10.753539,0.493146,2.499459,6.631343,0.435800,6.278305
0.020000,5.146134,10.753265,0.545791,2.632271,6.640600,0.462850,6.277653
0.020000,5.201439,10.752939,0.601097,2.765278,6.650360,0.488006,6.276941
0.020000,5.259407,10.752555,0.659066,2.898490,6.660607,0.512334,6.276165
0.020000,5.320044,10.752104,0.719705,3.031917,6.671360,0.537672,6.275321
0.020000,5.383353,10.751577,0.783016,3.165569,6.682593,0.561667,6.274405
0.020000,5.449340,10.750965,0.849005,3.299456,6.694348,0.587742,6.273411
0.020000,5.518008,10.750257,0.917677,3.433589,6.706654,0.615289,6.272336
0.020000,5.589363,10.749442,0.989037,3.567977,6.719396,0.637097,6.271173
0.020000,5.663409,10.748506,1.063089,3.702631,6.732680,0.664176,6.269918
0.020000,5.740153,10.747437,1.139840,3.837562,6.746553,0.693685,6.268566
0.020000,5.819599,10.746218,1.219296,3.972778,6.760816,0.713146,6.267110
0.020000,5.901754,10.744833,1.301462,4.108293,6.775731,0.745738,6.265545
0.020000,5.986621,10.743265,1.386344,4.244114,6.791056,0.766278,6.263865
0.020000,6.074209,10.741494,1.473949,4.380254,6.806986,0.796468,6.262064
0.020000,6.164521,10.739500,1.564284,4.516722,6.823425,0.821954,6.260135
0.020000,6.257565,10.737259,1.657354,4.653530,6.840396,0.848576,6.258072
0.020000,6.353345,10.734748,1.753168,4.790688,6.857893,0.874826,6.255867
0.020000,6.451870,10.731941,1.851732,4.928207,6.875950,0.902833,6.253514
0.020000,6.553143,10.728809,1.953054,5.066097,6.894499,0.927461,6.251005
0.020000,6.657172,10.725321,2.057141,5.204369,6.913614,0.955778,6.248333
0.020000,6.763962,10.721447,2.164002,5.343034,6.933249,0.981741,6.245490
0.020000,6.873520,10.717150,2.273644,5.482103,6.953435,1.009313,6.242468
0.020000,6.985851,10.712395,2.386076,5.621584,6.974058,1.031136,6.239260
0.020000,7.100961,10.707140,2.501306,5.761490,6.995311,1.062663,6.235856
0.020000,7.218856,10.701344,2.619342,5.901830,7.016995,1.084182,6.232249
0.020000,7.339539,10.694962,2.740194,6.042613,7.039136,1.107045,6.228429
0.020000,7.463017,10.687945,2.863871,6.183849,7.061815,1.133962,6.224388
0.020000,7.589293,10.680242,2.990382,6.325547,7.084873,1.152888,6.220116
0.020000,7.718372,10.671800,3.119737,6.467715,7.108438,1.178264,6.215605
0.020000,7.850256,10.662560,3.251944,6.610362,7.132303,1.193260,6.210845
0.020000,7.984947,10.652461,3.387014,6.753492,7.156543,1.211968,6.205827
0.020000,8.122449,10.641439,3.524956,6.897114,7.181093,1.227500,6.200541
0.020000,8.262760,10.629426,3.665781,7.041232,7.205889,1.239809,6.194976
0.020000,8.405881,10.616348,3.809498,7.185849,7.230844,1.247746,6.189125
0.020000,8.551809,10.602131,3.956117,7.330968,7.255941,1.254829,6.182975
0.020000,8.700542,10.586693,4.105649,7.476588,7.281037,1.254805,6.176519
0.020000,8.852074,10.569951,4.258103,7.622710,7.306070,1.251684,6.169745
0.020000,9.006399,10.551817,4.413490,7.769328,7.330930,1.243001,6.162645
0.020000,9.163507,10.532196,4.571818,7.916437,7.355441,1.225543,6.155208
0.020000,9.323388,10.510993,4.733099,8.064029,7.379568,1.206334,6.147425
0.020000,9.486027,10.488104,4.897341,8.212090,7.403063,1.174744,6.139287
0.020000,9.651408,10.463426,5.064553,8.360605,7.425737,1.133693,6.130785
0.020000,9.819510,10.436846,5.234744,8.509555,7.447526,1.089473,6.121910
0.020000,9.990311,10.408250,5.407922,8.658915,7.467989,1.023122,6.112655
0.020000,10.163784,10.377519,5.584095,8.808660,7.487267,0.963903,6.103012
0.020000,10.339896,10.344529,5.763270,8.958754,7.504679,0.870644,6.092973
0.020000,10.518611,10.309155,5.945454,9.109161,7.520367,0.784355,6.082533
0.020000,10.699890,10.271263,6.130650,9.259832,7.533555,0.659438,6.071688
0.020000,10.883686,10.230721,6.318865,9.410722,7.544474,0.545932,6.060431
0.020000,11.069948,10.187390,6.510100,9.561773,7.552556,0.404091,6.048760
0.020000,11.258618,10.141129,6.704359,9.712923,7.557486,0.246513,6.036674
0.020000,11.449632,10.091797,6.901641,9.864104,7.559059,0.078652,6.024172
0.020000,11.642921,10.039247,7.101945,10.015234,7.556508,-0.127548,6.011254
0.020000,11.837411,9.983531,7.304259,10.115676,5.022112,-126.719796,5.992062
0.020000,12.082578,9.901242,7.562868,12.930433,140.737858,6785.787312,5.927036
0.020000,12.321727,9.803636,7.821167,12.914991,-0.772103,-7075.498078,5.864865
