dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.601045,9.734650,0.000650,0.064976,3.248781,162.439059,0.000049
0.020000,4.601045,9.734650,0.003249,0.194927,6.497562,162.439059,0.000029
0.020000,4.602496,9.734650,0.008447,0.324878,6.497562,0.000000,6.283174
0.020000,4.610293,9.734650,0.016244,0.454829,6.497562,0.000000,6.283113
0.020000,4.620689,9.734649,0.026640,0.584781,6.497562,0.000000,6.283032
0.020000,4.633684,9.734646,0.039635,0.714732,6.497562,-0.000000,6.282928
0.020000,4.649278,9.734641,0.055229,0.844683,6.497562,0.000000,6.282802
0.020000,4.667471,9.734633,0.073422,0.974634,6.497562,0.000000,6.282651
0.020000,4.688263,9.734620,0.094215,1.104586,6.497562,0.000000,6.282475
0.020000,4.711655,9.734601,0.117606,1.234537,6.497562,-0.000000,6.282273
0.020000,4.737645,9.734574,0.143596,1.364488,6.497562,0.000000,6.282042
0.020000,4.766234,9.734538,0.172185,1.494439,6.497562,-0.000000,6.281781
0.020000,4.797422,9.734489,0.203374,1.624391,6.497562,0.000000,6.281487
0.020000,4.831210,9.734426,0.237161,1.754342,6.497562,-0.000000,6.281158
0.020000,4.867596,9.734346,0.273547,1.884293,6.497562,0.000000,6.280792
0.020000,4.906581,9.734245,0.312533,2.014244,6.497562,0.000000,6.280387
0.020000,4.948165,9.734119,0.354117,2.144196,6.497562,-0.000000,6.279938
0.020000,4.992348,9.733965,0.398301,2.274147,6.497562,0.000000,6.279444
0.020000,5.039131,9.733777,0.445083,2.404098,6.497562,0.000000,6.278901
0.020000,5.088512,9.733551,0.494464,2.534049,6.497562,0.000000,6.278305
0.020000,5.140491,9.733281,0.546445,2.664001,6.497562,-0.000000,6.277653
0.020000,5.195070,9.732959,0.601025,2.793952,6.497562,0.000000,6.276941
0.020000,5.252247,9.732580,0.658203,2.923903,6.497562,-0.000000,6.276165
0.020000,5.312023,9.732136,0.717981,3.053854,6.497562,0.000000,6.275321
0.020000,5.374398,9.731617,0.780357,3.183806,6.497562,-0.000000,6.274405
0.020000,5.439370,9.731014,0.845333,3.313757,6.497562,0.000000,6.273411
0.020000,5.506941,9.730318,0.912908,3.443708,6.497562,0.000000,6.272336
0.020000,5.577111,9.729516,0.983081,3.573659,6.497562,0.000000,6.271173
0.020000,5.649877,9.728596,1.055854,3.703611,6.497562,-0.000000,6.269918
0.020000,5.725242,9.727546,1.131226,3.833562,6.497562,0.000000,6.268566
0.020000,5.803203,9.726349,1.209196,3.963513,6.497562,0.000000,6.267110
0.020000,5.883762,9.724992,1.289766,4.093464,6.497562,-0.000000,6.265545
0.020000,5.966916,9.723455,1.372935,4.223416,6.497562,0.000000,6.263865
0.020000,6.052667,9.721722,1.458703,4.353367,6.497562,-0.000000,6.262064
0.020000,6.141012,9.719771,1.547070,4.483318,6.497562,0.000000,6.260135
0.020000,6.231951,9.717581,1.638035,4.613269,6.497562,-0.000000,6.258072
0.020000,6.325484,9.715129,1.731600,4.743221,6.497562,0.000000,6.255867
0.020000,6.421609,9.712390,1.827764,4.873172,6.497562,0.000000,6.253514
0.020000,6.520325,9.709337,1.926527,5.003123,6.497562,-0.000000,6.251005
0.020000,6.621630,9.705941,2.027889,5.133074,6.497562,0.000000,6.248333
0.020000,6.725522,9.702171,2.131850,5.263026,6.497562,0.000000,6.245490
0.020000,6.832000,9.697996,2.238410,5.392977,6.497562,0.000000,6.242468
0.020000,6.941062,9.693378,2.347569,5.522928,6.497562,-0.000000,6.239260
0.020000,7.052704,9.688282,2.459327,5.652879,6.497562,0.000000,6.235856
0.020000,7.166923,9.682667,2.573684,5.782830,6.497562,0.000000,6.232249
0.020000,7.283715,9.676490,2.690641,5.912782,6.497562,-0.000000,6.228429
0.020000,7.403078,9.669707,2.810196,6.042733,6.497562,0.000000,6.224388
0.020000,7.525005,9.662270,2.932350,6.172684,6.497562,-0.000000,6.220116
0.020000,7.649493,9.654128,3.057103,6.302635,6.497562,-0.000000,6.215605
0.020000,7.776533,9.645227,3.184455,6.432587,6.497562,0.000000,6.210845
0.020000,7.906121,9.635512,3.314407,6.562538,6.497562,-0.000000,6.205827
0.020000,8.038247,9.624921,3.446957,6.692489,6.497562,0.000000,6.200541
0.020000,8.172903,9.613391,3.582106,6.822440,6.497562,0.000000,6.194976
0.020000,8.310080,9.600857,3.719854,6.952392,6.497562,-0.000000,6.189125
0.020000,8.449766,9.587248,3.860202,7.082343,6.497562,0.000000,6.182975
0.020000,8.591948,9.572490,4.003148,7.212294,6.497562,0.000000,6.176519
0.020000,8.736613,9.556507,4.148694,7.342245,6.497562,-0.000000,6.169745
0.020000,8.883745,9.539218,4.296838,7.472197,6.497562,0.000000,6.162645
0.020000,9.033326,9.520538,4.447581,7.602148,6.497562,0.000000,6.155208
0.020000,9.185337,9.500378,4.600924,7.732099,6.497562,-0.000000,6.147425
0.020000,9.339756,9.478647,4.756865,7.862050,6.497562,0.000000,6.139287
0.020000,9.496560,9.455248,4.915406,7.992002,6.497562,-0.000000,6.130785
0.020000,9.655722,9.430082,5.076545,8.121953,6.497562,0.000000,6.121910
0.020000,9.817212,9.403045,5.240284,8.251904,6.497562,0.000000,6.112655
0.020000,9.980999,9.374030,5.406622,8.381855,6.497562,-0.000000,6.103012
0.020000,10.147047,9.342926,5.575558,8.511807,6.497562,0.000000,6.092973
