dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.601095,8.714650,0.000650,0.064976,3.248781,162.439059,0.000049
0.020000,4.601075,8.714650,0.000670,0.001018,-3.197857,-322.331904,0.000029
0.020000,4.602484,8.714650,0.002079,0.070458,3.471994,333.492567,6.283174
0.020000,4.610219,8.714650,0.009814,0.386760,15.815067,617.153641,6.283113
0.020000,4.620532,8.714649,0.020127,0.515634,6.443735,-468.566625,6.283032
0.020000,4.633421,8.714646,0.033017,0.644471,6.441815,-0.095993,6.282928
0.020000,4.648887,8.714641,0.048482,0.773258,6.439383,-0.121607,6.282802
0.020000,4.666926,8.714633,0.066522,0.901989,6.436508,-0.143738,6.282651
0.020000,4.687539,8.714620,0.087135,1.030651,6.433102,-0.170303,6.282475
0.020000,4.710724,8.714601,0.110319,1.159235,6.429237,-0.193245,6.282273
0.020000,4.736479,8.714575,0.136074,1.287733,6.424900,-0.216857,6.282042
0.020000,4.764801,8.714539,0.164397,1.416134,6.420045,-0.242729,6.281781
0.020000,4.795690,8.714491,0.195285,1.544429,6.414717,-0.266401,6.281487
0.020000,4.829142,8.714429,0.228737,1.672607,6.408927,-0.289503,6.281158
0.020000,4.865155,8.714349,0.264750,1.800659,6.402615,-0.315601,6.280792
0.020000,4.903726,8.714249,0.303322,1.928576,6.395837,-0.338891,6.280387
0.020000,4.944853,8.714125,0.344449,2.056347,6.388545,-0.364641,6.279938
0.020000,4.988532,8.713972,0.388128,2.183962,6.380770,-0.388737,6.279444
0.020000,5.034760,8.713787,0.434356,2.311413,6.372546,-0.411169,6.278901
0.020000,5.083533,8.713563,0.483130,2.438688,6.363754,-0.439635,6.278305
0.020000,5.134848,8.713296,0.534446,2.565779,6.354510,-0.462196,6.277653
0.020000,5.188701,8.712979,0.588299,2.692674,6.344774,-0.486792,6.276941
0.020000,5.245087,8.712605,0.644687,2.819365,6.334526,-0.512391,6.276165
0.020000,5.304002,8.712167,0.703603,2.945840,6.323782,-0.537218,6.275321
0.020000,5.365442,8.711656,0.765045,3.072090,6.312510,-0.563576,6.274405
0.020000,5.429401,8.711063,0.829007,3.198105,6.300747,-0.588154,6.273411
0.020000,5.495875,8.710378,0.895485,3.323876,6.288516,-0.611567,6.272336
0.020000,5.564858,8.709589,0.964473,3.449390,6.275700,-0.640804,6.271173
0.020000,5.636345,8.708686,1.035965,3.574638,6.262396,-0.665206,6.269918
0.020000,5.710330,8.707655,1.109958,3.699611,6.248645,-0.687555,6.268566
0.020000,5.786807,8.706481,1.186444,3.824295,6.234247,-0.719879,6.267110
0.020000,5.865770,8.705150,1.265417,3.948684,6.219451,-0.739821,6.265545
0.020000,5.947211,8.703646,1.346872,4.072765,6.204018,-0.771635,6.263865
0.020000,6.031125,8.701949,1.430803,4.196527,6.188130,-0.794417,6.262064
0.020000,6.117503,8.700042,1.517202,4.319961,6.171691,-0.821946,6.260135
0.020000,6.206338,8.697902,1.606063,4.443056,6.154719,-0.848566,6.258072
0.020000,6.297623,8.695509,1.697379,4.565800,6.137206,-0.875674,6.255867
0.020000,6.391348,8.692839,1.791143,4.688183,6.119182,-0.901173,6.253514
0.020000,6.487506,8.689865,1.887347,4.810195,6.100585,-0.929869,6.251005
0.020000,6.586087,8.686560,1.985983,4.931825,6.081486,-0.954930,6.248333
0.020000,6.687082,8.682896,2.087045,5.053062,6.061847,-0.981976,6.245490
0.020000,6.790481,8.678841,2.190523,5.173896,6.041705,-1.007092,6.242468
0.020000,6.896272,8.674362,2.296409,5.294315,6.020964,-1.037034,6.239260
0.020000,7.004446,8.669424,2.404695,5.414312,5.999824,-1.057006,6.235856
0.020000,7.114990,8.663990,2.515373,5.533874,5.978117,-1.085336,6.232249
0.020000,7.227892,8.658019,2.628432,5.652992,5.955898,-1.110990,6.228429
0.020000,7.343139,8.651470,2.743866,5.771657,5.933275,-1.131112,6.224388
0.020000,7.460718,8.644298,2.861663,5.889860,5.910144,-1.156558,6.220116
0.020000,7.580613,8.636456,2.981815,6.007594,5.886677,-1.173367,6.215605
0.020000,7.702811,8.627895,3.104312,6.124849,5.862743,-1.196682,6.210845
0.020000,7.827294,8.618562,3.229144,6.241618,5.838488,-1.212761,6.205827
0.020000,7.954045,8.608402,3.356302,6.357897,5.813941,-1.227335,6.200541
