dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.705719,14.532403,0.000654,0.065385,3.269232,163.461622,6.283061
0.020000,4.705635,14.532403,0.000738,0.004214,-3.058539,-316.388565,6.283144
0.020000,4.709382,14.532403,0.004485,0.187338,9.156209,610.737380,0.000123
0.020000,4.716977,14.532405,0.012080,0.379770,9.621589,23.269011,0.000369
0.020000,4.727107,14.532410,0.022210,0.506481,6.335543,-164.302291,0.000694
0.020000,4.739772,14.532422,0.034876,0.633295,6.340718,0.258719,0.001097
0.020000,4.754977,14.532442,0.050081,0.760239,6.347196,0.323936,0.001575
0.020000,4.772724,14.532475,0.067827,0.887338,6.354962,0.388267,0.002125
0.020000,4.793016,14.532524,0.088120,1.014619,6.364024,0.453134,0.002744
0.020000,4.815858,14.532595,0.110962,1.142106,6.374385,0.518050,0.003426
0.020000,4.841255,14.532691,0.136358,1.269827,6.386032,0.582315,0.004169
0.020000,4.869211,14.532819,0.164315,1.397807,6.398980,0.647411,0.004966
0.020000,4.899731,14.532983,0.194836,1.526071,6.413212,0.711589,0.005812
0.020000,4.932824,14.533191,0.227929,1.654646,6.428745,0.776656,0.006702
0.020000,4.968494,14.533446,0.263600,1.783557,6.445557,0.840615,0.007627
0.020000,5.006749,14.533756,0.301857,1.912830,6.463664,0.905340,0.008582
0.020000,5.047597,14.534127,0.342706,2.042491,6.483066,0.970124,0.009559
0.020000,5.091047,14.534564,0.386158,2.172566,6.503744,1.033907,0.010550
0.020000,5.137105,14.535073,0.432219,2.303081,6.525714,1.098494,0.011545
0.020000,5.185783,14.535660,0.480901,2.434060,6.548965,1.162541,0.012536
0.020000,5.237089,14.536328,0.532211,2.565530,6.573503,1.226914,0.013514
0.020000,5.291034,14.537083,0.586161,2.697516,6.599315,1.290586,0.014468
0.020000,5.347629,14.537929,0.642762,2.830045,6.626414,1.354935,0.015387
0.020000,5.406884,14.538867,0.702025,2.963140,6.654795,1.419056,0.016261
0.020000,5.468812,14.539900,0.763962,3.096830,6.684452,1.482865,0.017077
0.020000,5.533425,14.541028,0.828585,3.231137,6.715389,1.546844,0.017824
0.020000,5.600736,14.542251,0.895906,3.366090,6.747613,1.611183,0.018489
0.020000,5.670758,14.543566,0.965941,3.501712,6.781117,1.675196,0.019059
0.020000,5.743505,14.544970,1.038701,3.638030,6.815909,1.739627,0.019520
0.020000,5.818992,14.546458,1.114203,3.775070,6.851993,1.804176,0.019858
0.020000,5.897233,14.548020,1.192460,3.912857,6.889371,1.868908,0.020058
0.020000,5.978245,14.549649,1.273488,4.051418,6.928052,1.934042,0.020106
0.020000,6.062044,14.551330,1.357304,4.190779,6.968040,1.999424,0.019985
0.020000,6.148646,14.553049,1.443923,4.330966,7.009344,2.065169,0.019679
0.020000,6.238069,14.554788,1.533363,4.472006,7.051973,2.131485,0.019173
0.020000,6.330331,14.556525,1.625642,4.613924,7.095930,2.197812,0.018447
0.020000,6.425451,14.558236,1.720777,4.756749,7.141227,2.264860,0.017485
0.020000,6.523447,14.559892,1.818787,4.900506,7.187871,2.332206,0.016269
0.020000,6.624339,14.561460,1.919691,5.045223,7.235866,2.399771,0.014779
0.020000,6.728148,14.562904,2.023510,5.190927,7.285201,2.466723,0.012996
0.020000,6.834893,14.564182,2.130263,5.337645,7.335898,2.534841,0.010900
0.020000,6.944596,14.565247,2.239971,5.485404,7.387917,2.600955,0.008472
0.020000,7.057278,14.566047,2.352655,5.634229,7.441265,2.667436,0.005689
0.020000,7.172960,14.566526,2.468338,5.784147,7.495900,2.731739,0.002531
0.020000,7.291663,14.566618,2.587042,5.935182,7.551771,2.793541,6.282160
0.020000,7.413410,14.566255,2.708789,6.087359,7.608835,2.853212,6.278185
0.020000,7.538221,14.565359,2.833603,6.240699,7.666996,2.908027,6.273767
0.020000,7.666116,14.563845,2.961507,6.395222,7.726147,2.957535,6.268883
0.020000,7.797116,14.561624,3.092526,6.550945,7.786147,3.000003,6.263510
