dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.705592,13.512403,0.000654,0.065385,3.269232,163.461622,6.283061
0.020000,4.705592,13.512403,0.003269,0.196154,6.538465,163.461622,6.283144
0.020000,4.709507,13.512403,0.008500,0.326923,6.538465,0.000000,0.000123
0.020000,4.717353,13.512405,0.016346,0.457693,6.538465,-0.000000,0.000369
0.020000,4.727815,13.512410,0.026808,0.588462,6.538465,0.000000,0.000694
0.020000,4.740892,13.512422,0.039885,0.719231,6.538465,-0.000000,0.001097
0.020000,4.756584,13.512443,0.055577,0.850000,6.538465,0.000000,0.001575
0.020000,4.774892,13.512477,0.073885,0.980770,6.538465,-0.000000,0.002125
0.020000,4.795815,13.512528,0.094808,1.111539,6.538465,0.000000,0.002744
0.020000,4.819353,13.512601,0.118346,1.242308,6.538465,-0.000000,0.003426
0.020000,4.845507,13.512700,0.144500,1.373078,6.538465,0.000000,0.004169
0.020000,4.874276,13.512831,0.173269,1.503847,6.538465,0.000000,0.004966
0.020000,4.905660,13.513001,0.204654,1.634616,6.538465,-0.000000,0.005812
0.020000,4.939659,13.513213,0.238654,1.765386,6.538465,0.000000,0.006702
0.020000,4.976274,13.513476,0.275269,1.896155,6.538465,0.000000,0.007627
0.020000,5.015503,13.513794,0.314500,2.026924,6.538465,-0.000000,0.008582
0.020000,5.057348,13.514174,0.356346,2.157693,6.538465,-0.000000,0.009559
0.020000,5.101807,13.514621,0.400808,2.288463,6.538465,0.000000,0.010550
0.020000,5.148881,13.515141,0.447885,2.419232,6.538465,0.000000,0.011545
0.020000,5.198570,13.515740,0.497577,2.550001,6.538465,-0.000000,0.012536
0.020000,5.250873,13.516421,0.549885,2.680771,6.538465,0.000000,0.013514
0.020000,5.305791,13.517190,0.604808,2.811540,6.538465,0.000000,0.014468
0.020000,5.363323,13.518049,0.662346,2.942309,6.538465,-0.000000,0.015387
0.020000,5.423469,13.519002,0.722500,3.073078,6.538465,0.000000,0.016261
0.020000,5.486230,13.520048,0.785270,3.203848,6.538465,0.000000,0.017077
0.020000,5.551605,13.521190,0.850654,3.334617,6.538465,-0.000000,0.017824
0.020000,5.619593,13.522425,0.918654,3.465386,6.538465,0.000000,0.018489
0.020000,5.690196,13.523751,0.989270,3.596156,6.538465,0.000000,0.019059
0.020000,5.763413,13.525165,1.062501,3.726925,6.538465,-0.000000,0.019520
0.020000,5.839245,13.526659,1.138347,3.857694,6.538465,0.000000,0.019858
0.020000,5.917691,13.528226,1.216808,3.988464,6.538465,-0.000000,0.020058
0.020000,5.998751,13.529855,1.297885,4.119233,6.538465,0.000000,0.020106
0.020000,6.082427,13.531534,1.381578,4.250002,6.538465,0.000000,0.019985
0.020000,6.168718,13.533246,1.467885,4.380771,6.538465,0.000000,0.019679
0.020000,6.257624,13.534975,1.556808,4.511541,6.538465,-0.000000,0.019173
0.020000,6.349146,13.536698,1.648347,4.642310,6.538465,0.000000,0.018447
0.020000,6.443285,13.538392,1.742501,4.773079,6.538465,0.000000,0.017485
0.020000,6.540040,13.540027,1.839270,4.903849,6.538465,0.000000,0.016269
0.020000,6.639413,13.541571,1.938655,5.034618,6.538465,0.000000,0.014779
0.020000,6.741403,13.542990,2.040655,5.165387,6.538465,0.000000,0.012996
0.020000,6.846011,13.544242,2.145270,5.296157,6.538465,-0.000000,0.010900
0.020000,6.953237,13.545283,2.252501,5.426926,6.538465,0.000000,0.008472
0.020000,7.063080,13.546064,2.362347,5.557695,6.538465,0.000000,0.005689
0.020000,7.175541,13.546529,2.474809,5.688464,6.538465,0.000000,0.002531
0.020000,7.290618,13.546619,2.589886,5.819234,6.538465,0.000000,6.282160
0.020000,7.408310,13.546268,2.707578,5.950003,6.538465,0.000000,6.278185
0.020000,7.528614,13.545404,2.827886,6.080772,6.538465,-0.000000,6.273767
0.020000,7.651529,13.543950,2.950809,6.211542,6.538465,0.000000,6.268883
0.020000,7.777049,13.541821,3.076348,6.342311,6.538465,0.000000,6.263510
0.020000,7.905170,13.538927,3.204502,6.473080,6.538465,0.000000,6.257624
0.020000,8.035885,13.535170,3.335271,6.603850,6.538465,0.000000,6.251201
0.020000,8.169186,13.530443,3.468656,6.734619,6.538465,0.000000,6.244216
0.020000,8.305061,13.524636,3.604656,6.865388,6.538465,-0.000000,6.236647
0.020000,8.443499,13.517626,3.743271,6.996157,6.538465,0.000000,6.228468
0.020000,8.584483,13.509287,3.884502,7.126927,6.538465,0.000000,6.219658
0.020000,8.727994,13.499482,4.028348,7.257696,6.538465,0.000000,6.210192
0.020000,8.874010,13.488066,4.174810,7.388465,6.538465,0.000000,6.200050
0.020000,9.021851,13.474950,4.323233,7.453850,3.269232,-163.461622,6.189260
0.020000,9.169850,13.460168,4.471969,7.419710,-1.707012,-248.812236,6.177937
0.020000,9.312240,13.444287,4.619368,7.320185,-4.976245,-163.461622,6.164332
0.020000,9.456080,13.425267,4.764464,7.189416,-6.538465,-78.111007,6.139442
0.020000,9.596847,13.403252,4.906944,7.058646,-6.538465,0.000000,6.116995
0.020000,9.734539,13.378710,5.046809,6.927877,-6.538465,0.000000,6.096935
0.020000,9.869179,13.352078,5.184059,6.797108,-6.538465,-0.000000,6.079187
0.020000,10.000800,13.323760,5.318694,6.666338,-6.538465,0.000000,6.063658
0.020000,10.129450,13.294128,5.450713,6.535569,-6.538465,-0.000000,6.050249
0.020000,10.255181,13.263522,5.580116,6.404800,-6.538465,0.000000,6.038854
0.020000,10.378052,13.232251,5.706905,6.274030,-6.538465,0.000000,6.029365
0.020000,10.498121,13.200593,5.831078,6.143261,-6.538465,0.000000,6.021675
0.020000,10.615447,13.168799,5.952635,6.012492,-6.538465,-0.000000,6.015678
0.020000,10.730085,13.137092,6.071577,5.881723,-6.538465,0.000000,6.011271
0.020000,10.842089,13.105674,6.187904,5.750953,-6.538465,-0.000000,6.008356
0.020000,10.951506,13.074719,6.301615,5.620184,-6.538465,0.000000,6.006835
0.020000,11.058380,13.044384,6.412711,5.489415,-6.538465,0.000000,6.006619
0.020000,11.162750,13.014805,6.521192,5.358645,-6.538465,-0.000000,6.007616
0.020000,11.264649,12.986098,6.627057,5.227876,-6.538465,0.000000,6.009742
0.020000,11.364104,12.958365,6.730307,5.097107,-6.538465,0.000000,6.012915
0.020000,11.461138,12.931688,6.830942,4.966337,-6.538465,0.000000,6.017054
0.020000,11.555769,12.906139,6.928961,4.835568,-6.538465,0.000000,6.022080
0.020000,11.648008,12.881773,7.024364,4.704799,-6.538465,0.000000,6.027919
0.020000,11.737865,12.858632,7.117153,4.574030,-6.538465,-0.000000,6.034495
0.020000,11.825342,12.836748,7.207325,4.443260,-6.538465,0.000000,6.041736
0.020000,11.910439,12.816140,7.294883,4.312491,-6.538465,0.000000,6.049570
0.020000,11.993154,12.796817,7.379825,4.181722,-6.538465,0.000000,6.057928
0.020000,12.073480,12.778777,7.462152,4.050952,-6.538465,0.000000,6.066739
0.020000,12.151408,12.762013,7.541863,3.920183,-6.538465,0.000000,6.075938
0.020000,12.226928,12.746504,7.618959,3.789414,-6.538465,-0.000000,6.085458
0.020000,12.300027,12.732227,7.693440,3.658644,-6.538465,0.000000,6.095233
0.020000,12.370691,12.719148,7.765305,3.527875,-6.538465,-0.000000,6.105201
0.020000,12.438907,12.707229,7.834555,3.397106,-6.538465,-0.000000,6.115302
0.020000,12.504660,12.696427,7.901189,3.266337,-6.538465,0.000000,6.125475
0.020000,12.567934,12.686692,7.965208,3.135567,-6.538465,0.000000,6.135663
0.020000,12.628716,12.677973,8.026612,3.004798,-6.538465,-0.000000,6.145813
0.020000,12.686989,12.670214,8.085400,2.874029,-6.538465,0.000000,6.155871
0.020000,12.742742,12.663357,8.141573,2.743259,-6.538465,0.000000,6.165789
0.020000,12.795960,12.657342,8.195130,2.612490,-6.538465,-0.000000,6.175518
0.020000,12.846633,12.652107,8.246073,2.481721,-6.538465,0.000000,6.185017
0.020000,12.894748,12.647592,8.294399,2.350952,-6.538465,0.000000,6.194242
0.020000,12.940296,12.643734,8.340111,2.220182,-6.538465,-0.000000,6.203157
0.020000,12.983268,12.640472,8.383207,2.089413,-6.538465,0.000000,6.211726
0.020000,13.023657,12.637747,8.423687,1.958644,-6.538465,-0.000000,6.219916
