dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.027556,12.519829,0.000652,0.065168,3.258405,162.920244,0.000067
0.020000,5.027527,12.519829,0.000681,0.001482,-3.184289,-322.134713,0.000038
0.020000,5.029270,12.519829,0.002424,0.087158,4.283762,373.402590,6.283165
0.020000,5.037001,12.519828,0.010156,0.386560,14.970143,534.319019,6.283078
0.020000,5.047309,12.519827,0.020464,0.515412,6.442592,-426.377544,6.282962
0.020000,5.060195,12.519823,0.033349,0.644263,6.442542,-0.002506,6.282816
0.020000,5.075657,12.519816,0.048811,0.773112,6.442459,-0.004136,6.282642
0.020000,5.093696,12.519804,0.066851,0.901959,6.442352,-0.005355,6.282438
0.020000,5.114312,12.519786,0.087467,1.030804,6.442255,-0.004829,6.282205
0.020000,5.137505,12.519761,0.110660,1.159647,6.442121,-0.006714,6.281942
0.020000,5.163275,12.519725,0.136429,1.288486,6.441977,-0.007181,6.281651
0.020000,5.191621,12.519677,0.164776,1.417323,6.441816,-0.008084,6.281330
0.020000,5.222544,12.519614,0.195699,1.546156,6.441652,-0.008193,6.280979
0.020000,5.256044,12.519534,0.229199,1.674985,6.441451,-0.010059,6.280599
0.020000,5.292120,12.519433,0.265275,1.803810,6.441247,-0.010208,6.280189
0.020000,5.330772,12.519309,0.303927,1.932630,6.441026,-0.011020,6.279750
0.020000,5.372001,12.519157,0.345156,2.061446,6.440796,-0.011531,6.279281
0.020000,5.415806,12.518975,0.388961,2.190257,6.440529,-0.013326,6.278781
0.020000,5.462186,12.518759,0.435343,2.319062,6.440268,-0.013047,6.278252
0.020000,5.511143,12.518504,0.484300,2.447862,6.439986,-0.014091,6.277693
0.020000,5.562675,12.518205,0.535833,2.576655,6.439676,-0.015493,6.277103
0.020000,5.616783,12.517860,0.589942,2.705443,6.439370,-0.015334,6.276483
0.020000,5.673466,12.517461,0.646626,2.834223,6.439029,-0.017054,6.275833
0.020000,5.732724,12.517005,0.705886,2.962997,6.438694,-0.016751,6.275152
0.020000,5.794557,12.516487,0.767722,3.091764,6.438331,-0.018132,6.274440
0.020000,5.858965,12.515899,0.832132,3.220523,6.437943,-0.019376,6.273697
0.020000,5.925947,12.515238,0.899118,3.349274,6.437561,-0.019108,6.272923
0.020000,5.995504,12.514496,0.968678,3.478017,6.437147,-0.020731,6.272118
0.020000,6.067634,12.513668,1.040813,3.606751,6.436730,-0.020831,6.271282
0.020000,6.142338,12.512746,1.115522,3.735477,6.436289,-0.022043,6.270414
0.020000,6.219615,12.511724,1.192806,3.864194,6.435838,-0.022575,6.269514
0.020000,6.299465,12.510595,1.272664,3.992901,6.435370,-0.023404,6.268582
0.020000,6.381888,12.509352,1.355096,4.121599,6.434894,-0.023782,6.267618
0.020000,6.466882,12.507986,1.440102,4.250287,6.434388,-0.025280,6.266622
0.020000,6.554449,12.506491,1.527681,4.378965,6.433881,-0.025379,6.265593
0.020000,6.644587,12.504857,1.617834,4.507632,6.433357,-0.026184,6.264532
0.020000,6.737295,12.503077,1.710560,4.636288,6.432816,-0.027059,6.263437
0.020000,6.832574,12.501141,1.805858,4.764933,6.432260,-0.027791,6.262310
0.020000,6.930423,12.499041,1.903730,4.893567,6.431699,-0.028063,6.261149
