dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.634207,14.559829,0.000652,0.065228,3.261403,163.070141,6.282835
0.020000,4.634025,14.559829,0.000834,0.009089,-2.806970,-303.418663,6.283013
0.020000,4.636350,14.559829,0.003159,0.116252,5.358146,408.255840,0.000183
0.020000,4.643636,14.559832,0.010445,0.364295,12.402160,352.200693,0.000714
0.020000,4.653355,14.559843,0.020164,0.485950,6.082774,-315.969326,0.001417
0.020000,4.665511,14.559865,0.032320,0.607799,6.092453,0.483972,0.002289
0.020000,4.680108,14.559906,0.046918,0.729887,6.104402,0.597442,0.003326
0.020000,4.697153,14.559973,0.063963,0.852265,6.118885,0.724145,0.004520
0.020000,4.716653,14.560075,0.083463,0.974978,6.135656,0.838572,0.005867
0.020000,4.738614,14.560220,0.105424,1.098075,6.154863,0.960326,0.007358
0.020000,4.763045,14.560420,0.129856,1.221605,6.176461,1.079903,0.008984
0.020000,4.789956,14.560685,0.156768,1.345612,6.200358,1.194850,0.010737
0.020000,4.819357,14.561028,0.186171,1.470146,6.226691,1.316679,0.012606
0.020000,4.851259,14.561462,0.218076,1.595253,6.255375,1.434161,0.014580
0.020000,4.885674,14.562000,0.252496,1.720979,6.286306,1.546558,0.016647
0.020000,4.922616,14.562655,0.289443,1.847374,6.319712,1.670329,0.018794
0.020000,4.962098,14.563441,0.328933,1.974479,6.355258,1.777279,0.021006
0.020000,5.004134,14.564372,0.370980,2.102344,6.393262,1.900199,0.023269
0.020000,5.048741,14.565462,0.415600,2.231011,6.433363,2.005056,0.025567
0.020000,5.095935,14.566724,0.462811,2.360528,6.475834,2.123532,0.027883
0.020000,5.145733,14.568171,0.512629,2.490939,6.520564,2.236518,0.030200
0.020000,5.198153,14.569815,0.565075,2.622289,6.567476,2.345588,0.032500
0.020000,5.253214,14.571668,0.620168,2.754619,6.616532,2.452810,0.034763
0.020000,5.310936,14.573740,0.677927,2.887977,6.667862,2.566492,0.036969
0.020000,5.371341,14.576040,0.738375,3.022405,6.721417,2.677739,0.039098
0.020000,5.434449,14.578574,0.801534,3.157945,6.777025,2.780431,0.041126
0.020000,5.500283,14.581347,0.867427,3.294645,6.834973,2.897361,0.043032
0.020000,5.568868,14.584362,0.936078,3.432545,6.894986,3.000654,0.044793
0.020000,5.640227,14.587619,1.007512,3.571690,6.957272,3.114294,0.046382
0.020000,5.714388,14.591114,1.081754,3.712126,7.021821,3.227454,0.047777
0.020000,5.791375,14.594842,1.158832,3.853898,7.088604,3.339150,0.048949
0.020000,5.871219,14.598792,1.238773,3.997053,7.157703,3.454969,0.049872
0.020000,5.953947,14.602951,1.321606,4.141636,7.229189,3.574318,0.050518
0.020000,6.039591,14.607298,1.407360,4.287699,7.303147,3.697901,0.050859
0.020000,6.128182,14.611810,1.496066,4.435291,7.379600,3.822609,0.050863
0.020000,6.219753,14.616458,1.587755,4.584465,7.458679,3.953990,0.050500
0.020000,6.314340,14.621206,1.682461,4.735275,7.540485,4.090267,0.049738
0.020000,6.411977,14.626011,1.780216,4.887776,7.625091,4.230311,0.048544
0.020000,6.512703,14.630824,1.881057,5.042029,7.712654,4.378162,0.046883
