dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.633849,13.539829,0.000652,0.065228,3.261403,163.070141,6.282835
0.020000,4.633849,13.539829,0.003261,0.195684,6.522806,163.070141,6.283013
0.020000,4.636536,13.539829,0.008480,0.326140,6.522806,0.000000,0.000183
0.020000,4.644364,13.539833,0.016307,0.456596,6.522806,-0.000000,0.000714
0.020000,4.654800,13.539844,0.026744,0.587053,6.522806,0.000000,0.001417
0.020000,4.667846,13.539868,0.039789,0.717509,6.522806,0.000000,0.002289
0.020000,4.683500,13.539912,0.055444,0.847965,6.522806,0.000000,0.003326
0.020000,4.701764,13.539984,0.073708,0.978421,6.522806,0.000000,0.004520
0.020000,4.722637,13.540092,0.094581,1.108877,6.522806,-0.000000,0.005867
0.020000,4.746118,13.540247,0.118063,1.239333,6.522806,-0.000000,0.007358
0.020000,4.772209,13.540461,0.144154,1.369789,6.522806,0.000000,0.008984
0.020000,4.800908,13.540744,0.172854,1.500245,6.522806,0.000000,0.010737
0.020000,4.832215,13.541109,0.204164,1.630701,6.522806,0.000000,0.012606
0.020000,4.866131,13.541571,0.238082,1.761158,6.522806,0.000000,0.014580
0.020000,4.902654,13.542141,0.274610,1.891614,6.522806,-0.000000,0.016647
0.020000,4.941784,13.542835,0.313747,2.022070,6.522806,-0.000000,0.018794
0.020000,4.983522,13.543666,0.355493,2.152526,6.522806,0.000000,0.021006
0.020000,5.027866,13.544648,0.399848,2.282982,6.522806,-0.000000,0.023269
0.020000,5.074817,13.545795,0.446812,2.413438,6.522806,0.000000,0.025567
0.020000,5.124372,13.547120,0.496386,2.543894,6.522806,-0.000000,0.027883
0.020000,5.176533,13.548636,0.548568,2.674350,6.522806,0.000000,0.030200
0.020000,5.231297,13.550354,0.603360,2.804806,6.522806,-0.000000,0.032500
0.020000,5.288665,13.552285,0.660760,2.935263,6.522806,0.000000,0.034763
0.020000,5.348637,13.554437,0.720770,3.065719,6.522806,-0.000000,0.036969
0.020000,5.411210,13.556819,0.783389,3.196175,6.522806,0.000000,0.039098
0.020000,5.476386,13.559436,0.848617,3.326631,6.522806,-0.000000,0.041126
0.020000,5.544163,13.562291,0.916454,3.457087,6.522806,0.000000,0.043032
0.020000,5.614541,13.565385,0.986900,3.587543,6.522806,0.000000,0.044793
0.020000,5.687520,13.568716,1.059956,3.717999,6.522806,0.000000,0.046382
0.020000,5.763101,13.572278,1.135620,3.848455,6.522806,-0.000000,0.047777
0.020000,5.841283,13.576064,1.213894,3.978911,6.522806,0.000000,0.048949
0.020000,5.922067,13.580061,1.294777,4.109368,6.522806,-0.000000,0.049872
0.020000,6.005454,13.584252,1.378269,4.239824,6.522806,0.000000,0.050518
0.020000,6.091444,13.588617,1.464370,4.370280,6.522806,-0.000000,0.050859
0.020000,6.180039,13.593129,1.553080,4.500736,6.522806,0.000000,0.050863
0.020000,6.271241,13.597758,1.644399,4.631192,6.522806,0.000000,0.050500
0.020000,6.365052,13.602467,1.738328,4.761648,6.522806,-0.000000,0.049738
0.020000,6.461472,13.607213,1.834865,4.892104,6.522806,0.000000,0.048544
0.020000,6.560506,13.611945,1.934012,5.022560,6.522806,0.000000,0.046883
0.020000,6.662155,13.616608,2.035768,5.153016,6.522806,0.000000,0.044720
0.020000,6.766421,13.621137,2.140133,5.283473,6.522806,-0.000000,0.042019
0.020000,6.873308,13.625460,2.247107,5.413929,6.522806,0.000000,0.038740
0.020000,6.982817,13.629496,2.356690,5.544385,6.522806,0.000000,0.034845
0.020000,7.094949,13.633155,2.468882,5.674841,6.522806,-0.000000,0.030293
0.020000,7.209706,13.636336,2.583683,5.805297,6.522806,0.000000,0.025042
0.020000,7.327088,13.638931,2.701094,5.935753,6.522806,0.000000,0.019050
0.020000,7.447093,13.640817,2.821113,6.066209,6.522806,0.000000,0.012270
0.020000,7.569717,13.641862,2.943742,6.196665,6.522806,0.000000,0.004660
0.020000,7.694954,13.641921,3.068980,6.327121,6.522806,-0.000000,6.279356
0.020000,7.822796,13.640838,3.196827,6.457578,6.522806,0.000000,6.269942
0.020000,7.953230,13.638442,3.327283,6.588034,6.522806,0.000000,6.259556
0.020000,8.086237,13.634548,3.460348,6.718490,6.522806,-0.000000,6.248151
0.020000,8.221795,13.628960,3.596023,6.848946,6.522806,0.000000,6.235680
0.020000,8.359875,13.621466,3.734306,6.979402,6.522806,0.000000,6.222100
0.020000,8.500437,13.611840,3.875199,7.109858,6.522806,-0.000000,6.207367
0.020000,8.643434,13.599842,4.018701,7.240314,6.522806,0.000000,6.191443
0.020000,8.788810,13.585221,4.164811,7.370770,6.522806,-0.000000,6.174295
0.020000,8.936494,13.567711,4.313531,7.501226,6.522806,0.000000,6.155894
0.020000,9.086401,13.547037,4.464860,7.631683,6.522806,0.000000,6.136221
0.020000,9.238435,13.522913,4.618799,7.762139,6.522806,-0.000000,6.115267
0.020000,9.392479,13.495047,4.775346,7.892595,6.522806,0.000000,6.093032
0.020000,9.548401,13.463142,4.934502,8.023051,6.522806,0.000000,6.069531
0.020000,9.706050,13.426902,5.096268,8.153507,6.522806,-0.000000,6.044796
0.020000,9.865258,13.386031,5.260643,8.283963,6.522806,0.000000,6.018874
0.020000,10.025836,13.340242,5.427627,8.414419,6.522806,0.000000,5.991828
0.020000,10.187578,13.289259,5.597220,8.544875,6.522806,-0.000000,5.963744
0.020000,10.350263,13.232823,5.769422,8.675332,6.522806,0.000000,5.934722
0.020000,10.504570,13.173191,5.944233,8.805788,6.522806,-0.000000,5.886634
0.020000,10.665826,13.099286,6.121653,8.936244,6.522806,0.000000,5.819679
0.020000,10.823888,13.013183,6.301683,9.066700,6.522806,0.000000,5.748670
0.020000,10.977478,12.914435,6.484321,9.197156,6.522806,-0.000000,5.674714
0.020000,11.125339,12.802910,6.669569,9.327612,6.522806,0.000000,5.599296
0.020000,11.266333,12.678838,6.857426,9.458068,6.522806,0.000000,5.524156
0.020000,11.399562,12.542782,7.047892,9.588524,6.522806,-0.000000,5.451074
0.020000,11.524440,12.395581,7.240967,9.718980,6.522806,0.000000,5.381660
