dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.633491,12.519829,0.000652,0.065228,3.261403,163.070141,6.282835
0.020000,4.633673,12.519829,0.000834,0.009089,-2.806970,-303.418663,6.283013
0.020000,4.636723,12.519829,0.003884,0.152510,7.171080,498.902532,0.000183
0.020000,4.645092,12.519833,0.012253,0.418443,13.296613,306.276659,0.000714
0.020000,4.656246,12.519845,0.023407,0.557698,6.962777,-316.691831,0.001417
0.020000,4.670181,12.519871,0.037342,0.696763,6.953226,-0.477562,0.002289
0.020000,4.686893,12.519918,0.054054,0.835585,6.941124,-0.605078,0.003326
0.020000,4.706375,12.519994,0.073536,0.974121,6.926783,-0.717055,0.004520
0.020000,4.728621,12.520110,0.095783,1.112319,6.909931,-0.842611,0.005867
0.020000,4.753623,12.520275,0.120786,1.250134,6.890747,-0.959177,0.007358
0.020000,4.781373,12.520502,0.148536,1.387518,6.869197,-1.077504,0.008984
0.020000,4.811859,12.520803,0.179024,1.524422,6.845193,-1.200191,0.010737
0.020000,4.845073,12.521190,0.212240,1.660800,6.818913,-1.314016,0.012606
0.020000,4.881002,12.521679,0.248172,1.796606,6.790281,-1.431584,0.014580
0.020000,4.919633,12.522282,0.286808,1.931790,6.759211,-1.553486,0.016647
0.020000,4.960953,12.523015,0.328134,2.066310,6.725990,-1.661087,0.018794
0.020000,5.004946,12.523891,0.372137,2.200115,6.690272,-1.785906,0.021006
0.020000,5.051598,12.524924,0.418800,2.333164,6.652450,-1.891099,0.023269
0.020000,5.100892,12.526128,0.468108,2.465408,6.612158,-2.014580,0.025567
0.020000,5.152809,12.527517,0.520044,2.596802,6.569737,-2.121056,0.027883
0.020000,5.207332,12.529101,0.574590,2.727304,6.525100,-2.231866,0.030200
0.020000,5.264442,12.530893,0.631728,2.856868,6.478194,-2.345267,0.032500
0.020000,5.324117,12.532901,0.691437,2.985448,6.429012,-2.459105,0.034763
0.020000,5.386337,12.535134,0.753697,3.113003,6.377719,-2.564680,0.036969
0.020000,5.451080,12.537599,0.818486,3.239488,6.324276,-2.672121,0.039098
0.020000,5.518323,12.540299,0.885784,3.364858,6.268509,-2.788346,0.041126
0.020000,5.588042,12.543235,0.955565,3.489073,6.210718,-2.889554,0.043032
0.020000,5.660214,12.546408,1.027807,3.612085,6.150593,-3.006241,0.044793
0.020000,5.734814,12.549813,1.102484,3.733851,6.088320,-3.113656,0.046382
0.020000,5.811815,12.553442,1.179570,3.854328,6.023834,-3.224304,0.047777
0.020000,5.891191,12.557286,1.259040,3.973468,5.957032,-3.340128,0.048949
0.020000,5.972916,12.561329,1.340864,4.091227,5.887904,-3.456359,0.049872
0.020000,6.056961,12.565553,1.425015,4.207555,5.816408,-3.574799,0.050518
0.020000,6.143298,12.569936,1.511463,4.322404,5.742490,-3.695912,0.050859
