dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.535578,18.365008,0.000647,0.064738,3.236921,161.846070,6.283049
0.020000,4.535489,18.365008,0.000736,0.004420,-3.015921,-312.642099,6.283136
0.020000,4.539017,18.365008,0.004264,0.176401,8.599027,580.747378,0.000123
0.020000,4.546524,18.365010,0.011771,0.375336,9.946765,67.386907,0.000380
0.020000,4.556537,18.365015,0.021783,0.500641,6.265258,-184.075344,0.000719
0.020000,4.569059,18.365027,0.034306,0.626111,6.273523,0.413216,0.001136
0.020000,4.584095,18.365048,0.049341,0.751789,6.283860,0.516847,0.001627
0.020000,4.601649,18.365081,0.066896,0.877714,6.296251,0.619580,0.002189
0.020000,4.621727,18.365132,0.086974,1.003928,6.310720,0.723431,0.002814
0.020000,4.644337,18.365203,0.109584,1.130472,6.327203,0.824144,0.003497
0.020000,4.669484,18.365300,0.134731,1.257388,6.345770,0.928378,0.004230
0.020000,4.697178,18.365428,0.162426,1.384715,6.366384,1.030715,0.005005
0.020000,4.727428,18.365592,0.192676,1.512496,6.389038,1.132671,0.005813
0.020000,4.760243,18.365796,0.225491,1.640770,6.413691,1.232645,0.006645
0.020000,4.795633,18.366047,0.260883,1.769578,6.440431,1.336993,0.007490
0.020000,4.833611,18.366347,0.298862,1.898962,6.469178,1.437362,0.008337
0.020000,4.874189,18.366703,0.339441,2.028961,6.499938,1.538006,0.009173
0.020000,4.917379,18.367117,0.382633,2.159616,6.532743,1.640232,0.009987
0.020000,4.963196,18.367593,0.428453,2.290967,6.567562,1.740964,0.010764
0.020000,5.011654,18.368132,0.476914,2.423055,6.604388,1.841307,0.011489
0.020000,5.062769,18.368737,0.528032,2.555920,6.643266,1.943908,0.012149
0.020000,5.116557,18.369406,0.581824,2.689603,6.684155,2.044439,0.012725
0.020000,5.173035,18.370139,0.638307,2.824144,6.727066,2.145568,0.013203
0.020000,5.232221,18.370932,0.697499,2.959585,6.772041,2.248730,0.013563
0.020000,5.294135,18.371780,0.759418,3.095966,6.819066,2.351255,0.013788
0.020000,5.358795,18.372674,0.824085,3.233330,6.868157,2.454527,0.013859
0.020000,5.426223,18.373606,0.891519,3.371716,6.919343,2.559334,0.013754
0.020000,5.496440,18.374563,0.961742,3.511169,6.972646,2.665112,0.013454
0.020000,5.569468,18.375528,1.034777,3.651731,7.028084,2.771913,0.012937
0.020000,5.645331,18.376482,1.110646,3.793445,7.085703,2.880951,0.012180
0.020000,5.724053,18.377402,1.189373,3.936356,7.145536,2.991663,0.011159
0.020000,5.805659,18.378261,1.270983,4.080508,7.207587,3.102563,0.009851
0.020000,5.890174,18.379027,1.355502,4.225946,7.271934,3.217326,0.008230
0.020000,5.977626,18.379663,1.442957,4.372719,7.338621,3.334365,0.006269
0.020000,6.068042,18.380127,1.533374,4.520871,7.407621,3.449998,0.003943
0.020000,6.161451,18.380371,1.626783,4.670452,7.479034,3.570641,0.001222
0.020000,6.257881,18.380340,1.723213,4.821508,7.552834,3.689994,6.281263
0.020000,6.357362,18.379973,1.822695,4.974090,7.629053,3.810974,6.277666
0.020000,6.459924,18.379201,1.925260,5.128242,7.707640,3.929343,6.273585
0.020000,6.565597,18.377947,2.030940,5.284015,7.788626,4.049309,6.268989
0.020000,6.674411,18.376126,2.139769,5.441452,7.871840,4.160662,6.263844
0.020000,6.786395,18.373643,2.251781,5.600596,7.957237,4.269853,6.258117
0.020000,6.901579,18.370394,2.367011,5.761489,8.044634,4.369859,6.251775
0.020000,7.019991,18.366263,2.485494,5.924163,8.133710,4.453785,6.244781
0.020000,7.141655,18.361126,2.607267,6.088648,8.224230,4.526036,6.237101
0.020000,7.266597,18.354843,2.732366,6.254961,8.315646,4.570776,6.228699
0.020000,7.394835,18.347265,2.860828,6.423110,8.407473,4.591368,6.219538
0.020000,7.526387,18.338229,2.992690,6.593089,8.498922,4.572455,6.209583
0.020000,7.661263,18.327559,3.127988,6.764872,8.589146,4.511171,6.198799
0.020000,7.799467,18.315065,3.266756,6.938412,8.677035,4.394468,6.187150
0.020000,7.940997,18.300541,3.409029,7.113638,8.761292,4.212854,6.174604
0.020000,8.085838,18.283772,3.554838,7.290445,8.840321,3.951453,6.161130
0.020000,8.233967,18.264523,3.704211,7.468693,8.912412,3.604554,6.146699
0.020000,8.385345,18.242551,3.857175,7.648202,8.975445,3.151639,6.131287
0.020000,8.539918,18.217598,4.013750,7.828742,9.027004,2.577966,6.114874
0.020000,8.697617,18.189394,4.173951,8.010041,9.064947,1.897159,6.097444
0.020000,8.858350,18.157662,4.337786,8.191762,9.086068,1.056004,6.078990
0.020000,9.022004,18.122115,4.505257,8.373519,9.087858,0.089522,6.059510
0.020000,9.188443,18.082463,4.676354,8.554871,9.067589,-1.013444,6.039013
0.020000,9.357506,18.038415,4.851060,8.735311,9.022009,-2.278981,6.017516
0.020000,9.525553,17.990688,5.025754,8.734665,-0.032286,-452.714796,5.993275
0.020000,9.736043,17.920617,5.247601,11.092341,117.883798,5895.804229,5.930607
