dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.535439,17.345008,0.000650,0.064953,3.247651,162.382559,0.000115
0.020000,4.535439,17.345008,0.003248,0.194859,6.495302,162.382559,0.000066
0.020000,4.537106,17.345008,0.008444,0.324765,6.495302,0.000000,6.283154
0.020000,4.544901,17.345007,0.016238,0.454671,6.495302,-0.000000,6.283007
0.020000,4.555293,17.345004,0.026631,0.584577,6.495302,0.000000,6.282812
0.020000,4.568284,17.344998,0.039621,0.714483,6.495302,0.000000,6.282567
0.020000,4.583872,17.344986,0.055210,0.844389,6.495302,-0.000000,6.282272
0.020000,4.602059,17.344966,0.073397,0.974295,6.495302,0.000000,6.281927
0.020000,4.622844,17.344936,0.094182,1.104201,6.495302,-0.000000,6.281531
0.020000,4.646227,17.344892,0.117565,1.234107,6.495302,0.000000,6.281085
0.020000,4.672208,17.344831,0.143546,1.364013,6.495302,0.000000,6.280586
0.020000,4.700788,17.344749,0.172126,1.493920,6.495302,0.000000,6.280036
0.020000,4.731965,17.344641,0.203303,1.623826,6.495302,0.000000,6.279432
0.020000,4.765740,17.344503,0.237079,1.753732,6.495302,0.000000,6.278775
0.020000,4.802114,17.344330,0.273452,1.883638,6.495302,0.000000,6.278063
0.020000,4.841085,17.344115,0.312424,2.013544,6.495302,-0.000000,6.277296
0.020000,4.882654,17.343853,0.353994,2.143450,6.495302,0.000000,6.276472
0.020000,4.926821,17.343537,0.398162,2.273356,6.495302,-0.000000,6.275590
0.020000,4.973585,17.343160,0.444928,2.403262,6.495302,0.000000,6.274650
0.020000,5.022948,17.342714,0.494293,2.533168,6.495302,0.000000,6.273651
0.020000,5.074907,17.342191,0.546255,2.663074,6.495302,-0.000000,6.272590
0.020000,5.129465,17.341583,0.600815,2.792980,6.495302,0.000000,6.271467
0.020000,5.186619,17.340879,0.657974,2.922886,6.495302,0.000000,6.270281
0.020000,5.246370,17.340070,0.717731,3.052792,6.495302,-0.000000,6.269029
0.020000,5.308718,17.339147,0.780086,3.182698,6.495302,0.000000,6.267711
0.020000,5.373663,17.338097,0.845039,3.312604,6.495302,-0.000000,6.266325
0.020000,5.441204,17.336909,0.912590,3.442510,6.495302,0.000000,6.264869
0.020000,5.511340,17.335570,0.982739,3.572416,6.495302,-0.000000,6.263341
0.020000,5.584072,17.334069,1.055487,3.702322,6.495302,0.000000,6.261741
0.020000,5.659399,17.332390,1.130832,3.832228,6.495302,-0.000000,6.260066
0.020000,5.737320,17.330520,1.208776,3.962134,6.495302,0.000000,6.258313
0.020000,5.817835,17.328444,1.289318,4.092040,6.495302,0.000000,6.256483
0.020000,5.900943,17.326145,1.372457,4.221947,6.495302,0.000000,6.254571
0.020000,5.986643,17.323606,1.458195,4.351853,6.495302,0.000000,6.252577
0.020000,6.074935,17.320811,1.546531,4.481759,6.495302,0.000000,6.250497
0.020000,6.165818,17.317741,1.637466,4.611665,6.495302,-0.000000,6.248330
0.020000,6.259289,17.314376,1.730998,4.741571,6.495302,0.000000,6.246075
0.020000,6.355349,17.310697,1.827129,4.871477,6.495302,0.000000,6.243727
0.020000,6.453996,17.306682,1.925857,5.001383,6.495302,-0.000000,6.241285
0.020000,6.555229,17.302310,2.027184,5.131289,6.495302,0.000000,6.238746
0.020000,6.659045,17.297556,2.131109,5.261195,6.495302,-0.000000,6.236109
0.020000,6.765443,17.292398,2.237632,5.391101,6.495302,0.000000,6.233370
0.020000,6.874420,17.286810,2.346753,5.521007,6.495302,-0.000000,6.230526
0.020000,6.985976,17.280765,2.458472,5.650913,6.495302,0.000000,6.227576
0.020000,7.100107,17.274237,2.572789,5.780819,6.495302,-0.000000,6.224516
0.020000,7.216810,17.267197,2.689705,5.910725,6.495302,0.000000,6.221344
0.020000,7.336083,17.259615,2.809218,6.040631,6.495302,-0.000000,6.218056
0.020000,7.457922,17.251461,2.931330,6.170537,6.495302,0.000000,6.214650
0.020000,7.582323,17.242702,3.056040,6.300443,6.495302,0.000000,6.211123
0.020000,7.709284,17.233304,3.183348,6.430349,6.495302,0.000000,6.207472
0.020000,7.838799,17.223234,3.313254,6.560255,6.495302,-0.000000,6.203694
0.020000,7.970864,17.212455,3.445758,6.690161,6.495302,0.000000,6.199786
0.020000,8.105474,17.200929,3.580860,6.820067,6.495302,-0.000000,6.195745
0.020000,8.242623,17.188618,3.718561,6.949974,6.495302,0.000000,6.191568
0.020000,8.382305,17.175482,3.858859,7.079880,6.495302,-0.000000,6.187251
0.020000,8.524513,17.161477,4.001756,7.209786,6.495302,0.000000,6.182791
0.020000,8.669241,17.146563,4.147251,7.339692,6.495302,-0.000000,6.178187
0.020000,8.816481,17.130693,4.295343,7.469598,6.495302,0.000000,6.173433
0.020000,8.966225,17.113821,4.446034,7.599504,6.495302,-0.000000,6.168527
0.020000,9.118462,17.095899,4.599324,7.729410,6.495302,0.000000,6.163467
0.020000,9.273185,17.076878,4.755211,7.859316,6.495302,-0.000000,6.158248
0.020000,9.430381,17.056707,4.913696,7.989222,6.495302,0.000000,6.152868
0.020000,9.590040,17.035333,5.074780,8.119128,6.495302,-0.000000,6.147324
0.020000,9.752149,17.012701,5.238461,8.249034,6.495302,0.000000,6.141612
0.020000,9.916696,16.988756,5.404741,8.378940,6.495302,0.000000,6.135731
0.020000,10.083665,16.963440,5.573619,8.508846,6.495302,0.000000,6.129676
0.020000,10.253042,16.936693,5.745095,8.638752,6.495302,-0.000000,6.123446
0.020000,10.424810,16.908456,5.919169,8.768658,6.495302,0.000000,6.117038
0.020000,10.598952,16.878664,6.095841,8.898564,6.495302,0.000000,6.110448
0.020000,10.775449,16.847255,6.275112,9.028470,6.495302,0.000000,6.103675
0.020000,10.954281,16.814162,6.456980,9.158376,6.495302,0.000000,6.096716
0.020000,11.135426,16.779317,6.641447,9.288282,6.495302,0.000000,6.089570
0.020000,11.311730,16.743926,6.828511,9.418188,6.495302,-0.000000,6.075890
0.020000,11.496042,16.702225,7.017489,9.479570,3.069082,-171.311000,6.045755
0.020000,11.678987,16.655169,7.206395,9.411046,-3.426220,-324.765117,6.017415
0.020000,11.858675,16.603690,7.393317,9.281140,-6.495302,-153.454118,5.991231
0.020000,12.034538,16.548502,7.577641,9.151234,-6.495302,-0.000000,5.967296
0.020000,12.206636,16.490148,7.759366,9.021328,-6.495302,0.000000,5.945578
0.020000,12.375052,16.429141,7.938494,8.891421,-6.495302,0.000000,5.926026
0.020000,12.539885,16.365959,8.115023,8.761515,-6.495302,0.000000,5.908571
0.020000,12.701246,16.301045,8.288954,8.631609,-6.495302,0.000000,5.893138
0.020000,12.859257,16.234809,8.460288,8.501703,-6.495302,0.000000,5.879641
