dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.535300,16.325008,0.000647,0.064738,3.236921,161.846070,6.283049
0.020000,4.535389,16.325008,0.000736,0.004420,-3.015921,-312.642099,6.283136
0.020000,4.539269,16.325008,0.004616,0.193998,9.478896,624.740854,0.000123
0.020000,4.547299,16.325010,0.012646,0.401525,10.376357,44.873014,0.000380
0.020000,4.558003,16.325016,0.023350,0.535174,6.682439,-184.695886,0.000719
0.020000,4.571376,16.325028,0.036723,0.668657,6.674161,-0.413912,0.001136
0.020000,4.587414,16.325050,0.052762,0.801934,6.663828,-0.516618,0.001627
0.020000,4.606114,16.325086,0.071461,0.934962,6.651428,-0.620009,0.002189
0.020000,4.627468,16.325140,0.092815,1.067702,6.636991,-0.721886,0.002814
0.020000,4.651470,16.325215,0.116817,1.200111,6.620456,-0.826735,0.003497
0.020000,4.678113,16.325318,0.143460,1.332149,6.601907,-0.927432,0.004230
0.020000,4.707388,16.325454,0.172736,1.463776,6.581313,-1.029720,0.005005
0.020000,4.739286,16.325626,0.204635,1.594949,6.558674,-1.131962,0.005813
0.020000,4.773798,16.325841,0.239147,1.725628,6.533957,-1.235834,0.006645
0.020000,4.810913,16.326104,0.276263,1.855773,6.507264,-1.334659,0.007490
0.020000,4.850618,16.326418,0.315969,1.985344,6.478518,-1.437275,0.008337
0.020000,4.892903,16.326789,0.358255,2.114298,6.447733,-1.539242,0.009173
0.020000,4.937753,16.327219,0.403107,2.242597,6.414947,-1.639295,0.009987
0.020000,4.985154,16.327711,0.450511,2.370200,6.380132,-1.740761,0.010764
0.020000,5.035092,16.328267,0.500453,2.497066,6.343280,-1.842617,0.011489
0.020000,5.087552,16.328887,0.552916,2.623154,6.304433,-1.942323,0.012149
0.020000,5.142516,16.329572,0.607884,2.748425,6.263542,-2.044566,0.012725
0.020000,5.199968,16.330317,0.665341,2.872837,6.220605,-2.146830,0.013203
0.020000,5.259889,16.331120,0.725268,2.996350,6.175646,-2.247963,0.013563
0.020000,5.322262,16.331973,0.787646,3.118923,6.128626,-2.351018,0.013788
0.020000,5.387066,16.332870,0.852457,3.240513,6.079527,-2.454924,0.013859
0.020000,5.454281,16.333799,0.919678,3.361080,6.028342,-2.559266,0.013754
0.020000,5.523886,16.334747,0.989290,3.480581,5.975042,-2.665004,0.013454
0.020000,5.595860,16.335699,1.061269,3.598973,5.919593,-2.772456,0.012937
0.020000,5.670178,16.336633,1.135594,3.716212,5.861977,-2.880777,0.012180
0.020000,5.746818,16.337529,1.212239,3.832256,5.802160,-2.990849,0.011159
0.020000,5.825755,16.338360,1.291180,3.947057,5.740074,-3.104332,0.009851
0.020000,5.906963,16.339096,1.372391,4.060571,5.675718,-3.217763,0.008230
0.020000,5.990416,16.339703,1.455846,4.172753,5.609065,-3.332684,0.006269
0.020000,6.076085,16.340143,1.541517,4.283553,5.540018,-3.452338,0.003943
0.020000,6.163944,16.340373,1.629376,4.392925,5.468617,-3.570053,0.001222
0.020000,6.253960,16.340344,1.719392,4.500821,5.394798,-3.690950,6.281263
0.020000,6.346103,16.340004,1.811536,4.607193,5.318580,-3.810915,6.277666
0.020000,6.440340,16.339295,1.905776,4.711992,5.239939,-3.932008,6.273585
0.020000,6.536637,16.338152,2.002079,4.815171,5.158984,-4.047782,6.268989
0.020000,6.634957,16.336507,2.100413,4.916685,5.075699,-4.164240,6.263844
0.020000,6.735262,16.334284,2.200743,5.016491,4.990277,-4.271104,6.258117
0.020000,6.837513,16.331400,2.303034,5.114549,4.902890,-4.369335,6.251775
0.020000,6.941666,16.327767,2.407250,5.210823,4.813726,-4.458230,6.244781
0.020000,7.047677,16.323291,2.513356,5.305288,4.723214,-4.525571,6.237101
0.020000,7.155499,16.317870,2.621315,5.397922,4.631708,-4.575317,6.228699
0.020000,7.265083,16.311396,2.731089,5.488719,4.539856,-4.592591,6.219538
0.020000,7.376374,16.303753,2.842643,5.577685,4.448320,-4.576796,6.209583
0.020000,7.489318,16.294818,2.955940,5.664846,4.358034,-4.514311,6.198799
0.020000,7.603856,16.284465,3.070945,5.750247,4.270072,-4.398098,6.187150
0.020000,7.719926,16.272555,3.187624,5.833962,4.185753,-4.215970,6.174604
0.020000,7.837463,16.258948,3.305946,5.916094,4.106584,-3.958422,6.161130
0.020000,7.956399,16.243495,3.425881,5.996783,4.034440,-3.607201,6.146699
0.020000,8.076663,16.226041,3.547406,6.076209,3.971326,-3.155727,6.131287
0.020000,8.198182,16.206425,3.670498,6.154599,3.919463,-2.593143,6.114874
0.020000,8.320880,16.184483,3.795142,6.232232,3.881688,-1.888735,6.097444
0.020000,8.444680,16.160044,3.921331,6.309439,3.860318,-1.068508,6.078990
0.020000,8.569502,16.132934,4.049063,6.386607,3.858408,-0.095481,6.059510
0.020000,8.695266,16.102974,4.178347,6.464184,3.878839,1.021537,6.039013
0.020000,8.821893,16.069985,4.309200,6.542661,3.923873,2.251686,6.017516
0.020000,8.942386,16.035818,4.434444,6.262195,-14.023301,-897.358670,5.993275
0.020000,9.031593,16.006107,4.528469,4.701246,-78.047445,-3201.207229,5.930607
0.020000,9.122154,15.969572,4.626122,4.882646,9.070006,4355.872586,5.869686
0.020000,9.213542,15.926249,4.727259,5.056838,8.709601,-18.020271,5.812370
0.020000,9.305096,15.876523,4.831445,5.209320,7.624068,-54.276631,5.760040
0.020000,9.396661,15.820745,4.938662,5.360837,7.575853,-2.410764,5.713217
0.020000,9.488249,15.759268,5.048969,5.515350,7.725658,7.490255,5.671961
0.020000,9.579795,15.692570,5.162235,5.663325,7.398748,-16.345506,5.636143
0.020000,9.671211,15.621205,5.278209,5.798678,6.767673,-31.553745,5.605517
0.020000,9.762425,15.545774,5.396571,5.918132,5.972697,-39.748819,5.579771
