dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.567935,18.332204,0.000652,0.065214,3.260716,163.035795,0.000301
0.020000,4.568047,18.332204,0.000764,0.005591,-2.981149,-312.093246,0.000192
0.020000,4.568917,18.332204,0.001635,0.043529,1.896908,243.902841,6.283158
0.020000,4.577077,18.332203,0.009794,0.407970,18.222020,816.255630,6.282831
0.020000,4.587954,18.332197,0.020671,0.543854,6.794204,-571.390829,6.282397
0.020000,4.601547,18.332182,0.034264,0.679650,6.789786,-0.220898,6.281858
0.020000,4.617853,18.332155,0.050571,0.815331,6.784056,-0.286469,6.281215
0.020000,4.636871,18.332111,0.069588,0.950877,6.777294,-0.338136,6.280473
0.020000,4.658596,18.332043,0.091314,1.086267,6.769503,-0.389539,6.279633
0.020000,4.683025,18.331945,0.115743,1.221475,6.760400,-0.455153,6.278699
0.020000,4.710155,18.331809,0.142873,1.356480,6.750270,-0.506483,6.277676
0.020000,4.739979,18.331628,0.172698,1.491263,6.739122,-0.557400,6.276567
0.020000,4.772494,18.331393,0.205214,1.625796,6.726661,-0.623041,6.275378
0.020000,4.807694,18.331096,0.240415,1.760060,6.713185,-0.673825,6.274113
0.020000,4.845573,18.330727,0.278296,1.894034,6.698704,-0.724033,6.272779
0.020000,4.886125,18.330277,0.318849,2.027692,6.682911,-0.789667,6.271382
0.020000,4.929341,18.329735,0.362070,2.161014,6.666117,-0.839673,6.269928
0.020000,4.975217,18.329092,0.407949,2.293981,6.648339,-0.888944,6.268424
0.020000,5.023742,18.328338,0.456481,2.426566,6.629248,-0.954540,6.266878
0.020000,5.074909,18.327463,0.507656,2.558749,6.609177,-1.003554,6.265297
0.020000,5.128710,18.326457,0.561466,2.690512,6.588141,-1.051763,6.263691
0.020000,5.185135,18.325311,0.617903,2.821828,6.565793,-1.117411,6.262067
0.020000,5.244175,18.324015,0.676956,2.952678,6.542504,-1.164462,6.260434
0.020000,5.305818,18.322562,0.738617,3.083043,6.518228,-1.213790,6.258803
0.020000,5.370056,18.320943,0.802875,3.212897,6.492705,-1.276165,6.257183
0.020000,5.436876,18.319151,0.869719,3.342221,6.466229,-1.323771,6.255585
0.020000,5.506268,18.317180,0.939139,3.470996,6.438734,-1.374782,6.254020
0.020000,5.578220,18.315026,1.011123,3.599198,6.410086,-1.432382,6.252497
0.020000,5.652719,18.312684,1.085659,3.726807,6.380451,-1.481736,6.251031
0.020000,5.729754,18.310151,1.162735,3.853802,6.349753,-1.534900,6.249631
0.020000,5.809310,18.307427,1.242339,3.980162,6.317994,-1.587966,6.248312
0.020000,5.891376,18.304513,1.324456,4.105866,6.285194,-1.640001,6.247085
0.020000,5.975937,18.301410,1.409074,4.230891,6.251284,-1.695512,6.245963
0.020000,6.062979,18.298124,1.496178,4.355219,6.216371,-1.745621,6.244962
0.020000,6.152489,18.294661,1.585755,4.478826,6.180345,-1.801344,6.244094
0.020000,6.244451,18.291030,1.677788,4.601689,6.143182,-1.858144,6.243375
0.020000,6.338851,18.287242,1.772264,4.723789,6.104986,-1.909761,6.242819
0.020000,6.435673,18.283311,1.869166,4.845101,6.065611,-1.968772,6.242442
0.020000,6.534902,18.279255,1.968478,4.965603,6.025087,-2.026214,6.242259
0.020000,6.636522,18.275094,2.070184,5.085271,5.983400,-2.084326,6.242287
0.020000,6.740517,18.270850,2.174265,5.204081,5.940499,-2.145072,6.242544
0.020000,6.846871,18.266549,2.280705,5.322008,5.896368,-2.206544,6.243045
0.020000,6.955565,18.262223,2.389486,5.439028,5.850967,-2.270033,6.243809
0.020000,7.066584,18.257905,2.500588,5.555113,5.804276,-2.334575,6.244854
0.020000,7.179908,18.253633,2.613993,5.670238,5.756228,-2.402392,6.246200
0.020000,7.295520,18.249448,2.729681,5.784375,5.706850,-2.468904,6.247865
0.020000,7.413400,18.245398,2.847630,5.897496,5.656074,-2.538798,6.249869
0.020000,7.533529,18.241534,2.967822,6.009572,5.603798,-2.613810,6.252233
0.020000,7.655887,18.237910,3.090233,6.120576,5.550210,-2.679399,6.254978
0.020000,7.780452,18.234588,3.214843,6.230479,5.495104,-2.755282,6.258126
0.020000,7.907203,18.231633,3.341628,6.339248,5.438464,-2.832014,6.261698
0.020000,8.036116,18.229118,3.470565,6.446858,5.380529,-2.896741,6.265718
0.020000,8.167166,18.227118,3.601631,6.553280,5.321104,-2.971225,6.270208
0.020000,8.300328,18.225717,3.734801,6.658487,5.260348,-3.037829,6.275193
0.020000,8.435575,18.225003,3.870050,6.762455,5.198365,-3.099121,6.280696
0.020000,8.572879,18.225072,4.007353,6.865160,5.135245,-3.156006,0.003558
0.020000,8.712207,18.226023,4.146684,6.966584,5.071220,-3.201283,0.010174
0.020000,8.853528,18.227964,4.288019,7.066713,5.006445,-3.238739,0.017384
0.020000,8.996806,18.231010,4.431330,7.165539,4.941287,-3.257902,0.025213
0.020000,9.142005,18.235281,4.576591,7.263061,4.876106,-3.259036,0.033688
0.020000,9.289083,18.240904,4.723776,7.359287,4.811322,-3.239192,0.042833
0.020000,9.437998,18.248013,4.872861,7.454238,4.747541,-3.189058,0.052674
0.020000,9.588704,18.256749,5.023820,7.547946,4.685407,-3.106720,0.063235
0.020000,9.741152,18.267260,5.176629,7.640460,4.625712,-2.984714,0.074539
0.020000,9.895287,18.279698,5.331266,7.731848,4.569363,-2.817449,0.086608
0.020000,10.051056,18.294223,5.487710,7.822197,4.517481,-2.594113,0.099463
0.020000,10.208396,18.311002,5.645943,7.911620,4.471129,-2.317625,0.113122
0.020000,10.367244,18.330205,5.805948,8.000255,4.431758,-1.968524,0.127600
0.020000,10.527534,18.352009,5.967713,8.088272,4.400832,-1.546300,0.142910
0.020000,10.689192,18.376595,6.131231,8.175868,4.379807,-1.051261,0.159059
0.020000,10.852145,18.404148,6.296496,8.263280,4.370612,-0.459745,0.176052
0.020000,11.016313,18.434856,6.463511,8.350764,4.374207,0.179760,0.193886
0.020000,11.181614,18.468909,6.632284,8.438638,4.393683,0.973770,0.212555
0.020000,11.347964,18.506501,6.802828,8.527216,4.428891,1.760408,0.232044
0.020000,11.515274,18.547825,6.975166,8.616865,4.482468,2.678865,0.252332
0.020000,11.683453,18.593072,7.149325,8.707982,4.555848,3.668976,0.273391
0.020000,11.852409,18.642434,7.325344,8.800937,4.647751,4.595184,0.295185
0.020000,12.022046,18.696099,7.503268,8.896175,4.761881,5.706470,0.317668
0.020000,12.141396,18.739040,7.630107,6.341989,-127.709300,-6623.559057,0.386040
0.020000,12.255380,18.790811,7.755298,6.259536,-4.122630,6179.333500,0.465308
0.020000,12.371639,18.854838,7.888022,6.636185,18.832457,1147.754365,0.539750
0.020000,12.490766,18.931992,8.029951,7.096473,23.014400,209.097133,0.607728
0.020000,12.612931,19.022753,8.182142,7.609529,25.652794,131.919714,0.668207
0.020000,12.738040,19.127155,8.345090,8.147394,26.893233,62.021942,0.720703
0.020000,12.865929,19.244827,8.518877,8.689362,27.098392,10.257977,0.765133
