dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.568242,17.312204,0.000652,0.065214,3.260716,163.035795,0.000301
0.020000,4.568242,17.312204,0.003261,0.195643,6.521432,163.035795,0.000192
0.020000,4.568890,17.312204,0.008478,0.326072,6.521432,-0.000000,6.283158
0.020000,4.576715,17.312203,0.016304,0.456500,6.521432,0.000000,6.282831
0.020000,4.587150,17.312197,0.026738,0.586929,6.521432,-0.000000,6.282397
0.020000,4.600192,17.312183,0.039781,0.717357,6.521432,0.000000,6.281858
0.020000,4.615844,17.312157,0.055432,0.847786,6.521432,-0.000000,6.281215
0.020000,4.634104,17.312115,0.073692,0.978215,6.521432,0.000000,6.280473
0.020000,4.654972,17.312049,0.094561,1.108643,6.521432,0.000000,6.279633
0.020000,4.678449,17.311955,0.118038,1.239072,6.521432,0.000000,6.278699
0.020000,4.704535,17.311824,0.144124,1.369501,6.521432,-0.000000,6.277676
0.020000,4.733228,17.311650,0.172818,1.499929,6.521432,0.000000,6.276567
0.020000,4.764531,17.311425,0.204121,1.630358,6.521432,0.000000,6.275378
0.020000,4.798441,17.311138,0.238032,1.760787,6.521432,-0.000000,6.274113
0.020000,4.834959,17.310782,0.274552,1.891215,6.521432,0.000000,6.272779
0.020000,4.874085,17.310348,0.313681,2.021644,6.521432,0.000000,6.271382
0.020000,4.915819,17.309825,0.355418,2.152072,6.521432,-0.000000,6.269928
0.020000,4.960160,17.309203,0.399764,2.282501,6.521432,0.000000,6.268424
0.020000,5.007109,17.308474,0.446718,2.412930,6.521432,-0.000000,6.266878
0.020000,5.056665,17.307626,0.496281,2.543358,6.521432,0.000000,6.265297
0.020000,5.108827,17.306651,0.548452,2.673787,6.521432,0.000000,6.263691
0.020000,5.163596,17.305538,0.603232,2.804216,6.521432,-0.000000,6.262067
0.020000,5.220971,17.304279,0.660621,2.934644,6.521432,0.000000,6.260434
0.020000,5.280951,17.302865,0.720618,3.065073,6.521432,-0.000000,6.258803
0.020000,5.343537,17.301288,0.783224,3.195502,6.521432,-0.000000,6.257183
0.020000,5.408728,17.299539,0.848438,3.325930,6.521432,0.000000,6.255585
0.020000,5.476523,17.297614,0.916261,3.456359,6.521432,0.000000,6.254020
