dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.568550,16.292205,0.000652,0.065214,3.260716,163.035795,0.000301
0.020000,4.568438,16.292204,0.000764,0.005591,-2.981149,-312.093246,0.000192
0.020000,4.568862,16.292204,0.001188,0.021209,0.780888,188.101832,6.283158
0.020000,4.576354,16.292203,0.008680,0.374602,17.669641,844.437671,6.282831
0.020000,4.586345,16.292197,0.018672,0.499574,6.248600,-571.052035,6.282397
0.020000,4.598838,16.292184,0.031164,0.624638,6.253196,0.229778,6.281858
0.020000,4.613834,16.292159,0.046161,0.749813,6.258747,0.277576,6.281215
0.020000,4.631337,16.292118,0.063663,0.875123,6.265508,0.338048,6.280473
0.020000,4.651349,16.292056,0.083675,1.000593,6.273481,0.398653,6.279633
0.020000,4.673873,16.291965,0.106200,1.126241,6.282402,0.446020,6.278699
0.020000,4.698915,16.291840,0.131242,1.252091,6.292529,0.506352,6.277676
0.020000,4.726478,16.291673,0.158805,1.378169,6.303866,0.566875,6.276567
0.020000,4.756567,16.291456,0.188895,1.504491,6.316137,0.613548,6.275378
0.020000,4.789187,16.291180,0.221516,1.631083,6.329610,0.673653,6.274113
0.020000,4.824345,16.290838,0.256676,1.757969,6.344290,0.734004,6.272779
0.020000,4.862046,16.290419,0.294379,1.885167,6.359884,0.779687,6.271382
0.020000,4.902297,16.289914,0.334633,2.012700,6.376673,0.839464,6.269928
0.020000,4.945104,16.289314,0.377445,2.140594,6.394664,0.899544,6.268424
0.020000,4.990476,16.288609,0.422822,2.268865,6.413543,0.943945,6.266878
0.020000,5.038420,16.287789,0.470773,2.397537,6.433610,1.003318,6.265297
0.020000,5.088944,16.286845,0.521306,2.526634,6.454870,1.063007,6.263691
0.020000,5.142056,16.285766,0.574429,2.656174,6.476986,1.105827,6.262067
0.020000,5.197766,16.284543,0.630153,2.786180,6.500298,1.165590,6.260434
0.020000,5.256084,16.283168,0.688486,2.916675,6.524754,1.222794,6.258803
0.020000,5.317018,16.281632,0.749440,3.047677,6.550098,1.267213,6.257183
0.020000,5.380579,16.279928,0.813024,3.179209,6.576602,1.325185,6.255585
0.020000,5.446778,16.278048,0.879250,3.311293,6.604195,1.379649,6.254020
0.020000,5.515627,16.275986,0.948129,3.443948,6.632747,1.427589,6.252497
0.020000,5.587135,16.273738,1.019673,3.577196,6.662412,1.483260,6.251031
0.020000,5.661316,16.271299,1.093894,3.711058,6.693118,1.535316,6.249631
0.020000,5.738182,16.268667,1.170805,3.845556,6.724871,1.587629,6.248312
0.020000,5.817746,16.265842,1.250419,3.980710,6.757697,1.641293,6.247085
0.020000,5.900022,16.262823,1.332750,4.116541,6.791540,1.692147,6.245963
0.020000,5.985023,16.259614,1.417812,4.253071,6.826520,1.749037,6.244962
0.020000,6.072763,16.256219,1.505618,4.390322,6.862551,1.801523,6.244094
0.020000,6.163259,16.252646,1.596184,4.528315,6.899635,1.854236,6.243375
0.020000,6.256526,16.248904,1.689526,4.667073,6.937908,1.913641,6.242819
0.020000,6.352579,16.245004,1.785658,4.806618,6.977262,1.967671,6.242442
0.020000,6.451436,16.240964,1.884598,4.946973,7.017770,2.025409,6.242259
0.020000,6.553114,16.236800,1.986361,5.088163,7.059469,2.084962,6.242287
0.020000,6.657631,16.232534,2.090965,5.230210,7.102362,2.144634,6.242544
0.020000,6.765006,16.228193,2.198428,5.373140,7.146493,2.206560,6.243045
0.020000,6.875258,16.223805,2.308767,5.516978,7.191886,2.269639,6.243809
0.020000,6.988408,16.219404,2.422002,5.661749,7.238585,2.334970,6.244854
0.020000,7.104475,16.215028,2.538152,5.807481,7.286592,2.400326,6.246200
0.020000,7.223481,16.210721,2.657236,5.954201,7.335998,2.470309,6.247865
0.020000,7.345448,16.206530,2.779275,6.101937,7.386797,2.539930,6.249869
0.020000,7.470398,16.202511,2.904289,6.250716,7.438935,2.606916,6.252233
0.020000,7.598353,16.198721,3.032300,6.400569,7.492650,2.685758,6.254978
0.020000,7.729337,16.195228,3.163331,6.551524,7.547752,2.755125,6.258126
0.020000,7.863372,16.192104,3.297403,6.703608,7.604222,2.823465,6.261698
0.020000,8.000483,16.189429,3.434540,6.856854,7.662278,2.902826,6.265718
0.020000,8.140693,16.187290,3.574766,7.011287,7.721642,2.968178,6.270208
0.020000,8.284024,16.185782,3.718105,7.166934,7.782352,3.035484,6.275193
0.020000,8.430498,16.185010,3.864581,7.323820,7.844329,3.098855,6.280696
0.020000,8.580137,16.185084,4.014220,7.481968,7.907395,3.153306,0.003558
0.020000,8.732962,16.186128,4.167048,7.641397,7.971431,3.201812,0.010174
0.020000,8.888989,16.188272,4.323091,7.802119,8.036121,3.234484,0.017384
0.020000,9.048236,16.191658,4.482374,7.964144,8.101240,3.255972,0.025213
0.020000,9.210715,16.196438,4.644923,8.127472,8.166403,3.258125,0.033688
0.020000,9.376436,16.202775,4.810765,8.292094,8.231103,3.235016,0.042833
0.020000,9.545403,16.210843,4.979925,8.457991,8.294836,3.186644,0.052674
0.020000,9.717617,16.220827,5.152427,8.625129,8.356906,3.103534,0.063235
