dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.948695,4.044248,0.000654,0.065414,3.270703,163.535136,3.140730
0.020000,18.948821,4.044248,0.000780,0.006302,-2.955595,-311.314881,3.140854
0.020000,18.949073,4.044248,0.001032,0.012600,0.314883,163.523877,3.141101
0.020000,18.949451,4.044248,0.001410,0.018888,0.314432,-0.022531,3.141471
0.020000,18.942064,4.044246,0.008797,0.369367,17.523911,860.473968,3.141965
0.020000,18.929609,4.044238,0.021251,0.622708,12.667049,-242.843131,3.142581
0.020000,18.914663,4.044218,0.036198,0.747304,6.229794,-321.862747,3.143319
0.020000,18.897225,4.044180,0.053636,0.871922,6.230913,0.055949,3.144180
0.020000,18.877294,4.044119,0.073567,0.996560,6.231891,0.048920,3.145161
0.020000,18.854869,4.044026,0.095992,1.121252,6.234634,0.137138,3.146263
0.020000,18.829950,4.043895,0.120911,1.245960,6.235389,0.037745,3.147485
0.020000,18.802537,4.043715,0.148326,1.370711,6.237555,0.108322,3.148826
0.020000,18.772627,4.043476,0.178236,1.495524,6.240625,0.153490,3.150285
0.020000,18.740221,4.043169,0.210644,1.620387,6.243144,0.125957,3.151862
0.020000,18.705317,4.042781,0.245550,1.745298,6.245551,0.120333,3.153554
0.020000,18.667915,4.042300,0.282955,1.870273,6.248790,0.161977,3.155360
0.020000,18.628013,4.041712,0.322861,1.995313,6.251962,0.158586,3.157281
0.020000,18.585610,4.041004,0.365270,2.120436,6.256189,0.211322,3.159313
0.020000,18.540705,4.040160,0.410183,2.245629,6.259652,0.173147,3.161456
0.020000,18.493298,4.039165,0.457601,2.370903,6.263694,0.202128,3.163707
0.020000,18.443386,4.038002,0.507526,2.496260,6.267817,0.206138,3.166066
0.020000,18.390969,4.036654,0.559960,2.621719,6.272957,0.257006,3.168530
0.020000,18.336045,4.035104,0.614906,2.747280,6.278064,0.255351,3.171097
0.020000,18.278614,4.033332,0.672365,2.872944,6.283179,0.255759,3.173766
0.020000,18.218673,4.031319,0.732339,2.998711,6.288344,0.258246,3.176534
0.020000,18.156223,4.029047,0.794831,3.124589,6.293919,0.278768,3.179399
0.020000,18.091261,4.026493,0.859843,3.250612,6.301169,0.362481,3.182358
0.020000,18.023786,4.023638,0.927378,3.376746,6.306708,0.276928,3.185409
0.020000,17.953798,4.020459,0.997438,3.503018,6.313599,0.344585,3.188550
