dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.949575,5.064248,0.000654,0.065414,3.270703,163.535136,3.140730
0.020000,18.949575,5.064248,0.003271,0.196242,6.541405,163.535136,3.140854
0.020000,18.949575,5.064248,0.008504,0.327070,6.541405,0.000000,3.141101
0.020000,18.949575,5.064248,0.016354,0.457898,6.541405,-0.000000,3.141471
0.020000,18.941684,5.064246,0.026820,0.588726,6.541405,0.000000,3.141965
0.020000,18.928602,5.064237,0.039903,0.719555,6.541405,0.000000,3.142581
0.020000,18.912902,5.064216,0.055602,0.850383,6.541405,0.000000,3.143319
0.020000,18.894586,5.064176,0.073918,0.981211,6.541405,-0.000000,3.144180
0.020000,18.873654,5.064112,0.094850,1.112039,6.541405,0.000000,3.145161
0.020000,18.850105,5.064015,0.118399,1.242867,6.541405,-0.000000,3.146263
0.020000,18.823940,5.063877,0.144565,1.373695,6.541405,0.000000,3.147485
0.020000,18.795158,5.063688,0.173347,1.504523,6.541405,0.000000,3.148826
0.020000,18.763760,5.063438,0.204746,1.635351,6.541405,-0.000000,3.150285
0.020000,18.729747,5.063115,0.238761,1.766179,6.541405,0.000000,3.151862
0.020000,18.693117,5.062708,0.275393,1.897008,6.541405,-0.000000,3.153554
0.020000,18.653872,5.062203,0.314642,2.027836,6.541405,0.000000,3.155360
0.020000,18.612012,5.061587,0.356507,2.158664,6.541405,-0.000000,3.157281
0.020000,18.567536,5.060844,0.400988,2.289492,6.541405,0.000000,3.159313
0.020000,18.520446,5.059959,0.448086,2.420320,6.541405,-0.000000,3.161456
0.020000,18.470743,5.058915,0.497801,2.551148,6.541405,0.000000,3.163707
0.020000,18.418426,5.057696,0.550132,2.681976,6.541405,0.000000,3.166066
0.020000,18.363496,5.056284,0.605080,2.812804,6.541405,0.000000,3.168530
0.020000,18.305955,5.054660,0.662644,2.943632,6.541405,0.000000,3.171097
0.020000,18.245802,5.052804,0.722825,3.074461,6.541405,0.000000,3.173766
0.020000,18.183040,5.050697,0.785623,3.205289,6.541405,0.000000,3.176534
0.020000,18.117670,5.048318,0.851037,3.336117,6.541405,-0.000000,3.179399
0.020000,18.049691,5.045646,0.919067,3.466945,6.541405,0.000000,3.182358
0.020000,17.979107,5.042659,0.989715,3.597773,6.541405,0.000000,3.185409
0.020000,17.905919,5.039335,1.062978,3.728601,6.541405,-0.000000,3.188550
0.020000,17.830128,5.035650,1.138859,3.859429,6.541405,-0.000000,3.191777
0.020000,17.751737,5.031583,1.217356,3.990257,6.541405,0.000000,3.195088
0.020000,17.670747,5.027108,1.298469,4.121085,6.541405,0.000000,3.198479
0.020000,17.587161,5.022202,1.382199,4.251914,6.541405,-0.000000,3.201947
0.020000,17.500981,5.016841,1.468546,4.382742,6.541405,0.000000,3.205490
0.020000,17.412210,5.011000,1.557509,4.513570,6.541405,-0.000000,3.209104
0.020000,17.320851,5.004654,1.649088,4.644398,6.541405,0.000000,3.212784
0.020000,17.226906,4.997777,1.743285,4.775226,6.541405,-0.000000,3.216528
0.020000,17.130379,4.990345,1.840097,4.906054,6.541405,0.000000,3.220332
0.020000,17.031273,4.982333,1.939527,5.036882,6.541405,0.000000,3.224191
0.020000,16.929592,4.973714,2.041573,5.167710,6.541405,0.000000,3.228102
0.020000,16.825339,4.964464,2.146235,5.298538,6.541405,0.000000,3.232061
0.020000,16.718518,4.954558,2.253514,5.429367,6.541405,0.000000,3.236062
0.020000,16.609134,4.943970,2.363410,5.560195,6.541405,0.000000,3.240102
0.020000,16.497190,4.932676,2.475922,5.691023,6.541405,0.000000,3.244176
0.020000,16.382691,4.920651,2.591051,5.821851,6.541405,-0.000000,3.248279
0.020000,16.265642,4.907870,2.708796,5.952679,6.541405,0.000000,3.252406
0.020000,16.146046,4.894311,2.829158,6.083507,6.541405,0.000000,3.256553
0.020000,16.023909,4.879950,2.952136,6.214335,6.541405,-0.000000,3.260713
0.020000,15.899236,4.864764,3.077731,6.345163,6.541405,0.000000,3.264883
0.020000,15.772031,4.848730,3.205943,6.475991,6.541405,0.000000,3.269057
0.020000,15.642299,4.831828,3.336771,6.606819,6.541405,-0.000000,3.273228
0.020000,15.510046,4.814036,3.470216,6.737648,6.541405,0.000000,3.277392
0.020000,15.375276,4.795335,3.606277,6.868476,6.541405,-0.000000,3.281543
