dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,13.378108,12.540946,0.000655,0.065515,3.275751,163.787555,4.701715
0.020000,13.378109,12.541050,0.000759,0.005209,-3.015301,-314.552580,4.701613
0.020000,13.378111,12.541259,0.000968,0.010423,0.260719,163.800993,4.701409
0.020000,13.378114,12.541571,0.001281,0.015649,0.261257,0.026898,4.701102
0.020000,13.378021,12.533458,0.009395,0.405688,19.501993,962.036767,4.700692
0.020000,13.377870,12.520880,0.021974,0.628956,11.163390,-416.930135,4.700179
0.020000,13.377682,12.505788,0.037067,0.754675,6.285957,-243.871626,4.699562
0.020000,13.377449,12.488182,0.054675,0.880387,6.285576,-0.019065,4.698840
0.020000,13.377168,12.468062,0.074796,1.006049,6.283131,-0.122256,4.698012
0.020000,13.376832,12.445433,0.097428,1.131622,6.278603,-0.226404,4.697077
0.020000,13.376434,12.420294,0.122570,1.257061,6.271972,-0.331554,4.696034
0.020000,13.375966,12.392646,0.150221,1.382598,6.276836,0.243194,4.694882
0.020000,13.375419,12.362494,0.180379,1.507893,6.264747,-0.604415,4.693618
0.020000,13.374784,12.329836,0.213043,1.633167,6.263722,-0.051265,4.692242
0.020000,13.374049,12.294677,0.248210,1.758378,6.260534,-0.159407,4.690751
0.020000,13.373204,12.257016,0.285880,1.883481,6.255144,-0.269503,4.689143
0.020000,13.372236,12.216859,0.326048,2.008431,6.247512,-0.381603,4.687416
0.020000,13.371131,12.174210,0.368713,2.133209,6.238917,-0.429762,4.685568
0.020000,13.369875,12.129067,0.413873,2.258027,6.240890,0.098653,4.683596
0.020000,13.368454,12.081437,0.461524,2.382555,6.226400,-0.724509,4.681498
0.020000,13.366849,12.031323,0.511664,2.506965,6.220496,-0.295161,4.679270
0.020000,13.365045,11.978729,0.564288,2.631235,6.213511,-0.349269,4.676909
0.020000,13.363021,11.923660,0.619395,2.755316,6.204060,-0.472549,4.674412
0.020000,13.360759,11.866121,0.676978,2.879158,6.192079,-0.599057,4.671775
0.020000,13.358237,11.806115,0.737037,3.002980,6.191098,-0.049037,4.668995
0.020000,13.355434,11.743650,0.799565,3.126380,6.170012,-1.054296,4.666067
0.020000,13.352324,11.678732,0.864558,3.249640,6.162976,-0.351813,4.662986
