dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.855183,3.268196,0.000654,0.065418,3.270922,163.546100,6.282249
0.020000,3.854892,3.268196,0.000945,0.014553,-2.543257,-290.708939,6.282534
0.020000,3.854310,3.268196,0.001527,0.029092,0.726910,163.508333,6.283105
0.020000,3.860548,3.268198,0.007765,0.311872,14.139047,670.606868,0.000774
0.020000,3.869853,3.268211,0.017070,0.465263,7.669551,-323.474802,0.001913
0.020000,3.881487,3.268241,0.028703,0.581684,5.821010,-92.427049,0.003335
0.020000,3.895449,3.268300,0.042666,0.698142,5.822893,0.094152,0.005038
0.020000,3.911743,3.268398,0.058960,0.814700,5.827943,0.252476,0.007022
0.020000,3.930370,3.268550,0.077587,0.931352,5.832563,0.230987,0.009283
0.020000,3.951330,3.268771,0.098549,1.048089,5.836851,0.214400,0.011821
0.020000,3.974627,3.269079,0.121848,1.164965,5.843829,0.348943,0.014633
0.020000,4.000263,3.269494,0.147488,1.281970,5.850219,0.319498,0.017716
0.020000,4.028241,3.270037,0.175471,1.399139,5.858479,0.412987,0.021067
0.020000,4.058563,3.270731,0.205800,1.516481,5.867071,0.429603,0.024683
0.020000,4.091232,3.271601,0.238481,1.634024,5.877147,0.503807,0.028559
0.020000,4.126251,3.272673,0.273516,1.751781,5.887876,0.536433,0.032692
0.020000,4.163624,3.273978,0.310912,1.869779,5.899911,0.601736,0.037077
0.020000,4.203353,3.275544,0.350673,1.988038,5.912913,0.650130,0.041708
0.020000,4.245444,3.277403,0.392804,2.106582,5.927217,0.715202,0.046580
0.020000,4.289899,3.279589,0.437313,2.225442,5.942986,0.788421,0.051687
0.020000,4.336723,3.282137,0.484206,2.344646,5.960243,0.862876,0.057022
0.020000,4.385919,3.285083,0.533490,2.464218,5.978565,0.916108,0.062578
0.020000,4.437492,3.288464,0.585174,2.584190,5.998607,1.002098,0.068347
0.020000,4.491446,3.292319,0.639266,2.704589,6.019931,1.066159,0.074320
0.020000,4.547786,3.296689,0.695775,2.825450,6.043085,1.157720,0.080490
0.020000,4.606516,3.301615,0.754711,2.946800,6.067503,1.220897,0.086845
0.020000,4.667641,3.307138,0.816085,3.068687,6.094317,1.340685,0.093376
0.020000,4.731165,3.313302,0.879907,3.191122,6.121777,1.373047,0.100071
0.020000,4.797093,3.320151,0.946190,3.314162,6.151974,1.509827,0.106919
0.020000,4.865431,3.327728,1.014947,3.437827,6.183272,1.564915,0.113908
0.020000,4.936183,3.336078,1.086190,3.562153,6.216290,1.650862,0.121025
0.020000,5.009354,3.345246,1.159934,3.687181,6.251404,1.755713,0.128255
0.020000,5.084951,3.355278,1.236192,3.812943,6.288087,1.834166,0.135585
0.020000,5.162977,3.366219,1.314982,3.939465,6.326091,1.900173,0.143000
0.020000,5.243438,3.378112,1.396318,4.066796,6.366578,2.024363,0.150483
0.020000,5.326341,3.391004,1.480217,4.194952,6.407783,2.060248,0.158019
0.020000,5.411691,3.404937,1.566696,4.323977,6.451280,2.174857,0.165590
0.020000,5.499493,3.419955,1.655774,4.453890,6.495628,2.217391,0.173180
0.020000,5.589755,3.436100,1.747469,4.584729,6.541976,2.317391,0.180769
0.020000,5.682484,3.453412,1.841799,4.716518,6.589428,2.372645,0.188340
0.020000,5.777685,3.471931,1.938785,4.849280,6.638117,2.434432,0.195873
0.020000,5.875366,3.491695,2.038446,4.983044,6.688198,2.504058,0.203348
0.020000,5.975536,3.512739,2.140802,5.117830,6.739309,2.555538,0.210747
0.020000,6.078203,3.535097,2.245875,5.253658,6.791401,2.604586,0.218047
0.020000,6.183376,3.558799,2.353686,5.390549,6.844520,2.655976,0.225229
0.020000,6.291066,3.583875,2.464257,5.528519,6.898504,2.699174,0.232270
0.020000,6.401282,3.610350,2.577608,5.667585,6.953304,2.740018,0.239151
0.020000,6.514038,3.638245,2.693764,5.807761,7.008800,2.774812,0.245848
0.020000,6.629346,3.667581,2.812745,5.949062,7.065047,2.812348,0.252340
0.020000,6.747221,3.698371,2.934575,6.091500,7.121903,2.842795,0.258605
0.020000,6.867679,3.730628,3.059277,6.235087,7.179354,2.872548,0.264619
0.020000,6.990737,3.764358,3.186873,6.379836,7.237446,2.904588,0.270361
0.020000,7.116414,3.799562,3.317388,6.525757,7.296040,2.929699,0.275807
0.020000,7.244732,3.836240,3.450846,6.672863,7.355322,2.964123,0.280935
0.020000,7.375715,3.874382,3.587269,6.821169,7.415265,2.997137,0.285719
0.020000,7.509388,3.913976,3.726683,6.970684,7.475793,3.026398,0.290138
0.020000,7.645780,3.955003,3.869111,7.121427,7.537106,3.065634,0.294166
0.020000,7.784921,3.997438,4.014580,7.273413,7.599333,3.111363,0.297779
0.020000,7.926846,4.041249,4.163113,7.426660,7.662335,3.150085,0.300953
0.020000,8.071592,4.086397,4.314737,7.581190,7.726527,3.209597,0.303663
0.020000,8.219200,4.132838,4.469477,7.737026,7.791788,3.263081,0.305882
0.020000,8.369712,4.180517,4.627361,7.894194,7.858380,3.329583,0.307585
0.020000,8.523177,4.229374,4.788415,8.052722,7.926409,3.401436,0.308745
0.020000,8.679646,4.279338,4.952668,8.212643,7.996029,3.480993,0.309335
0.020000,8.839174,4.330331,5.120148,8.373990,8.067362,3.566691,0.309326
0.020000,9.001821,4.382263,5.290884,8.536801,8.140571,3.660450,0.308691
0.020000,9.167649,4.435035,5.464906,8.701116,8.215756,3.759235,0.307399
0.020000,9.336725,4.488536,5.642246,8.866976,8.293004,3.862393,0.305421
0.020000,9.509122,4.542646,5.822934,9.034426,8.372464,3.973018,0.302724
0.020000,9.684913,4.597229,6.007005,9.203506,8.453987,4.076136,0.299278
0.020000,9.864177,4.652137,6.194490,9.374259,8.537668,4.184050,0.295049
0.020000,10.046997,4.707208,6.385424,9.546727,8.623424,4.287815,0.290003
0.020000,10.233457,4.762266,6.579843,9.720944,8.710811,4.369323,0.284107
0.020000,10.423645,4.817116,6.777782,9.896939,8.799753,4.447091,0.277326
0.020000,10.617648,4.871548,6.979277,10.074730,8.889547,4.489718,0.269623
0.020000,10.815556,4.925334,7.184363,10.254326,8.979821,4.513694,0.260964
0.020000,11.017457,4.978225,7.393077,10.435712,9.069279,4.472931,0.251314
0.020000,11.223438,5.029955,7.605454,10.618856,9.157217,4.396857,0.240639
0.020000,11.433581,5.080233,7.821528,10.803697,9.242043,4.241313,0.228904
0.020000,11.647962,5.128751,8.041331,10.990140,9.322146,4.005135,0.216078
0.020000,11.866650,5.175175,8.264892,11.178050,9.395531,3.669291,0.202133
0.020000,12.089701,5.219152,8.492237,11.367245,9.459715,3.209187,0.187044
0.020000,12.317158,5.260305,8.723387,11.557492,9.512348,2.631653,0.170789
0.020000,12.542770,5.297184,8.951993,11.430315,-6.358804,-793.557609,0.151737
0.020000,12.784830,5.331179,9.196429,12.221794,39.573919,2296.636131,0.127585
0.020000,13.027922,5.359549,9.441171,12.237093,0.764959,-1940.447987,0.105057
0.020000,13.269958,5.382509,9.684293,12.156123,-4.048511,-240.673469,0.084393
0.020000,13.508938,5.400449,9.923946,11.982634,-8.674431,-231.296004,0.065759
0.020000,13.743758,5.413927,10.159152,11.760286,-11.117396,-122.148276,0.049195
0.020000,13.974077,5.423557,10.389672,11.526016,-11.713512,-29.805798,0.034660
0.020000,14.199895,5.429934,10.615581,11.295434,-11.529112,9.219999,0.022082
0.020000,14.421238,5.433608,10.836954,11.068680,-11.337670,9.572088,0.011385
