dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.854228,2.248196,0.000654,0.065418,3.270922,163.546100,6.282249
0.020000,3.854228,2.248196,0.003271,0.196255,6.541844,163.546100,6.282534
0.020000,3.854228,2.248196,0.008504,0.327092,6.541844,0.000000,6.283105
0.020000,3.861338,2.248199,0.016355,0.457929,6.541844,0.000000,0.000774
0.020000,3.871804,2.248213,0.026822,0.588766,6.541844,0.000000,0.001913
0.020000,3.884888,2.248247,0.039905,0.719603,6.541844,0.000000,0.003335
0.020000,3.900588,2.248313,0.055606,0.850440,6.541844,0.000000,0.005038
0.020000,3.918905,2.248423,0.073923,0.981277,6.541844,0.000000,0.007022
0.020000,3.939838,2.248594,0.094857,1.112113,6.541844,-0.000000,0.009283
0.020000,3.963388,2.248843,0.118407,1.242950,6.541844,0.000000,0.011821
0.020000,3.989553,2.249189,0.144575,1.373787,6.541844,0.000000,0.014633
0.020000,4.018333,2.249654,0.173359,1.504624,6.541844,-0.000000,0.017716
0.020000,4.049728,2.250263,0.204760,1.635461,6.541844,0.000000,0.021067
0.020000,4.083737,2.251041,0.238777,1.766298,6.541844,-0.000000,0.024683
0.020000,4.120358,2.252016,0.275412,1.897135,6.541844,0.000000,0.028559
0.020000,4.159591,2.253218,0.314663,2.027972,6.541844,-0.000000,0.032692
0.020000,4.201433,2.254679,0.356530,2.158809,6.541844,0.000000,0.037077
0.020000,4.245883,2.256431,0.401015,2.289645,6.541844,-0.000000,0.041708
0.020000,4.292938,2.258509,0.448116,2.420482,6.541844,0.000000,0.046580
0.020000,4.342596,2.260951,0.497834,2.551319,6.541844,0.000000,0.051687
0.020000,4.394854,2.263795,0.550169,2.682156,6.541844,0.000000,0.057022
0.020000,4.449707,2.267079,0.605121,2.812993,6.541844,0.000000,0.062578
0.020000,4.507152,2.270845,0.662689,2.943830,6.541844,0.000000,0.068347
0.020000,4.567183,2.275135,0.722874,3.074667,6.541844,-0.000000,0.074320
0.020000,4.629797,2.279992,0.785675,3.205504,6.541844,-0.000000,0.080490
0.020000,4.694986,2.285459,0.851094,3.336340,6.541844,0.000000,0.086845
0.020000,4.762745,2.291582,0.919129,3.467177,6.541844,-0.000000,0.093376
0.020000,4.833067,2.298405,0.989781,3.598014,6.541844,0.000000,0.100071
