dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.786144,6.018758,0.000653,0.065317,3.265868,163.293401,3.141305
0.020000,18.786011,6.018758,0.000786,0.006662,-2.932752,-309.931015,3.141436
0.020000,18.783677,6.018758,0.003121,0.116716,5.502669,421.771067,3.141695
0.020000,18.775447,6.018756,0.011350,0.411462,14.737331,461.733116,3.142079
0.020000,18.764485,6.018747,0.022312,0.548123,6.833018,-395.215657,3.142580
0.020000,18.750798,6.018730,0.035999,0.684343,6.810999,-1.100981,3.143191
0.020000,18.734397,6.018698,0.052400,0.820039,6.784830,-1.308446,3.143902
0.020000,18.715295,6.018646,0.071502,0.955115,6.753766,-1.553194,3.144699
0.020000,18.693506,6.018569,0.093292,1.089468,6.717662,-1.805205,3.145569
0.020000,18.669046,6.018460,0.117752,1.223000,6.676590,-2.053569,3.146497
0.020000,18.641934,6.018314,0.144864,1.355632,6.631620,-2.248516,3.147463
0.020000,18.612189,6.018124,0.174610,1.487278,6.582311,-2.465435,3.148449
0.020000,18.579833,6.017886,0.206967,1.617838,6.527987,-2.716204,3.149434
0.020000,18.544889,6.017595,0.241912,1.747258,6.471007,-2.849020,3.150395
0.020000,18.507382,6.017247,0.279420,1.875424,6.408275,-3.136596,3.151307
0.020000,18.467338,6.016841,0.319466,2.002289,6.343262,-3.250647,3.152146
0.020000,18.424786,6.016376,0.362021,2.127752,6.273162,-3.504989,3.152883
0.020000,18.379755,6.015853,0.407056,2.251724,6.198606,-3.727792,3.153489
0.020000,18.332275,6.015277,0.454538,2.374127,6.120138,-3.923429,3.153935
0.020000,18.282382,6.014654,0.504435,2.494858,6.036554,-4.179194,3.154186
0.020000,18.230110,6.013994,0.556712,2.613811,5.947657,-4.444837,3.154207
0.020000,18.175497,6.013310,0.611329,2.730865,5.852701,-4.747819,3.153963
0.020000,18.118584,6.012621,0.668246,2.845882,5.750845,-5.092803,3.153412
0.020000,18.059413,6.011946,0.727421,2.958711,5.641458,-5.469319,3.152513
0.020000,17.998033,6.011314,0.788804,3.069153,5.522068,-5.969527,3.151217
0.020000,17.934496,6.010755,0.852344,3.177013,5.392993,-6.453717,3.149475
0.020000,17.868857,6.010309,0.917985,3.282026,5.250661,-7.116619,3.147230
0.020000,17.801180,6.010020,0.985662,3.383873,5.092375,-7.914281,3.144421
0.020000,17.731536,6.009939,1.055306,3.482202,4.916440,-8.796755,3.140978
0.020000,17.660004,6.010128,1.126838,3.576595,4.719654,-9.839297,3.136825
0.020000,17.586677,6.010655,1.200167,3.666474,4.493959,-11.284774,3.131873
0.020000,17.511657,6.011598,1.275193,3.751269,4.239734,-12.711259,3.126022
0.020000,17.435069,6.013048,1.351795,3.830113,3.942189,-14.877223,3.119155
0.020000,17.357053,6.015104,1.429838,3.902125,3.600613,-17.078796,3.111139
0.020000,17.277780,6.017881,1.509159,3.966070,3.197232,-20.169090,3.101816
0.020000,17.197452,6.021503,1.589569,4.020502,2.721624,-23.780362,3.090998
0.020000,17.116310,6.026110,1.670842,4.063641,2.156961,-28.233186,3.078465
0.020000,17.034649,6.031854,1.752704,4.093123,1.474099,-34.143060,3.063949
0.020000,16.952829,6.038895,1.834827,4.106151,0.651370,-41.136479,3.047127
0.020000,16.871290,6.047404,1.916808,4.099049,-0.355086,-50.322791,3.027605
0.020000,16.790580,6.057548,1.998154,4.067280,-1.588438,-61.667600,3.004898
0.020000,16.711375,6.069482,2.078253,4.004953,-3.116389,-76.397547,2.978409
0.020000,16.634517,6.083325,2.156347,3.904717,-5.011773,-94.769209,2.947393
0.020000,16.561048,6.099122,2.231496,3.757421,-7.364782,-117.650423,2.910930
0.020000,16.492240,6.116790,2.302535,3.551980,-10.272062,-145.364046,2.867877
0.020000,16.429615,6.136032,2.368050,3.275744,-13.811815,-176.987645,2.816849
0.020000,16.374899,6.156221,2.426372,2.916089,-17.982721,-208.545287,2.756208
0.020000,16.329877,6.176282,2.475661,2.464468,-22.581084,-229.918127,2.684152
0.020000,16.296030,6.194630,2.514162,1.925014,-26.972699,-219.580775,2.598959
0.020000,16.273909,6.209357,2.540736,1.328720,-29.814672,-142.098648,2.499511
0.020000,16.262346,6.218919,2.555740,0.750222,-28.924899,44.488661,2.386156
0.020000,16.258031,6.223418,2.561974,0.311688,-21.926712,349.909324,2.261637
0.020000,16.256273,6.225855,2.564979,0.150257,-8.071580,692.756643,2.131390
0.020000,16.253032,6.232019,2.571944,0.348215,9.897917,898.474836,2.002465
0.020000,16.246797,6.248454,2.589521,0.878888,26.533666,831.787458,1.881389
0.020000,16.238737,6.279958,2.622040,1.625913,37.351263,540.879858,1.772405
0.020000,16.231398,6.328480,2.671114,2.453693,41.388995,201.886578,1.677092
0.020000,16.227317,6.393593,2.736355,3.262058,40.418211,-48.539183,1.595070
0.020000,16.228334,6.473569,2.816337,3.999139,36.854059,-178.207613,1.524936
0.020000,16.235511,6.566257,2.909302,4.648248,32.455442,-219.930874,1.464965
0.020000,16.249297,6.669582,3.013544,5.212065,28.190854,-213.229359,1.413484
0.020000,16.269751,6.781750,3.127561,5.700876,24.440582,-187.513610,1.369028
0.020000,16.296703,6.901297,3.250109,6.127372,21.324801,-155.789046,1.330370
0.020000,16.329871,7.027055,3.380167,6.502914,18.777099,-127.385139,1.296512
0.020000,16.368927,7.158107,3.516915,6.837383,16.723445,-102.682685,1.266647
0.020000,16.413532,7.293728,3.659683,7.138402,15.050936,-83.625448,1.240128
0.020000,16.463367,7.433362,3.807943,7.413002,13.730022,-66.045684,1.216427
0.020000,16.518131,7.576564,3.961259,7.665825,12.641139,-54.444174,1.195121
0.020000,16.577550,7.722984,4.119277,7.900881,11.752803,-44.416789,1.175864
0.020000,16.626859,7.837638,4.244085,6.240386,-83.024756,-4738.877931,1.130377
0.020000,16.662780,7.905181,4.320585,3.825025,-120.768058,-1887.165100,1.026107
0.020000,16.695243,7.952419,4.377902,2.865857,-47.958382,3640.483765,0.900474
0.020000,16.721480,7.981336,4.416949,1.952327,-45.676495,114.094372,0.754366
0.020000,16.743152,7.998783,4.444771,1.391085,-28.062115,880.718991,0.594685
0.020000,16.768876,8.013174,4.474247,1.473800,4.135762,1609.893854,0.434707
0.020000,16.810327,8.028529,4.518450,2.210162,36.818062,1634.114990,0.288953
0.020000,16.874585,8.043025,4.584323,3.293657,54.174788,867.836291,0.165922
0.020000,16.961803,8.052876,4.672096,4.388640,54.749118,28.716524,0.066698
0.020000,17.068229,8.055529,4.778554,5.322920,46.714028,-401.754523,6.271530
0.020000,17.189290,8.050182,4.899734,6.058986,36.803280,-495.537380,6.210162
0.020000,17.320991,8.037201,5.032072,6.616934,27.897384,-445.294807,6.162291
0.020000,17.460268,8.017513,5.172734,7.033073,20.806970,-354.520670,6.125136
0.020000,17.604913,7.992230,5.319572,7.341908,15.441776,-268.259702,6.096595
0.020000,17.753383,7.962456,5.470998,7.571319,11.470506,-198.563515,6.075112
0.020000,17.904626,7.929216,5.625851,7.742637,8.565924,-145.229085,6.059547
