dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,13.312650,14.546681,0.000652,0.065190,3.259519,162.975952,1.584086
0.020000,13.312651,14.546588,0.000744,0.004619,-3.028550,-314.403463,1.584177
0.020000,13.312654,14.546403,0.000929,0.009244,0.231253,162.990157,1.584358
0.020000,13.312657,14.546126,0.001207,0.013881,0.231822,0.028433,1.584630
0.020000,13.312538,14.554634,0.009716,0.425477,20.579799,1017.398854,1.584994
0.020000,13.312357,14.567206,0.022290,0.628666,10.159458,-521.017043,1.585449
0.020000,13.312131,14.582291,0.037376,0.754326,6.283002,-193.822769,1.585997
0.020000,13.311858,14.599888,0.054976,0.879969,6.282171,-0.041578,1.586638
0.020000,13.311532,14.619997,0.075087,1.005560,6.279527,-0.132211,1.587374
0.020000,13.311148,14.642615,0.097708,1.131061,6.275049,-0.223884,1.588204
0.020000,13.310699,14.667740,0.122837,1.256474,6.270640,-0.220467,1.589132
0.020000,13.310178,14.695374,0.150476,1.381924,6.272499,0.092987,1.590157
0.020000,13.309577,14.725512,0.180620,1.507208,6.264218,-0.414087,1.591282
0.020000,13.308889,14.758153,0.213268,1.632416,6.260383,-0.191718,1.592508
0.020000,13.308102,14.793295,0.248419,1.757547,6.256571,-0.190612,1.593837
0.020000,13.307208,14.830936,0.286071,1.882563,6.250815,-0.287805,1.595272
0.020000,13.306194,14.871072,0.326219,2.007425,6.243081,-0.386715,1.596813
0.020000,13.305050,14.913703,0.368866,2.132325,6.244988,0.095380,1.598464
0.020000,13.303761,14.958823,0.414004,2.256903,6.228904,-0.804229,1.600227
0.020000,13.302315,15.006429,0.461632,2.381417,6.225715,-0.159429,1.602106
0.020000,13.300696,15.056519,0.511749,2.505824,6.220322,-0.269632,1.604102
0.020000,13.298889,15.109089,0.564349,2.630030,6.210333,-0.499476,1.606219
0.020000,13.296877,15.164134,0.619431,2.754098,6.203367,-0.348274,1.608460
0.020000,13.294642,15.221649,0.676989,2.877900,6.190138,-0.661494,1.610830
0.020000,13.292164,15.281629,0.737021,3.001583,6.184108,-0.301474,1.613331
0.020000,13.289424,15.344069,0.799520,3.124984,6.170060,-0.702381,1.615968
0.020000,13.286401,15.408963,0.864485,3.248219,6.161752,-0.415399,1.618746
0.020000,13.283071,15.476305,0.931910,3.371239,6.151016,-0.536827,1.621669
0.020000,13.279411,15.546089,1.001789,3.493994,6.137751,-0.663246,1.624741
0.020000,13.275395,15.618306,1.074118,3.616431,6.121856,-0.794764,1.627969
0.020000,13.270996,15.692949,1.148890,3.738597,6.108282,-0.678708,1.631357
0.020000,13.266186,15.770008,1.226099,3.860466,6.093431,-0.742529,1.634912
0.020000,13.260936,15.849476,1.305741,3.982068,6.080112,-0.665959,1.638641
0.020000,13.255213,15.931341,1.387806,4.103257,6.059448,-1.033195,1.642548
0.020000,13.248984,16.015593,1.472288,4.224095,6.041911,-0.876844,1.646643
0.020000,13.242215,16.102222,1.559180,4.344634,6.026954,-0.747852,1.650932
0.020000,13.234868,16.191211,1.648472,4.464595,5.998042,-1.445595,1.655423
0.020000,13.226904,16.282551,1.740159,4.584319,5.986200,-0.592103,1.660125
0.020000,13.218282,16.376224,1.834228,4.703449,5.956482,-1.485921,1.665047
0.020000,13.208959,16.472215,1.930670,4.822114,5.933297,-1.159208,1.670199
0.020000,13.198890,16.570505,2.029475,4.940242,5.906365,-1.346643,1.675590
0.020000,13.188026,16.671078,2.130633,5.057926,5.884189,-1.108764,1.681232
0.020000,13.176317,16.773911,2.234130,5.174858,5.846608,-1.879081,1.687135
0.020000,13.163710,16.878984,2.339957,5.291346,5.824429,-1.108951,1.693313
0.020000,13.150148,16.986272,2.448098,5.407053,5.785334,-1.954716,1.699777
0.020000,13.135574,17.095747,2.558540,5.522061,5.750388,-1.747315,1.706542
0.020000,13.119925,17.207384,2.671268,5.636435,5.718719,-1.583432,1.713623
0.020000,13.103136,17.321150,2.786266,5.749865,5.671475,-2.362220,1.721034
0.020000,13.085139,17.437012,2.903518,5.862600,5.636784,-1.734552,1.728793
0.020000,13.065862,17.554934,3.023005,5.974352,5.587559,-2.461258,1.736917
0.020000,13.045230,17.674876,3.144708,6.085168,5.540834,-2.336235,1.745423
0.020000,13.023162,17.796795,3.268609,6.195031,5.493144,-2.384482,1.754332
0.020000,12.999577,17.920646,3.394685,6.303807,5.438788,-2.717829,1.763665
0.020000,12.974387,18.046377,3.522915,6.411486,5.383950,-2.741877,1.773443
0.020000,12.947500,18.173933,3.653273,6.517943,5.322869,-3.054077,1.783690
0.020000,12.918821,18.303254,3.785736,6.623144,5.260044,-3.141247,1.794430
0.020000,12.888248,18.434276,3.920278,6.727103,5.197960,-3.104203,1.805689
0.020000,12.855679,18.566928,4.056869,6.829559,5.122769,-3.759546,1.817494
0.020000,12.821003,18.701134,4.195483,6.930676,5.055850,-3.345938,1.829874
0.020000,12.784105,18.836810,4.336087,7.030224,4.977404,-3.922309,1.842858
0.020000,12.744866,18.973868,4.478652,7.128204,4.898995,-3.920467,1.856478
0.020000,12.703164,19.112208,4.623141,7.224450,4.812308,-4.334343,1.870766
0.020000,12.658869,19.251727,4.769522,7.319059,4.730451,-4.092818,1.885755
0.020000,12.611847,19.392310,4.917761,7.411950,4.644554,-4.294878,1.901481
0.020000,12.561962,19.533836,5.067821,7.503016,4.553286,-4.563414,1.917977
0.020000,12.509072,19.676172,5.219666,7.592223,4.460383,-4.645109,1.935279
0.020000,12.453029,19.819176,5.373259,7.679680,4.372861,-4.376140,1.953422
0.020000,12.393684,19.962698,5.528567,7.765386,4.285261,-4.379958,1.972442
0.020000,12.330885,20.106577,5.685553,7.849328,4.197098,-4.408174,1.992373
0.020000,12.264474,20.250639,5.844186,7.931615,4.114368,-4.136503,2.013245
0.020000,12.194295,20.394703,6.004434,8.012441,4.041278,-3.654493,2.035089
0.020000,12.120186,20.538578,6.166274,8.091977,3.976823,-3.222766,2.057930
0.020000,12.041988,20.682061,6.329682,8.170421,3.922200,-2.731139,2.081789
0.020000,11.959539,20.824942,6.494645,8.248151,3.886514,-1.784303,2.106680
0.020000,11.872679,20.967001,6.661156,8.325501,3.867485,-0.951461,2.132610
0.020000,11.781250,21.108014,6.829215,8.402958,3.872867,0.269105,2.159577
0.020000,11.685096,21.247748,6.998835,8.481035,3.903808,1.547086,2.187569
0.020000,11.584396,21.385523,7.169488,8.532642,2.580392,-66.170799,2.216467
0.020000,11.480013,21.519919,7.339659,8.508531,-1.205593,-189.299276,2.245955
0.020000,11.372946,21.649649,7.507864,8.410276,-4.912726,-185.356669,2.275688
0.020000,11.263733,21.774235,7.673542,8.283907,-6.318446,-70.286003,2.305459
0.020000,11.152589,21.893664,7.836688,8.157257,-6.332498,-0.702570,2.335158
0.020000,11.039668,22.008013,7.997395,8.035365,-6.094612,11.894274,2.364690
0.020000,10.925131,22.117373,8.155757,7.918088,-5.863843,11.538450,2.393966
0.020000,10.809137,22.221841,8.311860,7.805149,-5.646971,10.843643,2.422899
0.020000,10.691848,22.321524,8.465786,7.696338,-5.440535,10.321772,2.451410
0.020000,10.573428,22.416536,8.617611,7.591220,-5.255906,9.231467,2.479426
0.020000,10.454040,22.506998,8.767399,7.489420,-5.089988,8.295886,2.506881
0.020000,10.333849,22.593034,8.915211,7.390577,-4.942148,7.392015,2.533720
0.020000,10.213017,22.674773,9.061092,7.294076,-4.825041,5.855332,2.559893
0.020000,10.091706,22.752347,9.205086,7.199689,-4.719359,5.284126,2.585361
0.020000,9.970075,22.825891,9.347223,7.106846,-4.642174,3.859230,2.610093
0.020000,9.848280,22.895541,9.487527,7.015184,-4.583078,2.954800,2.634066
0.020000,9.726475,22.961435,9.626013,6.924319,-4.543245,1.991643,2.657265
0.020000,9.604807,23.023710,9.762692,6.833948,-4.518537,1.235385,2.679680
