dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.916830,21.895068,0.000653,0.065343,3.267164,163.358214,3.142496
0.020000,18.916830,21.895068,0.003267,0.196030,6.534329,163.358214,3.142367
0.020000,18.916830,21.895068,0.008495,0.326716,6.534329,0.000000,3.142108
0.020000,18.916830,21.895068,0.016336,0.457403,6.534329,0.000000,3.141720
0.020000,18.908945,21.895070,0.026791,0.588090,6.534329,-0.000000,3.141203
0.020000,18.895877,21.895079,0.039859,0.718776,6.534329,0.000000,3.140557
0.020000,18.880195,21.895101,0.055542,0.849463,6.534329,-0.000000,3.139783
0.020000,18.861899,21.895143,0.073838,0.980149,6.534329,0.000000,3.138881
0.020000,18.840989,21.895210,0.094748,1.110836,6.534329,0.000000,3.137853
0.020000,18.817465,21.895312,0.118271,1.241522,6.534329,-0.000000,3.136697
0.020000,18.791328,21.895456,0.144409,1.372209,6.534329,0.000000,3.135417
0.020000,18.762578,21.895654,0.173160,1.502896,6.534329,0.000000,3.134011
0.020000,18.731214,21.895916,0.204524,1.633582,6.534329,-0.000000,3.132481
0.020000,18.697237,21.896254,0.238503,1.764269,6.534329,0.000000,3.130829
0.020000,18.660648,21.896680,0.275095,1.894955,6.534329,-0.000000,3.129055
0.020000,18.621445,21.897209,0.314301,2.025642,6.534329,0.000000,3.127160
0.020000,18.579631,21.897854,0.356121,2.156328,6.534329,-0.000000,3.125147
0.020000,18.535204,21.898632,0.400554,2.287015,6.534329,0.000000,3.123016
0.020000,18.488166,21.899559,0.447602,2.417702,6.534329,-0.000000,3.120769
0.020000,18.438517,21.900652,0.497262,2.548388,6.534329,0.000000,3.118407
0.020000,18.386258,21.901929,0.549537,2.679075,6.534329,-0.000000,3.115933
0.020000,18.331390,21.903408,0.604425,2.809761,6.534329,0.000000,3.113348
0.020000,18.273913,21.905109,0.661927,2.940448,6.534329,0.000000,3.110654
0.020000,18.213829,21.907053,0.722043,3.071134,6.534329,0.000000,3.107854
0.020000,18.151138,21.909260,0.784773,3.201821,6.534329,0.000000,3.104950
0.020000,18.085842,21.911752,0.850116,3.332508,6.534329,-0.000000,3.101943
0.020000,18.017943,21.914552,0.918073,3.463194,6.534329,0.000000,3.098837
0.020000,17.947442,21.917681,0.988644,3.593881,6.534329,0.000000,3.095635
0.020000,17.874340,21.921164,1.061828,3.724567,6.534329,0.000000,3.092338
0.020000,17.798640,21.925024,1.137627,3.855254,6.534329,-0.000000,3.088950
0.020000,17.720344,21.929286,1.216039,3.985940,6.534329,0.000000,3.085474
0.020000,17.639455,21.933975,1.297064,4.116627,6.534329,0.000000,3.081913
0.020000,17.555973,21.939116,1.380704,4.247314,6.534329,0.000000,3.078271
