dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.915908,22.915068,0.000653,0.065343,3.267164,163.358214,3.142496
0.020000,18.916040,22.915068,0.000786,0.006604,-2.936962,-310.206337,3.142367
0.020000,18.916304,22.915068,0.001050,0.013203,0.329970,163.346602,3.142108
0.020000,18.916700,22.915068,0.001445,0.019794,0.329505,-0.023239,3.141720
0.020000,18.909343,22.915070,0.008803,0.367862,17.403435,853.696518,3.141203
0.020000,18.896933,22.915078,0.021213,0.620492,12.631491,-238.597203,3.140557
0.020000,18.882040,22.915100,0.036105,0.744647,6.207725,-321.188289,3.139783
0.020000,18.864664,22.915139,0.053482,0.868824,6.208863,0.056896,3.138881
0.020000,18.844804,22.915203,0.073342,0.993020,6.209830,0.048349,3.137853
0.020000,18.822458,22.915299,0.095688,1.117275,6.212705,0.143721,3.136697
0.020000,18.797628,22.915437,0.120519,1.241542,6.213397,0.034611,3.135417
0.020000,18.770311,22.915625,0.147836,1.365855,6.215629,0.111581,3.134011
0.020000,18.740508,22.915874,0.177640,1.490231,6.218807,0.158904,3.132481
0.020000,18.708216,22.916195,0.209934,1.614659,6.221409,0.130134,3.130829
0.020000,18.673436,22.916600,0.244716,1.739136,6.223840,0.121557,3.129055
0.020000,18.636166,22.917102,0.281990,1.863680,6.227181,0.167044,3.127160
0.020000,18.596405,22.917716,0.321756,1.988288,6.230434,0.162630,3.125147
0.020000,18.554151,22.918456,0.364015,2.112986,6.234861,0.221353,3.123016
0.020000,18.509405,22.919338,0.408770,2.237753,6.238348,0.174362,3.120769
0.020000,18.462164,22.920378,0.456023,2.362604,6.242585,0.211817,3.118407
0.020000,18.412428,22.921593,0.505773,2.487540,6.246797,0.210641,3.115933
0.020000,18.360196,22.923001,0.558025,2.612583,6.252145,0.267386,3.113348
0.020000,18.305465,22.924621,0.612780,2.737732,6.257444,0.264971,3.110654
0.020000,18.248235,22.926473,0.670039,2.862987,6.262741,0.264834,3.107854
0.020000,18.188505,22.928575,0.729806,2.988349,6.268081,0.266993,3.104950
0.020000,18.126274,22.930951,0.792083,3.113827,6.273943,0.293101,3.101943
0.020000,18.061540,22.933619,0.856872,3.239455,6.281391,0.372390,3.098837
0.020000,17.994302,22.936604,0.924176,3.365201,6.287283,0.294606,3.095635
0.020000,17.924559,22.939927,0.993998,3.491089,6.294393,0.355527,3.092338
0.020000,17.852311,22.943611,1.066340,3.617128,6.301975,0.379068,3.088950
0.020000,17.777555,22.947681,1.141207,3.743321,6.309647,0.383619,3.085474
0.020000,17.700291,22.952159,1.218600,3.869670,6.317462,0.390760,3.081913
0.020000,17.620518,22.957072,1.298524,3.996204,6.326696,0.461683,3.078271
