dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.818387,21.038792,0.000653,0.065308,3.265391,163.269542,3.141388
0.020000,18.818486,21.038792,0.000752,0.004952,-3.017805,-314.159814,3.141485
0.020000,18.816338,21.038792,0.002900,0.107402,5.122500,407.015271,3.141681
0.020000,18.808804,21.038790,0.010435,0.376725,13.466175,417.183751,3.141977
0.020000,18.798764,21.038784,0.020474,0.501987,6.263080,-360.154727,3.142379
0.020000,18.786224,21.038771,0.033014,0.626977,6.249528,-0.677623,3.142890
0.020000,18.771192,21.038747,0.048046,0.751619,6.232100,-0.871405,3.143519
0.020000,18.753675,21.038707,0.065564,0.875862,6.212139,-0.998024,3.144273
0.020000,18.733682,21.038644,0.085556,0.999621,6.187939,-1.210001,3.145162
0.020000,18.711227,21.038553,0.108012,1.122801,6.159006,-1.446686,3.146196
0.020000,18.686320,21.038423,0.132919,1.245352,6.127551,-1.572758,3.147388
0.020000,18.658977,21.038246,0.160262,1.367172,6.091017,-1.826656,3.148753
0.020000,18.629214,21.038010,0.190026,1.488189,6.050846,-2.008557,3.150306
0.020000,18.597050,21.037702,0.222192,1.608289,6.004967,-2.293978,3.152065
0.020000,18.562504,21.037306,0.256740,1.727403,5.955724,-2.462144,3.154049
0.020000,18.525599,21.036806,0.293648,1.845412,5.900419,-2.765259,3.156281
0.020000,18.486361,21.036181,0.332892,1.962175,5.838164,-3.112733,3.158785
0.020000,18.444816,21.035409,0.374444,2.077599,5.771212,-3.347614,3.161586
0.020000,18.400995,21.034464,0.418275,2.191536,5.696833,-3.718927,3.164714
0.020000,18.354933,21.033320,0.464351,2.303825,5.614441,-4.119590,3.168202
0.020000,18.306666,21.031942,0.512637,2.414311,5.524304,-4.506868,3.172084
0.020000,18.256238,21.030296,0.563093,2.522785,5.423721,-5.029132,3.176401
0.020000,18.203693,21.028342,0.615674,2.629044,5.312949,-5.538613,3.181195
0.020000,18.149085,21.026034,0.670331,2.732847,5.190153,-6.139807,3.186515
0.020000,18.092472,21.023324,0.727009,2.833895,5.052380,-6.888654,3.192414
0.020000,18.033919,21.020156,0.785647,2.931922,4.901373,-7.550348,3.198953
0.020000,17.973501,21.016469,0.846177,3.026514,4.729613,-8.588006,3.206198
0.020000,17.911302,21.012198,0.908523,3.117272,4.537900,-9.585658,3.214224
0.020000,17.847417,21.007268,0.972598,3.203749,4.323846,-10.702689,3.223116
0.020000,17.781956,21.001599,1.038304,3.285327,4.078872,-12.248690,3.232969
0.020000,17.715041,20.995103,1.105533,3.361431,3.805217,-13.682752,3.243891
0.020000,17.646818,20.987688,1.174158,3.431251,3.491007,-15.710483,3.256005
0.020000,17.577450,20.979251,1.244038,3.493997,3.137269,-17.686904,3.269449
0.020000,17.507125,20.969684,1.315010,3.548618,2.731093,-20.308830,3.284384
0.020000,17.436064,20.958874,1.386889,3.593942,2.266173,-23.246003,3.300991
0.020000,17.364518,20.946704,1.459463,3.628679,1.736838,-26.466728,3.319478
0.020000,17.292779,20.933055,1.532488,3.651270,1.129556,-30.364101,3.340082
0.020000,17.221183,20.917812,1.605689,3.660056,0.439319,-34.511836,3.363075
0.020000,17.150114,20.900865,1.678751,3.653083,-0.348683,-39.400102,3.388766
0.020000,17.080009,20.882122,1.751318,3.628368,-1.235708,-44.351262,3.417501
0.020000,17.011358,20.861512,1.822996,3.583895,-2.223658,-49.397508,3.449669
0.020000,16.944700,20.839002,1.893352,3.517777,-3.305893,-54.111735,3.485694
0.020000,16.880614,20.814602,1.961926,3.428726,-4.452588,-57.334755,3.526026
0.020000,16.819688,20.788380,2.028255,3.316443,-5.614105,-58.075868,3.571119
0.020000,16.762486,20.760464,2.091906,3.182530,-6.695669,-54.078168,3.621397
0.020000,16.709484,20.731025,2.152534,3.031420,-7.555525,-42.992802,3.677199
0.020000,16.660997,20.700247,2.209965,2.871554,-7.993292,-21.888391,3.738695
0.020000,16.617096,20.668246,2.264291,2.716313,-7.762047,11.562289,3.805795
0.020000,16.577557,20.634965,2.315973,2.584085,-6.611392,57.532723,3.878048
0.020000,16.541856,20.600050,2.365909,2.496818,-4.363329,112.403161,3.954572
0.020000,16.509263,20.562754,2.415439,2.476500,-1.015907,167.371078,4.034055
0.020000,16.479018,20.521935,2.466243,2.540170,3.183484,209.969592,4.114850
0.020000,16.450533,20.476172,2.520147,2.695196,7.751298,228.390694,4.195165
0.020000,16.423549,20.423996,2.578888,2.937050,12.092712,217.070697,4.273299
0.020000,16.398181,20.364132,2.643904,3.250823,15.688622,179.795514,4.347841
0.020000,16.374849,20.295690,2.716215,3.615521,18.234921,127.314929,4.417794
0.020000,16.354142,20.218226,2.796398,4.009159,19.681913,72.349591,4.482590
0.020000,16.336680,20.131718,2.884651,4.412674,20.175711,24.689894,4.542036
0.020000,16.323016,20.036459,2.980885,4.811662,19.949440,-11.313532,4.596222
0.020000,16.313585,19.932954,3.084818,5.196687,19.251221,-34.910935,4.645419
0.020000,16.308683,19.821811,3.196070,5.562570,18.294163,-47.852936,4.690006
0.020000,16.308487,19.703673,3.314208,5.906913,17.217145,-53.850900,4.730402
0.020000,16.313068,19.579164,3.438802,6.229688,16.138736,-53.920440,4.767033
0.020000,16.322422,19.448865,3.569436,6.531698,15.100521,-51.910734,4.800302
0.020000,16.336489,19.313299,3.705730,6.814709,14.150538,-47.499153,4.830585
0.020000,16.355170,19.172926,3.847340,7.080482,13.288673,-43.093240,4.858219
0.020000,16.374533,19.056548,3.965318,5.898928,-59.077713,-3618.319312,4.899065
