dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.818596,22.058792,0.000653,0.065308,3.265391,163.269542,3.141388
0.020000,18.818596,22.058792,0.003265,0.195923,6.530782,163.269542,3.141485
0.020000,18.816248,22.058792,0.008490,0.326539,6.530782,0.000000,3.141681
0.020000,18.808411,22.058790,0.016327,0.457155,6.530782,-0.000000,3.141977
0.020000,18.797962,22.058784,0.026776,0.587770,6.530782,0.000000,3.142379
0.020000,18.784900,22.058770,0.039838,0.718386,6.530782,0.000000,3.142890
0.020000,18.769227,22.058745,0.055512,0.849002,6.530782,-0.000000,3.143519
0.020000,18.750941,22.058703,0.073798,0.979617,6.530782,0.000000,3.144273
0.020000,18.730042,22.058638,0.094696,1.110233,6.530782,0.000000,3.145162
0.020000,18.706531,22.058542,0.118207,1.240849,6.530782,-0.000000,3.146196
0.020000,18.680409,22.058406,0.144330,1.371464,6.530782,0.000000,3.147388
0.020000,18.651674,22.058220,0.173066,1.502080,6.530782,-0.000000,3.148753
0.020000,18.620327,22.057972,0.204413,1.632695,6.530782,0.000000,3.150306
0.020000,18.586369,22.057646,0.238374,1.763311,6.530782,0.000000,3.152065
0.020000,18.549799,22.057227,0.274946,1.893927,6.530782,0.000000,3.154049
0.020000,18.510617,22.056696,0.314131,2.024542,6.530782,0.000000,3.156281
0.020000,18.468826,22.056030,0.355928,2.155158,6.530782,-0.000000,3.158785
0.020000,18.424424,22.055205,0.400337,2.285774,6.530782,0.000000,3.161586
0.020000,18.377413,22.054192,0.447359,2.416389,6.530782,-0.000000,3.164714
0.020000,18.327795,22.052959,0.496992,2.547005,6.530782,0.000000,3.168202
0.020000,18.275570,22.051468,0.549239,2.677620,6.530782,0.000000,3.172084
0.020000,18.220740,22.049678,0.604097,2.808236,6.530782,-0.000000,3.176401
0.020000,18.163309,22.047542,0.661568,2.938852,6.530782,0.000000,3.181195
0.020000,18.103280,22.045005,0.721651,3.069467,6.530782,-0.000000,3.186515
0.020000,18.040656,22.042007,0.784347,3.200083,6.530782,0.000000,3.192414
0.020000,17.975444,22.038478,0.849655,3.330699,6.530782,-0.000000,3.198953
0.020000,17.907650,22.034341,0.917575,3.461314,6.530782,0.000000,3.206198
0.020000,17.837284,22.029509,0.988107,3.591930,6.530782,-0.000000,3.214224
0.020000,17.764356,22.023880,1.061252,3.722546,6.530782,0.000000,3.223116
0.020000,17.688882,22.017343,1.137009,3.853161,6.530782,-0.000000,3.232969
0.020000,17.610879,22.009771,1.215378,3.983777,6.530782,0.000000,3.243891
0.020000,17.530373,22.001019,1.296360,4.114392,6.530782,-0.000000,3.256005
0.020000,17.447391,21.990925,1.379954,4.245008,6.530782,0.000000,3.269449
0.020000,17.361972,21.979303,1.466160,4.375624,6.530782,-0.000000,3.284384
0.020000,17.274165,21.965943,1.554979,4.506239,6.530782,0.000000,3.300991
0.020000,17.184030,21.950608,1.646410,4.636855,6.530782,0.000000,3.319478
0.020000,17.091647,21.933028,1.740453,4.767471,6.530782,0.000000,3.340082
0.020000,16.997113,21.912896,1.837109,4.898086,6.530782,-0.000000,3.363075
0.020000,16.900557,21.889865,1.936377,5.028702,6.530782,0.000000,3.388766
0.020000,16.802139,21.863544,2.038257,5.159318,6.530782,0.000000,3.417501
0.020000,16.702067,21.833489,2.142749,5.289933,6.530782,0.000000,3.449669
0.020000,16.600603,21.799208,2.249854,5.420549,6.530782,0.000000,3.485694
0.020000,16.498080,21.760153,2.359571,5.551164,6.530782,-0.000000,3.526026
0.020000,16.394919,21.715727,2.471901,5.681780,6.530782,0.000000,3.571119
0.020000,16.291648,21.665290,2.586843,5.812396,6.530782,0.000000,3.621397
0.020000,16.188914,21.608184,2.704397,5.943011,6.530782,0.000000,3.677199
0.020000,16.087503,21.543755,2.824563,6.073627,6.530782,-0.000000,3.738695
0.020000,15.988336,21.471402,2.947342,6.204243,6.530782,-0.000000,3.805795
0.020000,15.892457,21.390636,3.072733,6.334858,6.530782,0.000000,3.878048
0.020000,15.800990,21.301134,3.200736,6.465474,6.530782,0.000000,3.954572
0.020000,15.715071,21.202801,3.331352,6.596090,6.530782,-0.000000,4.034055
0.020000,15.635761,21.095797,3.464580,6.726705,6.530782,0.000000,4.114850
0.020000,15.563954,20.980531,3.600420,6.857321,6.530782,0.000000,4.195165
0.020000,15.500307,20.857614,3.738873,6.987936,6.530782,0.000000,4.273299
0.020000,15.445211,20.727790,3.879937,7.118552,6.530782,-0.000000,4.347841
0.020000,15.398791,20.591849,4.023615,7.249168,6.530782,0.000000,4.417794
0.020000,15.360955,20.450564,4.169904,7.379783,6.530782,0.000000,4.482590
0.020000,15.331444,20.304638,4.318806,7.510399,6.530782,0.000000,4.542036
0.020000,15.309891,20.154684,4.470320,7.641015,6.530782,0.000000,4.596222
0.020000,15.295871,20.001213,4.624447,7.771630,6.530782,-0.000000,4.645419
0.020000,15.288939,19.844640,4.781185,7.902246,6.530782,0.000000,4.690006
0.020000,15.288652,19.685301,4.940536,8.032861,6.530782,0.000000,4.730402
0.020000,15.294591,19.523455,5.102500,8.163477,6.530782,0.000000,4.767033
0.020000,15.306361,19.359309,5.267075,8.294093,6.530782,-0.000000,4.800302
0.020000,15.323605,19.193019,5.434263,8.424708,6.530782,0.000000,4.830585
0.020000,15.345996,19.024707,5.604064,8.555324,6.530782,-0.000000,4.858219
0.020000,15.372254,18.867242,5.776476,8.685940,6.530782,0.000000,4.899065
0.020000,15.409264,18.696198,5.951501,8.816555,6.530782,0.000000,4.953589
0.020000,15.457262,18.525197,6.129139,8.947171,6.530782,-0.000000,5.020729
0.020000,15.518838,18.355850,6.309388,9.077787,6.530782,0.000000,5.104494
0.020000,15.597164,18.190708,6.492250,9.208402,6.530782,0.000000,5.209814
0.020000,15.695784,18.033786,6.677724,9.339018,6.530782,-0.000000,5.341536
0.020000,15.817827,17.890935,6.865811,9.469633,6.530782,0.000000,5.501360
0.020000,15.964435,17.769398,7.056510,9.600249,6.530782,-0.000000,5.682687
0.020000,16.132596,17.675952,7.249168,9.665557,3.265391,-163.269542,5.867827
0.020000,16.314889,17.613638,7.442045,9.622152,-2.170251,-271.782108,6.035597
0.020000,16.503143,17.580182,7.633401,9.513439,-5.435642,-163.269542,6.174067
0.020000,16.691750,17.570252,7.822363,9.382823,-6.530782,-54.756976,6.282724
0.020000,16.877873,17.578287,8.008714,9.252208,-6.530782,0.000000,0.083272
0.020000,17.060327,17.599694,8.192452,9.121592,-6.530782,0.000000,0.147660
0.020000,17.238716,17.630957,8.373577,8.990976,-6.530782,-0.000000,0.197302
0.020000,17.413023,17.669432,8.552091,8.860361,-6.530782,0.000000,0.235641
0.020000,17.583405,17.713122,8.727992,8.729745,-6.530782,-0.000000,0.265161
0.020000,17.750089,17.760494,8.901280,8.599130,-6.530782,0.000000,0.287641
0.020000,17.913322,17.810347,9.071957,8.468514,-6.530782,-0.000000,0.304353
0.020000,18.073341,17.861719,9.240021,8.337898,-6.530782,0.000000,0.316207
0.020000,18.230375,17.913819,9.405473,8.207283,-6.530782,-0.000000,0.323851
0.020000,18.384634,17.965983,9.568312,8.076667,-6.530782,0.000000,0.327735
0.020000,18.536308,18.017634,9.728540,7.946051,-6.530782,0.000000,0.328160
0.020000,18.685571,18.068262,9.886154,7.815436,-6.530782,0.000000,0.325303
0.020000,18.832580,18.117395,10.041157,7.684820,-6.530782,-0.000000,0.319242
