dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.796605,23.854874,0.000650,0.064989,3.249442,162.472082,0.007713
0.020000,3.796385,23.854872,0.000870,0.011018,-2.698545,-297.399356,0.007497
0.020000,3.796274,23.854872,0.000981,0.005527,-0.274569,121.198813,0.007065
0.020000,3.803413,23.854920,0.008119,0.356930,17.570175,892.237230,0.006418
0.020000,3.812932,23.854977,0.017639,0.475969,5.951955,-580.911043,0.005556
0.020000,3.824833,23.855036,0.029540,0.595046,5.953833,0.093900,0.004481
0.020000,3.839116,23.855091,0.043824,0.714194,5.957410,0.178851,0.003193
0.020000,3.855785,23.855132,0.060492,0.833410,5.960810,0.170036,0.001694
0.020000,3.874839,23.855148,0.079546,0.952724,5.965686,0.243790,6.283172
0.020000,3.896282,23.855127,0.100989,1.072129,5.970259,0.228640,6.281257
0.020000,3.920115,23.855056,0.124822,1.191652,5.976150,0.294570,6.279137
0.020000,3.946340,23.854919,0.151048,1.311306,5.982696,0.327301,6.276814
0.020000,3.974962,23.854701,0.179670,1.431102,5.989820,0.356189,6.274292
0.020000,4.005981,23.854383,0.210691,1.551064,5.998056,0.411807,6.271573
0.020000,4.039402,23.853946,0.244115,1.671193,6.006481,0.421254,6.268662
0.020000,4.075228,23.853370,0.279946,1.791517,6.016212,0.486555,6.265561
0.020000,4.113462,23.852633,0.318186,1.912046,6.026437,0.511221,6.262275
0.020000,4.154107,23.851712,0.358842,2.032802,6.037769,0.566632,6.258808
0.020000,4.197169,23.850584,0.401918,2.153798,6.049806,0.601810,6.255165
0.020000,4.242649,23.849222,0.447420,2.275059,6.063092,0.664312,6.251351
0.020000,4.290554,23.847601,0.495352,2.396598,6.076911,0.690959,6.247371
0.020000,4.340886,23.845693,0.545720,2.518430,6.091636,0.736259,6.243232
0.020000,4.393651,23.843470,0.598532,2.640584,6.107703,0.803319,6.238939
0.020000,4.448853,23.840903,0.653793,2.763074,6.124463,0.838004,6.234500
0.020000,4.506497,23.837962,0.711512,2.885926,6.142590,0.906376,6.229921
0.020000,4.566587,23.834616,0.771695,3.009152,6.161310,0.935996,6.225209
0.020000,4.629128,23.830834,0.834350,3.132778,6.181298,0.999389,6.220373
0.020000,4.694126,23.826584,0.899487,3.256829,6.202562,1.063183,6.215421
0.020000,4.761585,23.821833,0.967113,3.381318,6.224455,1.094669,6.210361
0.020000,4.831511,23.816550,1.037239,3.506273,6.247755,1.165016,6.205203
0.020000,4.903909,23.810701,1.109873,3.631711,6.271877,1.206074,6.199955
0.020000,4.978785,23.804253,1.185026,3.757657,6.297337,1.273001,6.194629
0.020000,5.056145,23.797174,1.262709,3.884133,6.323774,1.321877,6.189234
0.020000,5.135993,23.789429,1.342932,4.011153,6.350985,1.360520,6.183781
0.020000,5.218336,23.780987,1.425707,4.138746,6.379673,1.434439,6.178281
0.020000,5.303181,23.771815,1.511045,4.266929,6.409154,1.474018,6.172746
0.020000,5.390532,23.761882,1.598960,4.395720,6.439567,1.520649,6.167188
0.020000,5.480397,23.751156,1.689463,4.525144,6.471171,1.580194,6.161619
0.020000,5.572782,23.739607,1.782567,4.655216,6.503610,1.621979,6.156052
0.020000,5.667695,23.727206,1.878286,4.785955,6.536937,1.666360,6.150499
0.020000,5.765141,23.713924,1.976634,4.917380,6.571276,1.716932,6.144975
0.020000,5.865130,23.699735,2.077624,5.049509,6.606417,1.757057,6.139494
0.020000,5.967668,23.684613,2.181271,5.182356,6.642370,1.797627,6.134068
0.020000,6.072764,23.668534,2.287590,5.315940,6.679190,1.841008,6.128713
0.020000,6.180427,23.651477,2.396595,5.450275,6.716742,1.877624,6.123444
0.020000,6.290665,23.633421,2.508303,5.585375,6.755035,1.914641,6.118275
0.020000,6.403490,23.614350,2.622728,5.721257,6.794059,1.951175,6.113222
0.020000,6.518911,23.594246,2.739887,5.857932,6.833755,1.984826,6.108300
0.020000,6.636939,23.573098,2.859795,5.995414,6.874133,2.018905,6.103526
0.020000,6.757588,23.550896,2.982469,6.133717,6.915144,2.050533,6.098914
0.020000,6.880869,23.527632,3.107926,6.272854,6.956813,2.083461,6.094482
0.020000,7.006797,23.503303,3.236183,6.412835,6.999053,2.111987,6.090247
0.020000,7.135387,23.477909,3.367256,6.553675,7.041997,2.147187,6.086224
0.020000,7.266655,23.451452,3.501164,6.695385,7.085514,2.175877,6.082431
0.020000,7.400619,23.423940,3.637924,6.837979,7.129684,2.208469,6.078886
0.020000,7.537297,23.395383,3.777553,6.981469,7.174505,2.241086,6.075605
0.020000,7.676710,23.365798,3.920070,7.125868,7.219985,2.273988,6.072608
0.020000,7.818879,23.335205,4.065494,7.271193,7.266218,2.311657,6.069911
0.020000,7.963829,23.303629,4.213843,7.417456,7.313159,2.347047,6.067534
0.020000,8.111584,23.271099,4.365137,7.564674,7.360904,2.387246,6.065494
0.020000,8.262171,23.237651,4.519394,7.712863,7.409470,2.428275,6.063812
0.020000,8.415620,23.203327,4.676635,7.862042,7.458925,2.472784,6.062506
0.020000,8.571961,23.168174,4.836880,8.012228,7.509314,2.519420,6.061597
0.020000,8.731228,23.132246,5.000148,8.163442,7.560710,2.569790,6.061104
0.020000,8.893455,23.095603,5.166463,8.315705,7.613153,2.622168,6.061047
0.020000,9.058680,23.058313,5.335843,8.469039,7.666693,2.676991,6.061449
0.020000,9.226942,23.020450,5.508313,8.623467,7.721383,2.734497,6.062330
0.020000,9.398283,22.982098,5.683893,8.779012,7.777269,2.794295,6.063713
0.020000,9.572745,22.943349,5.862607,8.935699,7.834351,2.854120,6.065619
0.020000,9.750375,22.904301,6.044478,9.093552,7.892647,2.914814,6.068072
0.020000,9.931220,22.865066,6.229530,9.252596,7.952194,2.977349,6.071095
0.020000,10.115328,22.825761,6.417787,9.412852,8.012814,3.031009,6.074711
0.020000,10.302750,22.786518,6.609274,9.574343,8.074552,3.086888,6.078946
0.020000,10.493538,22.747476,6.804016,9.737088,8.137230,3.133869,6.083823
0.020000,10.687744,22.708787,7.002038,9.901101,8.200637,3.170366,6.089367
0.020000,10.885421,22.670617,7.203365,10.066392,8.264566,3.196463,6.095604
0.020000,11.086619,22.633140,7.408025,10.232965,8.328640,3.203711,6.102559
0.020000,11.291392,22.596548,7.616041,10.400815,8.392504,3.193181,6.110256
0.020000,11.499788,22.561043,7.827440,10.569927,8.455576,3.153618,6.118721
0.020000,11.705275,22.528111,8.035549,10.405464,-8.223107,-833.934179,6.129877
0.020000,11.922138,22.495846,8.254799,10.962505,27.852051,1803.757903,6.140943
0.020000,12.141026,22.465654,8.475760,11.048059,4.277678,-1178.718649,6.151137
0.020000,12.361860,22.437385,8.698396,11.131793,4.186679,-4.549955,6.160425
0.020000,12.584562,22.410870,8.922671,11.213756,4.098178,-4.425042,6.168771
0.020000,12.809061,22.385929,9.148551,11.293982,4.011295,-4.344170,6.176141
0.020000,13.034539,22.362443,9.375248,11.334885,2.045148,-98.307331,6.182482
0.020000,13.258873,22.340390,9.600664,11.270798,-3.204337,-262.474269,6.187729
0.020000,13.480150,22.319683,9.822907,11.112144,-7.932707,-236.418498,6.191857
0.020000,13.697800,22.300102,10.041437,10.926495,-9.282465,-67.487865,6.194893
0.020000,13.911842,22.281386,10.256295,10.742905,-9.179470,5.149730,6.196878
0.020000,14.122292,22.263298,10.467521,10.561298,-9.080359,4.955556,6.197851
0.020000,14.329170,22.245618,10.675153,10.381596,-8.985094,4.763226,6.197849
0.020000,14.532495,22.228144,10.879228,10.203727,-8.893448,4.582320,6.196907
0.020000,14.732286,22.210693,11.079780,10.027623,-8.805214,4.411694,6.195061
0.020000,14.928564,22.193098,11.276845,9.853225,-8.719899,4.265780,6.192345
0.020000,15.121345,22.175206,11.470454,9.680482,-8.637157,4.137090,6.188789
0.020000,15.310647,22.156880,11.660641,9.509349,-8.556637,4.026006,6.184427
0.020000,15.496486,22.137998,11.847437,9.339796,-8.477649,3.949387,6.179289
0.020000,15.678878,22.118451,12.030873,9.171797,-8.399957,3.884611,6.173406
0.020000,15.857836,22.098140,12.210980,9.005339,-8.322914,3.852129,6.166807
0.020000,16.033373,22.076982,12.387788,8.840415,-8.246189,3.836242,6.159523
0.020000,16.205504,22.054904,12.561329,8.677029,-8.169322,3.843355,6.151584
0.020000,16.374239,22.031845,12.731633,8.515189,-8.091967,3.867764,6.143020
0.020000,16.539592,22.007753,12.898731,8.354914,-8.013759,3.910378,6.133863
0.020000,16.701573,21.982589,13.062655,8.196225,-7.934446,3.965664,6.124142
0.020000,16.860196,21.956321,13.223438,8.039150,-7.853775,4.033550,6.113890
0.020000,17.015473,21.928929,13.381113,7.883718,-7.771560,4.110745,6.103140
0.020000,17.167417,21.900400,13.535712,7.729963,-7.687763,4.189846,6.091923
0.020000,17.316043,21.870731,13.687270,7.577917,-7.602325,4.271914,6.080273
0.020000,17.461366,21.839925,13.835823,7.427610,-7.515329,4.349810,6.068225
0.020000,17.603403,21.807997,13.981404,7.279076,-7.426727,4.430111,6.055813
0.020000,17.742172,21.774963,14.124051,7.132335,-7.337005,4.486061,6.043072
0.020000,17.877693,21.740852,14.263799,6.987411,-7.246210,4.539741,6.030038
0.020000,18.009988,21.705694,14.400685,6.844324,-7.154353,4.592886,6.016747
0.020000,18.139079,21.669528,14.534747,6.703070,-7.062729,4.581203,6.003235
0.020000,18.264991,21.632398,14.666020,6.563655,-6.970733,4.599765,5.989538
0.020000,18.387752,21.594352,14.794541,6.426072,-6.879130,4.580186,5.975692
0.020000,18.507390,21.555442,14.920347,6.290298,-6.788717,4.520623,5.961733
0.020000,18.623935,21.515725,15.043474,6.156312,-6.699312,4.470256,5.947694
0.020000,18.737418,21.475262,15.163955,6.024057,-6.612726,4.329304,5.933611
0.020000,18.847873,21.434115,15.281825,5.893515,-6.527113,4.280635,5.919517
0.020000,18.955335,21.392351,15.397117,5.764610,-6.445230,4.094182,5.905444
0.020000,19.059839,21.350036,15.509863,5.637289,-6.366067,3.958128,5.891423
0.020000,19.161422,21.307241,15.620092,5.511474,-6.290772,3.764753,5.877484
0.020000,19.260122,21.264038,15.727834,5.387081,-6.219621,3.557545,5.863654
0.020000,19.355978,21.220497,15.833115,5.264061,-6.150992,3.431445,5.849960
0.020000,19.449028,21.176693,15.935961,5.142282,-6.088951,3.102062,5.836428
0.020000,19.539314,21.132699,16.036395,5.021695,-6.029343,2.980388,5.823079
0.020000,19.626874,21.088588,16.134438,4.902172,-5.976151,2.659603,5.809935
0.020000,19.721800,21.039431,16.241337,5.344934,22.138085,1405.711790,5.810161
0.020000,19.843489,20.979450,16.377006,6.783455,71.926058,2489.398649,5.839007
0.020000,19.955027,20.927741,16.499947,6.147052,-31.820145,-5187.310137,5.857919
0.020000,20.056833,20.882331,16.611422,5.573723,-28.666467,157.683884,5.868137
